year,site,nest,ID,ring,age_sex,date,time,weight,bill,left_tarsus,right_tarsus,left_wing,right_wing,fat,blood,blood_tube,code,moult ,observer,comments,ages,zones,species,blood_bath,blood_madagascar,feather,slides,feacal
2006,A,7,2006_A_7,CA1545,AM,512,1899-12-31 22:10:00,37.75,,26.3,26.4,112,112,1,1,,RX.MX|WX.YX,,CK,,,,,,,,,
2006,A,5,2006_A_5,CA328,AM,513,1899-12-31 22:15:00,38,,25.2,25.2,107,108,2,1,,YX.MX|WX.WX,,SQ,,,,,,,,,
2006,B,4,2006_B_4,802122925,AM,513,1899-12-31 22:50:00,38.25,,25.6,25.5,108,109,0,1,,YX.MX|BX.BX,,SQ,,,,,,,,,
2006,B,5,2006_B_5,802109721,AF,515,1899-12-31 07:25:00,39.25,,23.4,23.4,108,109,3,1,,XX.WB|XX.RWM,,SQ,,,,,,,,,
2006,C,-1,2006_C_-1,802122927,JJ,515,1899-12-31 07:30:00,5.8,,17.7,17.6,,,,1,,MX.XX|BX.XX,,CK,,,,,,,,,
2006,C,-1,2006_C_-1,CA142,AM,515,1899-12-31 07:30:00,32.75,,26.5,26.3,111,112,0,1,,RX.MX|RX.LX,,CK,,,,,,,,,
2006,B,4,2006_B_4,802122928,AF,515,1899-12-31 07:45:00,36.5,,24.2,24.3,102,103,2,1,,YX.MX|BX.LX,,SQ,,,,,,,,,
2006,A,102,2006_A_102,802122930,AF,515,1899-12-31 10:30:00,39.25,,25.9,25.8,95,105,2,1,,YX.MX|BX.GX,,SQ,,,,,,,,,
2006,B,1,2006_B_1,CA241,AF,518,1899-12-31 05:00:00,40,,,,,,,0,,RX.MX|BX.BX,,CK,,,,,,,,,
2006,C,107,2006_C_107,RX.WX|RX.GX,AF,518,1899-12-31 08:50:00,41.25,,24.4,24.3,104,103,2,1,,RX.WX|RX.GX,,CK,,,,,,,,,
2006,B,6,2006_B_6,RX.WX|YX.WX,AF,518,1899-12-31 09:40:00,39.75,,25.2,25.2,98,103,2,1,,RX.WX|YX.WX,,CK,both 2nd Primaries broken,,,,,,,,
2006,C,106,2006_C_106,CA096,Af,518,1899-12-31 10:15:00,38,,24.6,24.4,106,105,0,1,,RX.MX|YX.YX,,CK,,,,,,,,,
2006,B,1,2006_B_1,802109744,AM,518,1899-12-31 23:30:00,40,,26.6,26.5,108,109,3,1,,XX.WX|XX.WMY,,CK,"found dead close to nest, probably hit by car",,,,,,,,
2006,C,1,2006_C_1,802122931,JJ,519,1899-12-31 06:50:00,5.9,,18,18.1,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,D,1,2006_D_1,802122932,JJ,519,1899-12-31 17:30:00,5.8,,16.2,16.3,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,D,1,2006_D_1,802122933,JJ,520,1899-12-31 07:00:00,6.1,,16.3,16.5,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,C,1,2006_C_1,802122934,JJ,520,1899-12-31 07:55:00,6.3,,18.1,17.9,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,C,1,2006_C_1,802122931,JJ,520,1899-12-31 08:10:00,5.4,,18.7,18.7,,,,0,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,C,1,2006_C_1,802122935,JJ,520,1899-12-31 08:10:00,5.2,,16.7,16.7,,,,1,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,D,1,2006_D_1,802122936,JJ,520,1899-12-31 11:10:00,6.2,,16.5,16.5,,,,0,,MX.XX|XX.XX,,CK,,,,,,,,,
2006,C,107,2006_C_107,YX.BX|BX.RX,AM,520,1899-12-31 20:45:00,39,,24.5,24.4,109,109,1,1,,YX.BX|BX.RX,,SQ,,,,,,,,,
2006,B,6,2006_B_6,RX.WX|YX.BX,AM,520,1899-12-31 22:50:00,36.5,,26,26.1,107,109,2,1,,RX.WX|YX.BX,,CK,,,,,,,,,
2006,D,13,2006_D_13,CA2082,AF,520,,,,,,,,,,,YX.MX|WX.GX,,CK,"not captured, observation only",,,,,,,,
2006,A,105,2006_A_105,CA2037,AF,522,1899-12-31 07:50:00,36.25,,23.5,23.4,109,109,3,1,,XX.MX|XX.XX,,SQ,,,,,,,,,
2006,C,7,2006_C_7,CA2221,AM,522,1899-12-31 09:05:00,,,25.4,25.4,106,106,0,1,,PX.MX|PX.PX,,CK,,,,,,,,,
2006,C,5,2006_C_5,802109742,AF,522,1899-12-31 09:35:00,,,23.4,23.5,104,105,0,1,,YX.RX|YX.WM,,CK,,,,,,,,,
2006,D,6,2006_D_6,CA014,AF,522,1899-12-31 10:15:00,,,23,23.1,106,107,1,1,,RX.MX|YX.RX,,CK,,,,,,,,,
2006,C,11,2006_C_11,802109716,AM,524,1899-12-31 21:00:00,42.75,,25.9,25.7,110,110,3,1,,XX.YR|XX.WWM,,CK,,,,,,,,,
2006,C,7,2006_C_7,CA2221,AM,524,1899-12-31 22:15:00,38.25,,,,,,,0,,PX.MX|PX.PX,,CK,,,,,,,,,
2006,C,7,2006_C_7,CA002,AF,525,1899-12-31 08:15:00,37.5,,24.8,24.7,109,110,0,1,,RX.MX|XX.OX,,CK,right tibia previously broken,,,,,,,,
2006,C,11,2006_C_11,CA003,AF,525,1899-12-31 09:55:00,40.75,,25.6,25.6,110,110,0,1,,RX.MX|YX.GX,,CK,,,,,,,,,
2006,D,6,2006_D_6,CA005,JM,525,1899-12-31 19:15:00,6.4,,18,17.8,,,,1,,MX.XX|PX.XX,,CK,,,,,,,,,
2006,D,6,2006_D_6,CA004,JM,526,1899-12-31 08:00:00,5.6,,16.8,16.7,,,,1,,MX.XX|PX.XX,,CK,,,,,,,,,
2006,D,6,2006_D_6,CA006,JF,526,1899-12-31 18:30:00,5.2,,16.4,16.5,,,,1,,MX.XX|PX.XX,,CK,,,,,,,,,
2006,C,5,2006_C_5,CA007,AM,526,1899-12-31 22:40:00,40.5,,25.4,25.2,109,111,3,1,,RX.MX|BX.OX,,CK,,,,,,,,,
2006,C,13,2006_C_13,CA008,AM,526,1899-12-31 23:20:00,39.75,,25.7,25.5,109,110,2,1,,RX.MX|WX.OX,,CK,,,,,,,,,
2006,A,4,2006_A_4,CA101,AF,527,1899-12-31 07:25:00,41.25,,24.7,24.7,106,105,1,1,,YX.MX|OX.GX,,SQ,,,,,,,,,
2006,A,104,2006_A_104,802109760,AF,527,1899-12-31 08:25:00,42.75,,26.2,26.3,109,109,2,1,,WX.BX|BX.YM_802109760,,SQ,,,,,,,,,
2006,A,103,2006_A_103,CA102,AF,527,1899-12-31 09:15:00,42,,25.7,25.7,109,109,1,1,,YX.MX|OX.LX,,SQ,,,,,,,,,
2006,C,12,2006_C_12,CA010,AF,527,1899-12-31 09:35:00,35,,22.8,22.9,101,103,0,1,,RX.MX|RX.OX,,CK,,,,,,,,,
2006,A,101,2006_A_101,CA103,AF,527,1899-12-31 10:15:00,42.75,,25.8,25.8,106,107,1,1,,YX.MX|RX.WX,,SQ,,,,,,,,,
2006,C,105,2006_C_105,CA105,JM,527,1899-12-31 16:35:00,6.4,,18.4,18.4,,,,1,,MX.XX|LX.XX,,SQ,,,,,,,,,
2006,C,105,2006_C_105,CA106,JF,527,1899-12-31 16:35:00,6.3,,17.5,17.5,,,,1,,MX.XX|LX.XX,,SQ,,,,,,,,,
2006,D,2,2006_D_2,CA009,JF,527,1899-12-31 17:20:00,6.1,,18,18.1,,,,1,,MX.XX|WX.XX,,CK,,,,,,,,,
2006,D,111,2006_D_111,CA107,AM,527,1899-12-31 18:10:00,37.25,,25.4,25.5,109,109,0,1,,YX.MX|OX.WX,,SQ,,,,,,,,,
2006,D,112,2006_D_112,CA108,AM,527,1899-12-31 18:45:00,39,,24.1,24.2,107,108,0,1,,YX.MX|YX.GX,,SQ,,,,,,,,,
2006,C,6,2006_C_6,CA011,AF,527,1899-12-31 19:00:00,39.25,,26.4,26.5,113,112,0,1,,RX.MX|YX.LX,,CK,,,,,,,,,
2006,D,118,2006_D_118,CA109,AM,527,1899-12-31 19:20:00,38.75,,26.3,26.3,110,109,2,1,,YX.MX|RX.GX,,SQ,,,,,,,,,
2006,C,9,2006_C_9,CA012,AF,527,1899-12-31 19:35:00,36.75,,25.5,25.6,106,107,1,1,,RX.MX|LX.BX,,CK,,,,,,,,,
2006,C,10,2006_C_10,CA013,AM,527,1899-12-31 21:45:00,40.5,,25.2,25.1,109,109,3,1,,RX.MX|LX.LX,,CK,,,,,,,,,
2006,A,4,2006_A_4,CA110,AM,527,1899-12-31 22:55:00,36.75,,25,25,106,107,0,1,,YX.MX|GX.OX,,SQ,,,,,,,,,
2006,D,6,2006_D_6,CA006,JF,528,1899-12-31 08:00:00,4.8,,16.9,17.1,,,,0,,MX.XX|PX.XX,,CK,,,,,,,,,
2006,C,105,2006_C_105,CA111,JF,528,1899-12-31 08:05:00,5,,16.9,16.9,,,,1,,MX.XX|LX.XX,,SQ,,,,,,,,,
2006,D,6,2006_D_6,CA014,AF,528,1899-12-31 08:35:00,35.25,,,,,,,1,,RX.MX|YX.RX,,CK,,,,,,,,,
2006,B,7,2006_B_7,CA112,AF,528,1899-12-31 09:30:00,38,,24.7,24.6,109,110,1,1,,YX.MX|GX.RX,,SQ,,,,,,,,,
2006,B,8,2006_B_8,CA113,AF,528,1899-12-31 09:50:00,39.5,,24.9,24.9,108,109,2,1,,YX.MX|YX.RX,,SQ,,,,,,,,,
2006,C,8,2006_C_8,CA015,AF,528,1899-12-31 10:25:00,40.75,,26,25.9,112,112,2,1,,RX.MX|LX.GX,,CK,,,,,,,,,
2006,D,2,2006_D_2,CA004,JM,528,1899-12-31 19:25:00,4.3,,17.5,17.6,,,,0,,MX.XX|PX.XX,,CK,,,,,,,,,
2006,D,2,2006_D_2,CA016,JF,528,1899-12-31 19:25:00,6.3,,18.2,18.2,,,,1,,MX.XX|WX.XX,,CK,,,,,,,,,
2006,D,2,2006_D_2,CA017,JM,528,1899-12-31 19:25:00,6.4,,17.9,17.8,,,,1,,MX.XX|WX.XX,,CK,,,,,,,,,
2006,D,12,2006_D_12,CA018,AF,529,1899-12-31 08:00:00,44.25,,25,25.1,108,108,1,1,,RX.MX|LX.OX,,CK,,,,,,,,,
2006,D,11,2006_D_11,CA019,AF,529,1899-12-31 08:50:00,40.25,,24,23.9,109,110,1,1,,RX.MX|LX.RX,,CK,,,,,,,,,
2006,D,4,2006_D_4,CA020,AF,529,1899-12-31 09:30:00,38.5,,25.5,25.6,105,106,1,1,,RX.MX|LX.WX,,CK,,,,,,,,,
2006,D,10,2006_D_10,CA021,AF,529,1899-12-31 10:05:00,41,,24.8,24.9,106,107,0,1,,RX.MX|LX.YX,,CK,,,,,,,,,
2006,A,5,2006_A_5,CA022,JM,529,1899-12-31 16:30:00,5.8,,17.9,17.8,,,,1,,MX.XX|YX.XX,,CK,,,,,,,,,
2006,B,2,2006_B_2,CA023,JM,529,1899-12-31 17:05:00,6.3,,18.3,18.2,,,,1,,MX.XX|OX.XX,,CK,,,,,,,,,
2006,D,7,2006_D_7,CA025,AF,529,1899-12-31 18:35:00,36.75,,24.5,24.6,108,108,0,1,,RX.MX|GX.BX,,CK,,,,,,,,,
2006,D,102,2006_D_102,CA024,JM,529,1899-12-31 18:50:00,5.9,,17.8,17.6,,,,1,,MX.XX|GX.XX,,CK,,,,,,,,,
2006,D,101,2006_D_101,CA190,AF,529,1899-12-31 18:50:00,37.5,,,,,,,0,,OX.MX|WX.LX,,CK,,,,,,,,,
2006,D,5,2006_D_5,CA026,AM,529,1899-12-31 19:45:00,40.25,,25,25.3,111,113,1,1,,RX.MX|GX.LX,,CK,,,,,,,,,
2006,D,3,2006_D_3,CA027,AM,529,1899-12-31 20:40:00,41,,25.2,25.3,107,108,2,1,,RX.MX|GX.GX,,CK,,,,,,,,,
