"Sex_Age"	"estimate"	"species"	"iter"
"Female_Chick"	0.562564046274231	"White-fronted"	18
"Male_Chick"	0.42022265000302	"White-fronted"	18
"Female_Adult"	0.9516315	"White-fronted"	19
"Male_Adult"	0.9291186	"White-fronted"	19
"Female_Juvenile"	0.6220126	"White-fronted"	19
"Male_Juvenile"	0.4059805	"White-fronted"	19
"Female_Chick"	0.276562268482846	"White-fronted"	19
"Male_Chick"	0.497258478228029	"White-fronted"	19
"Female_Adult"	0.9125672	"White-fronted"	20
"Male_Adult"	0.8935273	"White-fronted"	20
"Female_Juvenile"	0.5402935	"White-fronted"	20
"Male_Juvenile"	0.4211355	"White-fronted"	20
"Female_Chick"	0.285592967615611	"White-fronted"	20
"Male_Chick"	0.388096614347846	"White-fronted"	20
"Female_Adult"	0.9300333	"White-fronted"	21
"Male_Adult"	0.8981265	"White-fronted"	21
"Female_Juvenile"	0.6400749	"White-fronted"	21
"Male_Juvenile"	0.4179318	"White-fronted"	21
"Female_Chick"	0.32300350170987	"White-fronted"	21
"Male_Chick"	0.377206701398129	"White-fronted"	21
"Female_Adult"	0.9503977	"White-fronted"	22
"Male_Adult"	0.9630016	"White-fronted"	22
"Female_Juvenile"	0.4685653	"White-fronted"	22
"Male_Juvenile"	0.4157803	"White-fronted"	22
"Female_Chick"	0.220985596310784	"White-fronted"	22
"Male_Chick"	0.372708108786736	"White-fronted"	22
"Female_Adult"	0.9469762	"White-fronted"	23
"Male_Adult"	0.9141954	"White-fronted"	23
"Female_Juvenile"	0.6074525	"White-fronted"	23
"Male_Juvenile"	0.3621802	"White-fronted"	23
"Female_Chick"	0.611225023333076	"White-fronted"	23
"Male_Chick"	0.362449577062481	"White-fronted"	23
"Female_Adult"	0.9004408	"White-fronted"	24
"Male_Adult"	0.9435703	"White-fronted"	24
"Female_Juvenile"	0.5367221	"White-fronted"	24
"Male_Juvenile"	0.4537688	"White-fronted"	24
"Female_Chick"	0.439187729233047	"White-fronted"	24
"Male_Chick"	0.232414350329399	"White-fronted"	24
"Female_Adult"	0.9106839	"White-fronted"	25
"Male_Adult"	0.9487862	"White-fronted"	25
"Female_Juvenile"	0.5661529	"White-fronted"	25
"Male_Juvenile"	0.3890091	"White-fronted"	25
"Female_Chick"	0.578792641554257	"White-fronted"	25
"Male_Chick"	0.411121059720537	"White-fronted"	25
"Female_Adult"	0.9046169	"White-fronted"	26
"Male_Adult"	0.9040793	"White-fronted"	26
"Female_Juvenile"	0.4976247	"White-fronted"	26
"Male_Juvenile"	0.4188352	"White-fronted"	26
"Female_Chick"	0.520481191866868	"White-fronted"	26
"Male_Chick"	0.598447236369525	"White-fronted"	26
"Female_Adult"	0.9738516	"White-fronted"	27
"Male_Adult"	0.9441949	"White-fronted"	27
"Female_Juvenile"	0.4864157	"White-fronted"	27
"Male_Juvenile"	0.4434885	"White-fronted"	27
"Female_Chick"	0.3368000014444	"White-fronted"	27
"Male_Chick"	0.507469764650992	"White-fronted"	27
"Female_Adult"	0.9732541	"White-fronted"	28
"Male_Adult"	0.9413662	"White-fronted"	28
"Female_Juvenile"	0.5680903	"White-fronted"	28
"Male_Juvenile"	0.3978566	"White-fronted"	28
"Female_Chick"	0.482079709647676	"White-fronted"	28
"Male_Chick"	0.519982611020427	"White-fronted"	28
"Female_Adult"	0.9038017	"White-fronted"	29
"Male_Adult"	0.9526815	"White-fronted"	29
"Female_Juvenile"	0.6124127	"White-fronted"	29
"Male_Juvenile"	0.3711625	"White-fronted"	29
"Female_Chick"	1	"White-fronted"	29
"Male_Chick"	0.479649258390656	"White-fronted"	29
"Female_Adult"	0.9421228	"White-fronted"	30
"Male_Adult"	0.9425165	"White-fronted"	30
"Female_Juvenile"	0.4743006	"White-fronted"	30
