"Sex_Age"	"estimate"	"species"	"iter"
"Female_Juvenile"	0.40129	"Kentish (Tuzla)"	15
"Male_Juvenile"	0.4886211	"Kentish (Tuzla)"	15
"Female_Chick"	0.297435238087865	"Kentish (Tuzla)"	15
"Male_Chick"	0.208246972310038	"Kentish (Tuzla)"	15
"Female_Adult"	0.773911	"Kentish (Tuzla)"	16
"Male_Adult"	0.7681316	"Kentish (Tuzla)"	16
"Female_Juvenile"	0.3669026	"Kentish (Tuzla)"	16
"Male_Juvenile"	0.6682534	"Kentish (Tuzla)"	16
"Female_Chick"	0.333845915964229	"Kentish (Tuzla)"	16
"Male_Chick"	0.198964594149564	"Kentish (Tuzla)"	16
"Female_Adult"	0.7844996	"Kentish (Tuzla)"	17
"Male_Adult"	0.726698	"Kentish (Tuzla)"	17
"Female_Juvenile"	0.400221	"Kentish (Tuzla)"	17
"Male_Juvenile"	0.6068206	"Kentish (Tuzla)"	17
"Female_Chick"	0.497658002598843	"Kentish (Tuzla)"	17
"Male_Chick"	0.283568207175588	"Kentish (Tuzla)"	17
"Female_Adult"	0.7599862	"Kentish (Tuzla)"	18
"Male_Adult"	0.7421075	"Kentish (Tuzla)"	18
"Female_Juvenile"	0.3797355	"Kentish (Tuzla)"	18
"Male_Juvenile"	0.5430703	"Kentish (Tuzla)"	18
"Female_Chick"	0.381318275904065	"Kentish (Tuzla)"	18
"Male_Chick"	0.0883680429844325	"Kentish (Tuzla)"	18
"Female_Adult"	0.7748611	"Kentish (Tuzla)"	19
"Male_Adult"	0.7496028	"Kentish (Tuzla)"	19
"Female_Juvenile"	0.492167	"Kentish (Tuzla)"	19
"Male_Juvenile"	0.6771481	"Kentish (Tuzla)"	19
"Female_Chick"	0.485595934601557	"Kentish (Tuzla)"	19
"Male_Chick"	0.307109628064689	"Kentish (Tuzla)"	19
"Female_Adult"	0.7626351	"Kentish (Tuzla)"	20
"Male_Adult"	0.7573575	"Kentish (Tuzla)"	20
"Female_Juvenile"	0.4356531	"Kentish (Tuzla)"	20
"Male_Juvenile"	0.6237268	"Kentish (Tuzla)"	20
"Female_Chick"	0.437933290052418	"Kentish (Tuzla)"	20
"Male_Chick"	0.387042305270789	"Kentish (Tuzla)"	20
"Female_Adult"	0.7287558	"Kentish (Tuzla)"	21
"Male_Adult"	0.7763804	"Kentish (Tuzla)"	21
"Female_Juvenile"	0.4737561	"Kentish (Tuzla)"	21
"Male_Juvenile"	0.5947753	"Kentish (Tuzla)"	21
"Female_Chick"	0.44141304689498	"Kentish (Tuzla)"	21
"Male_Chick"	0.182350647689991	"Kentish (Tuzla)"	21
"Female_Adult"	0.7772466	"Kentish (Tuzla)"	22
"Male_Adult"	0.744371	"Kentish (Tuzla)"	22
"Female_Juvenile"	0.3987693	"Kentish (Tuzla)"	22
"Male_Juvenile"	0.6256098	"Kentish (Tuzla)"	22
"Female_Chick"	0.453526459483332	"Kentish (Tuzla)"	22
"Male_Chick"	0.374488977455236	"Kentish (Tuzla)"	22
"Female_Adult"	0.7654202	"Kentish (Tuzla)"	23
"Male_Adult"	0.7447228	"Kentish (Tuzla)"	23
"Female_Juvenile"	0.3525527	"Kentish (Tuzla)"	23
"Male_Juvenile"	0.4663182	"Kentish (Tuzla)"	23
"Female_Chick"	0.348442531839612	"Kentish (Tuzla)"	23
"Male_Chick"	0.316752361019016	"Kentish (Tuzla)"	23
"Female_Adult"	0.7112568	"Kentish (Tuzla)"	24
"Male_Adult"	0.7594026	"Kentish (Tuzla)"	24
"Female_Juvenile"	0.3867715	"Kentish (Tuzla)"	24
"Male_Juvenile"	0.5414804	"Kentish (Tuzla)"	24
"Female_Chick"	0.357537573057869	"Kentish (Tuzla)"	24
"Male_Chick"	0.442846650085683	"Kentish (Tuzla)"	24
"Female_Adult"	0.7486322	"Kentish (Tuzla)"	25
"Male_Adult"	0.7334397	"Kentish (Tuzla)"	25
"Female_Juvenile"	0.4364066	"Kentish (Tuzla)"	25
"Male_Juvenile"	0.5567833	"Kentish (Tuzla)"	25
"Female_Chick"	0.276485095816055	"Kentish (Tuzla)"	25
"Male_Chick"	0.242424931512824	"Kentish (Tuzla)"	25
"Female_Adult"	0.7325017	"Kentish (Tuzla)"	26
"Male_Adult"	0.7266765	"Kentish (Tuzla)"	26
"Female_Juvenile"	0.3654433	"Kentish (Tuzla)"	26
"Male_Juvenile"	0.6738894	"Kentish (Tuzla)"	26
"Female_Chick"	0.558541274396205	"Kentish (Tuzla)"	26
"Male_Chick"	0.39921726723526	"Kentish (Tuzla)"	26
"Female_Adult"	0.7616719	"Kentish (Tuzla)"	27
"Male_Adult"	0.7412239	"Kentish (Tuzla)"	27
"Female_Juvenile"	0.379611	"Kentish (Tuzla)"	27
"Male_Juvenile"	0.609905	"Kentish (Tuzla)"	27
"Female_Chick"	0.433453403192907	"Kentish (Tuzla)"	27
"Male_Chick"	0.206445772544213	"Kentish (Tuzla)"	27
"Female_Adult"	0.7557554	"Kentish (Tuzla)"	28
"Male_Adult"	0.756825	"Kentish (Tuzla)"	28
"Female_Juvenile"	0.3515317	"Kentish (Tuzla)"	28
"Male_Juvenile"	0.5884987	"Kentish (Tuzla)"	28
"Female_Chick"	0.466235583302548	"Kentish (Tuzla)"	28
"Male_Chick"	0.165822651254134	"Kentish (Tuzla)"	28
"Female_Adult"	0.775479	"Kentish (Tuzla)"	29
"Male_Adult"	0.7504692	"Kentish (Tuzla)"	29
"Female_Juvenile"	0.3903793	"Kentish (Tuzla)"	29
"Male_Juvenile"	0.5214281	"Kentish (Tuzla)"	29
"Female_Chick"	0.634171029531509	"Kentish (Tuzla)"	29
"Male_Chick"	0.4670908777914	"Kentish (Tuzla)"	29
"Female_Adult"	0.7714999	"Kentish (Tuzla)"	30
"Male_Adult"	0.7388116	"Kentish (Tuzla)"	30
"Female_Juvenile"	0.3735797	"Kentish (Tuzla)"	30
"Male_Juvenile"	0.6339779	"Kentish (Tuzla)"	30
"Female_Chick"	0.407198984668732	"Kentish (Tuzla)"	30
"Male_Chick"	0.47769483835717	"Kentish (Tuzla)"	30
"Female_Adult"	0.741626	"Kentish (Tuzla)"	31
"Male_Adult"	0.7599257	"Kentish (Tuzla)"	31
"Female_Juvenile"	0.38898	"Kentish (Tuzla)"	31
"Male_Juvenile"	0.6719685	"Kentish (Tuzla)"	31
"Female_Chick"	0.344097811047329	"Kentish (Tuzla)"	31
"Male_Chick"	0.185944036678393	"Kentish (Tuzla)"	31
"Female_Adult"	0.7598676	"Kentish (Tuzla)"	32
"Male_Adult"	0.7306839	"Kentish (Tuzla)"	32
"Female_Juvenile"	0.3678147	"Kentish (Tuzla)"	32
"Male_Juvenile"	0.5584647	"Kentish (Tuzla)"	32
"Female_Chick"	0.427429252311299	"Kentish (Tuzla)"	32
"Male_Chick"	0.262123764881076	"Kentish (Tuzla)"	32
"Female_Adult"	0.7564146	"Kentish (Tuzla)"	33
"Male_Adult"	0.7513195	"Kentish (Tuzla)"	33
"Female_Juvenile"	0.4301956	"Kentish (Tuzla)"	33
"Male_Juvenile"	0.5393636	"Kentish (Tuzla)"	33
"Female_Chick"	0.432980147540006	"Kentish (Tuzla)"	33
"Male_Chick"	0.219215501626867	"Kentish (Tuzla)"	33
"Female_Adult"	0.7365987	"Kentish (Tuzla)"	34
"Male_Adult"	0.7131714	"Kentish (Tuzla)"	34
"Female_Juvenile"	0.3954484	"Kentish (Tuzla)"	34
"Male_Juvenile"	0.5905506	"Kentish (Tuzla)"	34
"Female_Chick"	0.405550991306355	"Kentish (Tuzla)"	34
"Male_Chick"	0.272559304780342	"Kentish (Tuzla)"	34
"Female_Adult"	0.7757509	"Kentish (Tuzla)"	35
"Male_Adult"	0.7384453	"Kentish (Tuzla)"	35
"Female_Juvenile"	0.3694045	"Kentish (Tuzla)"	35
"Male_Juvenile"	0.6327028	"Kentish (Tuzla)"	35
"Female_Chick"	0.540096021771228	"Kentish (Tuzla)"	35
"Male_Chick"	0.32808752505991	"Kentish (Tuzla)"	35
"Female_Adult"	0.731372	"Kentish (Tuzla)"	36
"Male_Adult"	0.7445415	"Kentish (Tuzla)"	36
"Female_Juvenile"	0.3884711	"Kentish (Tuzla)"	36
"Male_Juvenile"	0.5317925	"Kentish (Tuzla)"	36
"Female_Chick"	0.391137144252184	"Kentish (Tuzla)"	36
"Male_Chick"	0.308552882530886	"Kentish (Tuzla)"	36
