"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~Sex * Quadratic"	"~Quadratic"	"Phi(~Sex * Quadratic)p(~Quadratic)"	6	10071.2510429492	527.904967428716	0	7676.2599	"Snowy"	2
"~Sex * Quadratic"	"~Cubic"	"Phi(~Sex * Quadratic)p(~Cubic)"	6	10077.6640429492	534.317967428717	0	7682.6736	"Snowy"	2
"~Sex * Quadratic"	"~Sex"	"Phi(~Sex * Quadratic)p(~Sex)"	6	10078.6570429492	535.310967428717	0	7683.6663	"Snowy"	2
"~Sex * Quadratic"	"~1"	"Phi(~Sex * Quadratic)p(~1)"	5	10083.7363129771	540.390237456639	0	7690.7512	"Snowy"	2
"~Sex * Quadratic"	"~Year * Quadratic"	"Phi(~Sex * Quadratic)p(~Year * Quadratic)"	18	10065.4982827163	0	0.999934712580867	7686.7778	"Snowy"	3
"~Sex * Quadratic"	"~Year + Time + Sex"	"Phi(~Sex * Quadratic)p(~Year + Time + Sex)"	13	10086.6877277438	21.1894450274194	2.50462159115333e-05	7718.0423	"Snowy"	3
"~Sex * Quadratic"	"~Year + Time * Sex"	"Phi(~Sex * Quadratic)p(~Year + Time * Sex)"	14	10087.4619399293	21.9636572129875	1.70068577865263e-05	7716.8033	"Snowy"	3
"~Sex * Quadratic"	"~Year + Time"	"Phi(~Sex * Quadratic)p(~Year + Time)"	12	10087.7044636214	22.2061809050392	1.50647083943168e-05	7721.072	"Snowy"	3
"~Sex * Quadratic"	"~Year"	"Phi(~Sex * Quadratic)p(~Year)"	11	10090.6731468927	25.1748641763152	3.41443891800009e-06	7726.0515	"Snowy"	3
"~Sex * Quadratic"	"~Year + Quadratic + Sex"	"Phi(~Sex * Quadratic)p(~Year + Quadratic + Sex)"	13	10091.5147277438	26.0164450274187	2.24167365593568e-06	7722.8697	"Snowy"	3
"~Sex * Quadratic"	"~Year + Quadratic"	"Phi(~Sex * Quadratic)p(~Year + Quadratic)"	12	10092.6234636214	27.1251809050391	1.28769631022543e-06	7725.9907	"Snowy"	3
