"Sex_Age"	"estimate"	"species"	"iter"
"Male_Juvenile"	0.0925726	"Madagascar"	18
"Female_Chick"	0.200710753208545	"Madagascar"	18
"Male_Chick"	0.0301655431491149	"Madagascar"	18
"Female_Adult"	0.9411726	"Madagascar"	19
"Male_Adult"	0.9392469	"Madagascar"	19
"Female_Juvenile"	0.1308208	"Madagascar"	19
"Male_Juvenile"	0.0705856	"Madagascar"	19
"Female_Chick"	0.307626221710265	"Madagascar"	19
"Male_Chick"	0.0651631436104851	"Madagascar"	19
"Female_Adult"	0.9566053	"Madagascar"	20
"Male_Adult"	0.8529039	"Madagascar"	20
"Female_Juvenile"	0.1185929	"Madagascar"	20
"Male_Juvenile"	0.1582065	"Madagascar"	20
"Female_Chick"	0.172087794647626	"Madagascar"	20
"Male_Chick"	0.0943133662385057	"Madagascar"	20
"Female_Adult"	0.8920909	"Madagascar"	21
"Male_Adult"	0.9402461	"Madagascar"	21
"Female_Juvenile"	0.1980854	"Madagascar"	21
"Male_Juvenile"	0.1447169	"Madagascar"	21
"Female_Chick"	0.0819689172582564	"Madagascar"	21
"Male_Chick"	0.0514931772974673	"Madagascar"	21
"Female_Adult"	0.9011436	"Madagascar"	22
"Male_Adult"	0.9334227	"Madagascar"	22
"Female_Juvenile"	0.1724071	"Madagascar"	22
"Male_Juvenile"	0.1631521	"Madagascar"	22
"Female_Chick"	0.283143464547416	"Madagascar"	22
"Male_Chick"	0.0359763555950054	"Madagascar"	22
"Female_Adult"	0.8380622	"Madagascar"	23
"Male_Adult"	0.8249409	"Madagascar"	23
"Female_Juvenile"	0.1538868	"Madagascar"	23
"Male_Juvenile"	0.1406244	"Madagascar"	23
"Female_Chick"	0.0729927856334726	"Madagascar"	23
"Male_Chick"	0.0821880861444705	"Madagascar"	23
"Female_Adult"	0.9159204	"Madagascar"	24
"Male_Adult"	0.9009492	"Madagascar"	24
"Female_Juvenile"	0.1982899	"Madagascar"	24
"Male_Juvenile"	0.1760447	"Madagascar"	24
"Female_Chick"	0.084149451574004	"Madagascar"	24
"Male_Chick"	0.0765466852243349	"Madagascar"	24
"Female_Adult"	0.8822557	"Madagascar"	25
"Male_Adult"	0.8524836	"Madagascar"	25
"Female_Juvenile"	0.1829086	"Madagascar"	25
"Male_Juvenile"	0.1397327	"Madagascar"	25
"Female_Chick"	0.512074320323092	"Madagascar"	25
"Male_Chick"	0.26975922033847	"Madagascar"	25
"Female_Adult"	0.8466268	"Madagascar"	26
"Male_Adult"	0.8179924	"Madagascar"	26
"Female_Juvenile"	0.1876775	"Madagascar"	26
"Male_Juvenile"	0.1040618	"Madagascar"	26
"Female_Chick"	0.295739541363246	"Madagascar"	26
"Male_Chick"	0.120438732203575	"Madagascar"	26
"Female_Adult"	0.8927498	"Madagascar"	27
