"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	9	4950.53636382979	46.6241834879074	7.49044641529442e-11	468.04043	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	4982.08818603066	78.1760056887842	0	493.55474	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	4987.21863947816	83.3064591362827	0	506.73291	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	4992.58053947816	88.6683591362826	0	512.09476	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	4997.8188550326	93.9066746907247	0	519.34216	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	5017.21515503261	113.302974690725	0	538.73849	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	5019.15753947816	115.245359136282	0	538.67182	"Kentish (Tuzla)"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	5022.48970952381	118.577529181929	0	546.02104	"Kentish (Tuzla)"	2
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	5165.29008603066	261.377905688784	0	676.75658	"Kentish (Tuzla)"	2
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	5170.18183947816	266.269659136282	0	689.6961	"Kentish (Tuzla)"	2
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	5187.75403947816	283.841859136282	0	707.2683	"Kentish (Tuzla)"	2
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	5191.90665503261	287.994474690725	0	713.42996	"Kentish (Tuzla)"	2
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	5203.43585503261	299.523674690725	0	724.95922	"Kentish (Tuzla)"	2
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	5205.22113947816	301.308959136282	0	724.73543	"Kentish (Tuzla)"	2
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	5207.68080952381	303.768629181929	0	731.21213	"Kentish (Tuzla)"	2
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	5760.55430952381	856.642129181929	0	1284.0856	"Kentish (Tuzla)"	2
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	5762.34245503261	858.430274690725	0	1283.8658	"Kentish (Tuzla)"	2
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	5762.53903947816	858.626859136282	0	1282.0533	"Kentish (Tuzla)"	2
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	5763.73150198357	859.819321641685	0	1289.2696	"Kentish (Tuzla)"	2
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	5765.57280952381	861.660629181929	0	1289.1041	"Kentish (Tuzla)"	2
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	24	4829.39631149748	0	0.998367848128519	275.53468	"Kentish (Tuzla)"	3
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	14	4842.25434966443	12.8580381669544	0.00161139894269882	308.61181	"Kentish (Tuzla)"	3
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	11	4851.04266362112	21.6463521236474	1.98996274581286e-05	323.44376	"Kentish (Tuzla)"	3
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	10	4857.34135251397	27.9450410164909	8.53300561365766e-07	331.75478	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	4885.22619955282	55.8298880553475	7.51595952205356e-13	355.61384	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	4894.64740100503	65.2510895075493	6.76388991555986e-15	373.08212	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	4896.17140100502	66.7750895075487	3.15692406331304e-15	374.60607	"Kentish (Tuzla)"	3
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	14	4897.50084966443	68.1045381669537	1.62397009336032e-15	363.85825	"Kentish (Tuzla)"	3
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	10	4901.35305251397	71.95674101649	0	375.76653	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	4902.37785872174	72.9815472242653	0	382.82153	"Kentish (Tuzla)"	3
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	9	4908.55426528903	79.1579537915495	0	384.97883	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	4946.36680100503	116.970489507549	0	424.8015	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	4946.55375872174	117.157447224266	0	426.99733	"Kentish (Tuzla)"	3
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	4954.1051375	124.708826002524	0	436.55655	"Kentish (Tuzla)"	3
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	5029.42929955282	200.032988055347	0	499.81697	"Kentish (Tuzla)"	3
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	5040.29030100502	210.893989507549	0	518.725	"Kentish (Tuzla)"	3
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	5058.28350100502	228.887189507549	0	536.71821	"Kentish (Tuzla)"	3
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	5063.38365872174	233.987347224265	0	543.82729	"Kentish (Tuzla)"	3
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	5096.22200100503	266.825689507549	0	574.65668	"Kentish (Tuzla)"	3
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	5097.02035872174	267.624047224265	0	577.46401	"Kentish (Tuzla)"	3
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	5103.4035375	274.007226002524	0	585.85494	"Kentish (Tuzla)"	3
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	5618.48145872174	789.085147224266	0	1098.9251	"Kentish (Tuzla)"	3
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	5619.3460375	789.949726002525	0	1101.7975	"Kentish (Tuzla)"	3
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	5619.64260100502	790.246289507549	0	1098.0772	"Kentish (Tuzla)"	3
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	5633.4279375	804.031626002524	0	1115.8794	"Kentish (Tuzla)"	3
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	5634.49023640167	805.093924904198	0	1118.9484	"Kentish (Tuzla)"	3
