"Sex_Age"	"estimate"	"species"	"iter"
"Male_Juvenile"	0.1830682	"Kentish (Maio)"	16
"Female_Chick"	0.888348570163331	"Kentish (Maio)"	16
"Male_Chick"	0.65762546418066	"Kentish (Maio)"	16
"Female_Adult"	0.8766906	"Kentish (Maio)"	17
"Male_Adult"	0.8449639	"Kentish (Maio)"	17
"Female_Juvenile"	0.1918803	"Kentish (Maio)"	17
"Male_Juvenile"	0.1586075	"Kentish (Maio)"	17
"Female_Chick"	0.809488746554637	"Kentish (Maio)"	17
"Male_Chick"	0.335919301423909	"Kentish (Maio)"	17
"Female_Adult"	0.8421834	"Kentish (Maio)"	18
"Male_Adult"	0.8663978	"Kentish (Maio)"	18
"Female_Juvenile"	0.205092	"Kentish (Maio)"	18
"Male_Juvenile"	0.1642541	"Kentish (Maio)"	18
"Female_Chick"	0.640092004379665	"Kentish (Maio)"	18
"Male_Chick"	0.524059528898883	"Kentish (Maio)"	18
"Female_Adult"	0.8759843	"Kentish (Maio)"	19
"Male_Adult"	0.8368476	"Kentish (Maio)"	19
"Female_Juvenile"	0.1793867	"Kentish (Maio)"	19
"Male_Juvenile"	0.1658962	"Kentish (Maio)"	19
"Female_Chick"	0.639205863236373	"Kentish (Maio)"	19
"Male_Chick"	0.522874145371141	"Kentish (Maio)"	19
"Female_Adult"	0.8752044	"Kentish (Maio)"	20
"Male_Adult"	0.8445178	"Kentish (Maio)"	20
"Female_Juvenile"	0.1814957	"Kentish (Maio)"	20
"Male_Juvenile"	0.1800586	"Kentish (Maio)"	20
"Female_Chick"	0.598358041402826	"Kentish (Maio)"	20
"Male_Chick"	0.616806529940808	"Kentish (Maio)"	20
"Female_Adult"	0.8551765	"Kentish (Maio)"	21
"Male_Adult"	0.8344254	"Kentish (Maio)"	21
"Female_Juvenile"	0.2054662	"Kentish (Maio)"	21
"Male_Juvenile"	0.1787907	"Kentish (Maio)"	21
"Female_Chick"	0.574490401390306	"Kentish (Maio)"	21
"Male_Chick"	0.420885674978683	"Kentish (Maio)"	21
"Female_Adult"	0.8618503	"Kentish (Maio)"	22
"Male_Adult"	0.8509664	"Kentish (Maio)"	22
"Female_Juvenile"	0.1594595	"Kentish (Maio)"	22
"Male_Juvenile"	0.1511956	"Kentish (Maio)"	22
"Female_Chick"	0.714820238385416	"Kentish (Maio)"	22
"Male_Chick"	0.568205296524886	"Kentish (Maio)"	22
"Female_Adult"	0.8342526	"Kentish (Maio)"	23
"Male_Adult"	0.8681572	"Kentish (Maio)"	23
"Female_Juvenile"	0.1929861	"Kentish (Maio)"	23
"Male_Juvenile"	0.1699021	"Kentish (Maio)"	23
"Female_Chick"	0.597152980552916	"Kentish (Maio)"	23
"Male_Chick"	0.65043345145414	"Kentish (Maio)"	23
"Female_Adult"	0.844612	"Kentish (Maio)"	24
"Male_Adult"	0.8308296	"Kentish (Maio)"	24
"Female_Juvenile"	0.2282319	"Kentish (Maio)"	24
"Male_Juvenile"	0.149057	"Kentish (Maio)"	24
"Female_Chick"	1	"Kentish (Maio)"	24
"Male_Chick"	0.663883914438326	"Kentish (Maio)"	24
"Female_Adult"	0.8183418	"Kentish (Maio)"	25
"Male_Adult"	0.8519139	"Kentish (Maio)"	25
"Female_Juvenile"	0.1730285	"Kentish (Maio)"	25
"Male_Juvenile"	0.1442723	"Kentish (Maio)"	25
"Female_Chick"	1	"Kentish (Maio)"	25
