"Sex_Age"	"estimate"	"species"	"iter"
"Male_Juvenile"	0.4177104	"Snowy"	19
"Female_Chick"	0.446634473076923	"Snowy"	19
"Male_Chick"	0.804505907692308	"Snowy"	19
"Female_Adult"	0.6645733	"Snowy"	20
"Male_Adult"	NA	"Snowy"	20
"Female_Juvenile"	0.508109666666667	"Snowy"	20
"Male_Juvenile"	NA	"Snowy"	20
"Female_Chick"	0.488965111538462	"Snowy"	20
"Male_Chick"	0.8360759	"Snowy"	20
"Female_Adult"	0.6280334	"Snowy"	21
"Male_Adult"	NA	"Snowy"	21
"Female_Juvenile"	0.570515166666667	"Snowy"	21
"Male_Juvenile"	NA	"Snowy"	21
"Female_Chick"	0.480843773076923	"Snowy"	21
"Male_Chick"	NA	"Snowy"	21
"Female_Adult"	0.544473216666667	"Snowy"	22
"Male_Adult"	0.7296661	"Snowy"	22
"Female_Juvenile"	0.633214916666667	"Snowy"	22
"Male_Juvenile"	0.580810783333333	"Snowy"	22
"Female_Chick"	0.459515326923077	"Snowy"	22
"Male_Chick"	NA	"Snowy"	22
"Female_Adult"	0.526230966666667	"Snowy"	23
"Male_Adult"	0.684887416666667	"Snowy"	23
"Female_Juvenile"	0.740425183333333	"Snowy"	23
"Male_Juvenile"	0.590847916666667	"Snowy"	23
"Female_Chick"	0.449453130769231	"Snowy"	23
"Male_Chick"	NA	"Snowy"	23
"Female_Adult"	0.49705565	"Snowy"	24
"Male_Adult"	0.70842325	"Snowy"	24
"Female_Juvenile"	NA	"Snowy"	24
"Male_Juvenile"	NA	"Snowy"	24
"Female_Chick"	0.500769111538461	"Snowy"	24
"Male_Chick"	NA	"Snowy"	24
"Female_Adult"	0.579018283333333	"Snowy"	25
"Male_Adult"	0.743115983333333	"Snowy"	25
"Female_Juvenile"	0.5665745	"Snowy"	25
"Male_Juvenile"	0.463800633333333	"Snowy"	25
"Female_Chick"	0.427694207692308	"Snowy"	25
"Male_Chick"	NA	"Snowy"	25
"Female_Adult"	0.61527465	"Snowy"	26
"Male_Adult"	NA	"Snowy"	26
"Female_Juvenile"	0.616730366666667	"Snowy"	26
"Male_Juvenile"	NA	"Snowy"	26
"Female_Chick"	0.430610969230769	"Snowy"	26
"Male_Chick"	0.798905334615385	"Snowy"	26
"Female_Adult"	0.6339434	"Snowy"	27
"Male_Adult"	NA	"Snowy"	27
"Female_Juvenile"	0.5646317	"Snowy"	27
"Male_Juvenile"	NA	"Snowy"	27
"Female_Chick"	0.449220392307692	"Snowy"	27
"Male_Chick"	0.188249364638462	"Snowy"	27
"Female_Adult"	0.64986235	"Snowy"	28
"Male_Adult"	NA	"Snowy"	28
"Female_Juvenile"	0.479506666666667	"Snowy"	28
"Male_Juvenile"	NA	"Snowy"	28
"Female_Chick"	0.425893534615385	"Snowy"	28
"Male_Chick"	0.806969457692308	"Snowy"	28
"Female_Adult"	0.621751416666667	"Snowy"	29
"Male_Adult"	NA	"Snowy"	29
"Female_Juvenile"	0.575262533333333	"Snowy"	29
"Male_Juvenile"	NA	"Snowy"	29
"Female_Chick"	0.497487865384615	"Snowy"	29
"Male_Chick"	0.413939803846154	"Snowy"	29
