"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	671.371204214876	25.1745598486788	3.15496719104433e-06	254.14309	"Madagascar"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	671.934164214876	25.7375198486787	2.38094649810088e-06	254.70605	"Madagascar"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	672.033466986301	25.836822620104	2.2656160556258e-06	258.97191	"Madagascar"	2
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	672.171802307692	25.975157941495	2.11420541266228e-06	257.03268	"Madagascar"	2
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	672.420500779944	26.2238564137471	1.86699430530451e-06	246.72	"Madagascar"	2
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	673.063256986301	26.8666126201041	1.35384908710432e-06	260.0017	"Madagascar"	2
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	673.688724214876	27.4920798486787	9.90265784100967e-07	256.46061	"Madagascar"	2
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	673.695954214876	27.4993098486788	9.86692436009535e-07	256.46783	"Madagascar"	2
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	673.790622307692	27.593977941495	9.4107640279051e-07	258.6515	"Madagascar"	2
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	673.994610779944	27.7979664137471	8.49824700366437e-07	248.29411	"Madagascar"	2
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	674.813112307692	28.616467941495	5.64409092274696e-07	259.674	"Madagascar"	2
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	675.636254214876	29.4396098486787	3.73982264768916e-07	258.40813	"Madagascar"	2
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	676.776214214876	30.5795698486787	2.11500714321277e-07	259.5481	"Madagascar"	2
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	729.660534426229	83.4638900600322	0	318.66518	"Madagascar"	2
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	730.887516986301	84.6908726201041	0	317.82595	"Madagascar"	2
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	731.297296986301	85.100652620104	0	318.23573	"Madagascar"	2
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	732.056384214876	85.8597398486787	0	314.82827	"Madagascar"	2
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	732.461382307692	86.264737941495	0	317.32226	"Madagascar"	2
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	16	552.943098328076	0	0.86150892894618	156.65679	"Madagascar"	3
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	12	558.531652616822	5.58855428874688	0.0526890827666445	170.98947	"Madagascar"	3
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	11	558.889985776398	5.94688744832195	0.0440463150980488	173.49988	"Madagascar"	3
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	10	562.100814551084	9.15771622300804	0.00884477871162895	178.84948	"Madagascar"	3
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	11	562.137675776398	9.19457744832198	0.00868325706482651	176.74758	"Madagascar"	3
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	562.167918282209	9.22481995413295	0.0085529430771283	185.25413	"Madagascar"	3
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	562.553776923077	9.61067859500122	0.00705224582498878	183.54047	"Madagascar"	3
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	564.086386923077	11.1432885950013	0.00327736951278941	185.07309	"Madagascar"	3
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	565.529710733945	12.5866124058693	0.00159261802284983	190.7026	"Madagascar"	3
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	566.218098282209	13.274999954133	0.00112883422766447	189.30431	"Madagascar"	3
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	566.587532616823	13.6444342887469	0.000938444347581392	179.04535	"Madagascar"	3
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	567.906096923077	14.9629985950013	0.000485384520123101	188.89279	"Madagascar"	3
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	568.209148282209	15.266049954133	0.00041713742432676	191.29536	"Madagascar"	3
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	568.819036923077	15.8759385950012	0.000307498866731536	189.80574	"Madagascar"	3
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	570.222636923077	17.2795385950012	0.000152424806423423	191.20934	"Madagascar"	3
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	571.063090733945	18.1199924058693	0.000100127512267023	196.23598	"Madagascar"	3
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	571.885578282209	18.942479954133	6.63670515842269e-05	194.97179	"Madagascar"	3
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	16	572.262888328076	19.31979	5.49567053237224e-05	175.97657	"Madagascar"	3
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	572.290692616822	19.3475942887468	5.41979754778678e-05	184.7485	"Madagascar"	3
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	573.336426923077	20.3933285950013	3.21295575307301e-05	194.32312	"Madagascar"	3
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	28	574.865490163934	21.9223918358588	1.49579776769313e-05	150.97068	"Madagascar"	3
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	608.317660733945	55.3745624058694	8.14378571406324e-13	233.49056	"Madagascar"	3
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	609.244726829268	56.3016285011926	5.12290724748749e-13	236.49158	"Madagascar"	3
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	609.518328282209	56.575229954133	4.4679128391034e-13	232.60454	"Madagascar"	3
