"Phi"	"p"	"model"	"npar"	"AICc"	"DeltaAICc"	"weight"	"Deviance"	"species"	"iter"
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	3566.61435911431	190.52802612569	0	1234.52	"Kentish (Maio)"	2
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	3588.4618979445	212.375564955877	0	1264.4543	"Kentish (Maio)"	2
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	3590.17645911432	214.09012612569	0	1258.0822	"Kentish (Maio)"	2
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	3600.77082439651	224.684491407882	0	1278.7797	"Kentish (Maio)"	2
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	3602.7854979445	226.699164955877	0	1278.7779	"Kentish (Maio)"	2
"~age * sex"	"~age + Time"	"Phi(~age * sex)p(~age + Time)"	7	3615.53122439651	239.444891407883	0	1293.5401	"Kentish (Maio)"	2
"~age * sex"	"~Time + age + sex"	"Phi(~age * sex)p(~Time + age + sex)"	8	3617.5425979445	241.456264955877	0	1293.5349	"Kentish (Maio)"	2
"~age * sex"	"~Quadratic"	"Phi(~age * sex)p(~Quadratic)"	6	3620.2302211499	244.143888161273	0	1300.2534	"Kentish (Maio)"	2
"~age * sex"	"~Quadratic * sex"	"Phi(~age * sex)p(~Quadratic * sex)"	8	3621.5851979445	245.498864955877	0	1297.5776	"Kentish (Maio)"	2
"~age * sex"	"~Quadratic + sex"	"Phi(~age * sex)p(~Quadratic + sex)"	7	3622.24442439651	246.158091407883	0	1300.2533	"Kentish (Maio)"	2
"~age * sex"	"~Time"	"Phi(~age * sex)p(~Time)"	6	3638.6814211499	262.595088161273	0	1318.7047	"Kentish (Maio)"	2
"~age * sex"	"~sex + Time"	"Phi(~age * sex)p(~sex + Time)"	7	3640.67812439651	264.591791407883	0	1318.687	"Kentish (Maio)"	2
"~age * sex"	"~sex * Time"	"Phi(~age * sex)p(~sex * Time)"	8	3641.0777979445	264.991464955877	0	1317.0702	"Kentish (Maio)"	2
"~age * sex"	"~age * sex"	"Phi(~age * sex)p(~age * sex)"	8	3644.1238979445	268.037564955877	0	1320.1163	"Kentish (Maio)"	2
"~age * sex"	"~age"	"Phi(~age * sex)p(~age)"	6	3644.3882211499	268.301888161272	0	1324.4115	"Kentish (Maio)"	2
"~age * sex"	"~age + sex"	"Phi(~age * sex)p(~age + sex)"	7	3646.40132439651	270.314991407883	0	1324.4101	"Kentish (Maio)"	2
"~age * sex"	"~1"	"Phi(~age * sex)p(~1)"	5	3686.20488501796	310.118552029333	0	1368.2405	"Kentish (Maio)"	2
"~age * sex"	"~sex"	"Phi(~age * sex)p(~sex)"	6	3688.2105211499	312.124188161272	0	1368.2337	"Kentish (Maio)"	2
"~age * sex"	"~age * time"	"Phi(~age * sex)p(~age * time)"	20	3278.53599057592	0	0.743763029009109	985.42223	"Kentish (Maio)"	3
"~age * sex"	"~time * age * sex"	"Phi(~age * sex)p(~time * age * sex)"	36	3280.6672469905	2.13125641458009	0.256234814295769	954.58674	"Kentish (Maio)"	3
"~age * sex"	"~age + time"	"Phi(~age * sex)p(~age + time)"	13	3304.68578002087	26.1497894449499	1.55983965575929e-06	1025.8219	"Kentish (Maio)"	3
"~age * sex"	"~time + age + sex"	"Phi(~age * sex)p(~time + age + sex)"	14	3306.60710668058	28.0711161046688	5.96855464061816e-07	1025.7139	"Kentish (Maio)"	3
"~age * sex"	"~sex * time"	"Phi(~age * sex)p(~sex * time)"	20	3345.09029057592	66.5543000000002	2.62634616834717e-15	1051.9765	"Kentish (Maio)"	3
"~age * sex"	"~time"	"Phi(~age * sex)p(~time)"	12	3348.17156944734	69.635578871425	0	1071.3349	"Kentish (Maio)"	3
"~age * sex"	"~sex + time"	"Phi(~age * sex)p(~sex + time)"	13	3349.97298002087	71.4369894449501	0	1071.1091	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic * age * sex"	"Phi(~age * sex)p(~Quadratic * age * sex)"	12	3445.52826944734	166.992278871425	0	1168.6916	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic * age"	"Phi(~age * sex)p(~Quadratic * age)"	8	3452.6801219563	174.144131380379	0	1183.9312	"Kentish (Maio)"	3
"~age * sex"	"~Time * age * sex"	"Phi(~age * sex)p(~Time * age * sex)"	12	3467.09776944734	188.561778871425	0	1190.2611	"Kentish (Maio)"	3
"~age * sex"	"~age * Time"	"Phi(~age * sex)p(~age * Time)"	8	3474.3480219563	195.812031380379	0	1205.5991	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic + age"	"Phi(~age * sex)p(~Quadratic + age)"	7	3487.52694232969	208.990951753777	0	1220.7947	"Kentish (Maio)"	3
"~age * sex"	"~Quadratic + age + sex"	"Phi(~age * sex)p(~Quadratic + age + sex)"	8	3488.8701219563	210.334131380379	0	1220.1212	"Kentish (Maio)"	3
