"bird_ID" "ch" "sex" "age" "population"
"bird_547" "0100000" "M" "J" "SP"
"bird_548" "0100000" "F" "J" "SP"
"bird_549" "0100000" "F" "J" "SP"
"bird_550" "0100000" "F" "J" "SP"
"bird_551" "0100000" "M" "J" "SP"
"bird_553" "0111111" "M" "J" "SP"
"bird_555" "0111111" "M" "J" "SP"
"bird_565" "0111110" "F" "J" "SP"
"bird_568" "0100000" "F" "J" "SP"
"bird_571" "0111000" "F" "J" "SP"
"bird_572" "0100000" "M" "J" "SP"
"bird_575" "0100000" "F" "J" "SP"
"bird_584" "0100000" "M" "J" "SP"
"bird_587" "0100000" "M" "J" "SP"
"bird_590" "0100000" "M" "J" "SP"
"bird_591" "0111000" "M" "J" "SP"
"bird_592" "0100000" "F" "J" "SP"
"bird_595" "0100000" "F" "J" "SP"
"bird_597" "0100000" "F" "J" "SP"
"bird_607" "0100000" "M" "J" "SP"
"bird_612" "0100000" "F" "J" "SP"
"bird_613" "0100000" "M" "J" "SP"
"bird_614" "0100000" "M" "J" "SP"
"bird_615" "0100000" "M" "J" "SP"
"bird_618" "0100000" "F" "J" "SP"
"bird_620" "0101010" "F" "J" "SP"
"bird_622" "0100000" "M" "J" "SP"
"bird_623" "0111100" "M" "J" "SP"
"bird_624" "0100000" "F" "J" "SP"
"bird_626" "0100000" "F" "J" "SP"
"bird_628" "0100000" "M" "J" "SP"
"bird_635" "0100000" "F" "J" "SP"
"bird_637" "0100000" "F" "J" "SP"
"bird_639" "0111100" "M" "J" "SP"
"bird_641" "0100000" "M" "J" "SP"
"bird_647" "0100000" "F" "J" "SP"
"bird_648" "0100000" "M" "J" "SP"
"bird_649" "0100000" "F" "J" "SP"
"bird_663" "0011000" "M" "J" "SP"
"bird_668" "0010000" "M" "J" "SP"
"bird_670" "0010111" "M" "J" "SP"
"bird_671" "0010000" "F" "J" "SP"
"bird_673" "0010000" "F" "J" "SP"
"bird_674" "0011100" "F" "J" "SP"
"bird_676" "0010000" "M" "J" "SP"
"bird_677" "0010100" "M" "J" "SP"
"bird_681" "0010110" "F" "J" "SP"
"bird_684" "0010000" "F" "J" "SP"
"bird_686" "0010000" "M" "J" "SP"
"bird_687" "0010000" "M" "J" "SP"
"bird_688" "0010000" "F" "J" "SP"
"bird_690" "0010000" "M" "J" "SP"
"bird_691" "0010000" "F" "J" "SP"
"bird_693" "0010000" "F" "J" "SP"
"bird_698" "0011100" "M" "J" "SP"
"bird_699" "0010000" "F" "J" "SP"
"bird_701" "0010000" "M" "J" "SP"
"bird_702" "0010000" "M" "J" "SP"
"bird_703" "0010000" "M" "J" "SP"
"bird_708" "0010110" "F" "J" "SP"
"bird_711" "0010000" "M" "J" "SP"
"bird_712" "0011100" "F" "J" "SP"
"bird_715" "0010000" "M" "J" "SP"
"bird_717" "0011100" "F" "J" "SP"
"bird_718" "0010000" "F" "J" "SP"
"bird_719" "0010000" "F" "J" "SP"
"bird_720" "0010000" "M" "J" "SP"
"bird_722" "0010000" "M" "J" "SP"
"bird_723" "0010000" "F" "J" "SP"
"bird_724" "0010000" "M" "J" "SP"
"bird_725" "0010000" "F" "J" "SP"
"bird_728" "0010000" "M" "J" "SP"
"bird_729" "0010000" "F" "J" "SP"
"bird_731" "0010000" "F" "J" "SP"
"bird_732" "0010000" "F" "J" "SP"
"bird_733" "0010000" "F" "J" "SP"
"bird_735" "0010000" "M" "J" "SP"
"bird_736" "0010000" "M" "J" "SP"
"bird_737" "0010000" "M" "J" "SP"
"bird_740" "0010000" "M" "J" "SP"
"bird_741" "0010000" "F" "J" "SP"
"bird_742" "0010000" "M" "J" "SP"
"bird_743" "0010000" "F" "J" "SP"
"bird_744" "0010000" "F" "J" "SP"
"bird_745" "0010000" "M" "J" "SP"
"bird_747" "0010000" "M" "J" "SP"
"bird_748" "0010000" "M" "J" "SP"
"bird_750" "0010000" "M" "J" "SP"
"bird_871" "0010110" "M" "J" "SP"
"bird_872" "0010000" "F" "J" "SP"
"bird_873" "0010000" "F" "J" "SP"
"bird_874" "0010000" "M" "J" "SP"
"bird_878" "0010000" "F" "J" "SP"
"bird_879" "0010000" "F" "J" "SP"
"bird_880" "0010000" "M" "J" "SP"
"bird_881" "0010000" "F" "J" "SP"
"bird_882" "0010000" "F" "J" "SP"
"bird_884" "0010000" "F" "J" "SP"
"bird_889" "0010000" "M" "J" "SP"
"bird_890" "0010000" "F" "J" "SP"
"bird_891" "0010000" "F" "J" "SP"
"bird_893" "0010000" "M" "J" "SP"
"bird_894" "0010000" "M" "J" "SP"
"bird_895" "0010000" "M" "J" "SP"
"bird_897" "0010000" "M" "J" "SP"
"bird_899" "0010000" "M" "J" "SP"
"bird_924" "0010000" "F" "J" "SP"
"bird_925" "0010000" "F" "J" "SP"
"bird_926" "0010000" "M" "J" "SP"
"bird_927" "0010000" "M" "J" "SP"
"bird_930" "0010000" "M" "J" "SP"
"bird_931" "0010000" "F" "J" "SP"
"bird_900" "0001100" "M" "J" "SP"
"bird_901" "0001000" "M" "J" "SP"
"bird_902" "0001100" "F" "J" "SP"
"bird_905" "0001100" "F" "J" "SP"
"bird_906" "0001111" "F" "J" "SP"
"bird_910" "0001000" "F" "J" "SP"
"bird_911" "0001011" "M" "J" "SP"
"bird_912" "0001000" "F" "J" "SP"
"bird_913" "0001000" "M" "J" "SP"
"bird_914" "0001000" "F" "J" "SP"
"bird_916" "0001000" "M" "J" "SP"
"bird_948" "0001000" "F" "J" "SP"
"bird_963" "0001110" "F" "J" "SP"
"bird_969" "0001000" "F" "J" "SP"
"bird_971" "0001001" "M" "J" "SP"
"bird_982" "0001000" "F" "J" "SP"
"bird_985" "0001100" "F" "J" "SP"
"bird_986" "0001000" "M" "J" "SP"
"bird_987" "0001000" "M" "J" "SP"
"bird_996" "0001100" "M" "J" "SP"
"bird_1014" "0001100" "F" "J" "SP"
"bird_1020" "0001000" "F" "J" "SP"
"bird_1021" "0001000" "F" "J" "SP"
"bird_1024" "0001110" "M" "J" "SP"
"bird_1025" "0001100" "M" "J" "SP"
"bird_1026" "0001000" "M" "J" "SP"
"bird_1029" "0001111" "M" "J" "SP"
"bird_1030" "0001000" "M" "J" "SP"
"bird_1032" "0001100" "M" "J" "SP"
"bird_1033" "0001110" "M" "J" "SP"
"bird_1035" "0001000" "M" "J" "SP"
"bird_1037" "0001000" "F" "J" "SP"
"bird_1039" "0001000" "M" "J" "SP"
"bird_1040" "0001000" "F" "J" "SP"
"bird_1041" "0001000" "M" "J" "SP"
"bird_1047" "0001000" "F" "J" "SP"
"bird_1048" "0001000" "M" "J" "SP"
"bird_1058" "0001001" "F" "J" "SP"
"bird_1060" "0001010" "M" "J" "SP"
"bird_1061" "0001000" "M" "J" "SP"
"bird_1063" "0001000" "F" "J" "SP"
"bird_1064" "0001000" "F" "J" "SP"
"bird_1065" "0001000" "F" "J" "SP"
"bird_1069" "0001100" "M" "J" "SP"
"bird_1070" "0001000" "M" "J" "SP"
"bird_1071" "0001010" "M" "J" "SP"
"bird_1074" "0001000" "M" "J" "SP"
"bird_1075" "0001000" "M" "J" "SP"
"bird_1091" "0001100" "M" "J" "SP"
"bird_1092" "0001000" "M" "J" "SP"
"bird_1049" "0000100" "F" "J" "SP"
"bird_1050" "0000100" "F" "J" "SP"
"bird_1052" "0000100" "M" "J" "SP"
"bird_1055" "0000100" "F" "J" "SP"
"bird_1057" "0000100" "F" "J" "SP"
