"ch"	"Ring"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"000110000000100000000010000"	"DJ32275"	"1999"	511	26	"F"	"1999_B2_107"	""
"010000000000000000000000000"	"DJ32277"	"1999"	514	29	"M"	"1999_C2_103"	""
"000010000000000000000000000"	"DJ32279"	"1999"	511	26	"F"	"1999_C2_109"	""
"000100000000000000000000000"	"DJ32280"	"1999"	512	27	"F"	"1999_C2_109"	""
"010000000000000000000000000"	"DJ32281"	"1999"	514	29	"M"	"1999_C2_109"	""
"001000000010000000001000000"	"DJ32282"	"1999"	513	28	"M"	"1999_B2_107"	""
"100000000000000000000000000"	"DJ32285"	"1999"	516	31	"F"	"1999_B1_128"	""
"010000000000000000000000000"	"DJ32286"	"1999"	515	30	"F"	"1999_B1_128"	""
"100000000000000000000000000"	"DJ32287"	"1999"	516	31	"M"	"1999_B1_128"	""
"010000001000000000010000000"	"DJ32291"	"1999"	516	31	"F"	"1999_B2_2"	""
"100000010000000000100000000"	"DJ32292"	"1999"	517	32	"M"	"1999_B2_2"	""
"001000000100000000000000000"	"DJ32293"	"1999"	515	30	"M"	"1999_B2_2"	""
"010000000000000000000000000"	"DJ32295"	"1999"	516	31	"F"	"1999_C2_112"	""
"100000000000000000000000000"	"DJ32296"	"1999"	517	32	"M"	"1999_C2_112"	""
"100000000000000000000000000"	"DJ32297"	"1999"	517	32	"M"	"1999_C2_112"	""
"010000000000000000000000000"	"DJ32300"	"1999"	517	32	"F"	"1999_C3_13"	""
"001000000000010000000000000"	"DJ32301"	"1999"	516	31	"F"	"1999_C3_13"	""
"100000000010000000001000000"	"DJ32303"	"1999"	519	34	"M"	"1999_C3_13"	""
"000100000000000000000000000"	"DJ32306"	"1999"	516	31	"M"	"1999_C3_14"	""
"010000000001000000000010000"	"DJ32308"	"1999"	518	33	"F"	"1999_C3_14"	""
"010000000001000000000010000"	"DJ32309"	"1999"	518	33	"M"	"1999_C3_14"	""
"100000000000000000000000000"	"DJ32310"	"1999"	519	34	"M"	"1999_C2_123"	""
"010000000000000000000000000"	"DJ32311"	"1999"	518	33	"F"	"1999_C2_123"	""
"010000000000000000000000000"	"DJ32312"	"1999"	518	33	"F"	"1999_C2_123"	""
"000100000000000000000000000"	"DJ32320"	"1999"	517	32	"M"	"1999_C3_15"	""
"010000000000000000000000000"	"DJ32321"	"1999"	519	34	"M"	"1999_C3_15"	""
"001000000010000000100000001"	"DJ32322"	"1999"	519	34	"F"	"1999_C1_10"	""
"001000000000100000000010000"	"DJ32325"	"1999"	521	36	"M"	"1999_B1_134"	""
"000100000000010000000001000"	"DJ32326"	"1999"	520	35	"F"	"1999_B1_134"	""
"100000000000000000000000000"	"DJ32327"	"1999"	523	38	"M"	"1999_B1_134"	""
"010000000000000000000000000"	"DJ32330"	"1999"	524	39	"F"	"1999_B3_25"	""
"100000001000000100000010000"	"DJ32331"	"1999"	525	40	"M"	"1999_B3_25"	""
"000100000000100000000100000"	"DJ32334"	"1999"	522	37	"M"	"1999_C2_127"	""
"010000000010000000010000001"	"DJ32335"	"1999"	524	39	"M"	"1999_C2_127"	""
"100000001000000000100001000"	"DJ32336"	"1999"	525	40	"M"	"1999_B1_145"	""
"100000001000000000100001000"	"DJ32337"	"1999"	525	40	"M"	"1999_B1_145"	""
"100000001000000100000010000"	"DJ32338"	"1999"	525	40	"F"	"1999_B3_25"	""
"010000000010000000010000000"	"DJ32339"	"1999"	524	39	"F"	"1999_C2_127"	""
"100000000000000000000000000"	"DJ32342"	"1999"	525	40	"M"	"1999_B1_145"	""
"100000000010000000100000000"	"DJ32343"	"1999"	527	42	"M"	"1999_B3_21"	""
"100000000010000000000000000"	"DJ32344"	"1999"	527	42	"F"	"1999_B3_21"	""
"100000000010000000100000000"	"DJ32345"	"1999"	527	42	"M"	"1999_B3_21"	""
"100000000000000000000000000"	"DJ32348"	"1999"	527	42	"F"	"1999_C3_18"	""
"100000000000000000000000000"	"DJ32349"	"1999"	527	42	"F"	"1999_C3_18"	""
"000000100000000001000000010"	"DJ32350"	"1999"	522	37	"F"	"1999_C3_18"	""
"100000000000000000000000000"	"DJ32351"	"1999"	529	44	"M"	"1999_C1_-3"	NA
"100000000000000000000000000"	"DJ32352"	"1999"	529	44	"M"	"1999_C1_-3"	NA
"000100000000000000000000000"	"DJ32353"	"1999"	526	41	"F"	"1999_C1_-3"	NA
"000100000000100000000001000"	"DJ32357"	"1999"	528	43	"F"	"1999_C2_125"	""
"001000000000000000000010000"	"DJ32358"	"1999"	529	44	"F"	"1999_C2_125"	""
"001000000001000000000010000"	"DJ32361"	"1999"	529	44	"F"	"1999_C2_125"	""
"001000000000000000000000000"	"DJ32362"	"1999"	529	44	"F"	"1999_B3_-1"	NA
"01000000000000000000000000."	"DJ32363"	"1999"	530	45	"F"	"1999_B3_-1"	NA
"1000000000000000000000000.0"	"DJ32364"	"1999"	531	46	"M"	"1999_B3_-1"	NA
"1000000000000000000000000.0"	"DJ32366"	"1999"	601	47	"M"	"1999_C3_19"	"2"
"0010000000000000000000000.0"	"DJ32370"	"1999"	531	46	"M"	"1999_B2_-2"	NA
"000010000000000000000000000"	"DJ32371"	"1999"	529	44	"M"	"1999_B2_-2"	NA
"000001000000000000000000000"	"DJ32372"	"1999"	528	43	"M"	"1999_B2_-2"	NA
"001000000000000000000000.00"	"DJ32374"	"1999"	601	47	"M"	"1999_B2_206"	NA
"01000000000000000000000.000"	"DJ32375"	"1999"	602	48	"F"	"1999_B2_206"	NA
"0010000000000000000000.0000"	"DJ32376"	"1999"	603	49	"M"	"1999_B2_26"	"2"
"10000001000000010000.000000"	"DJ32377"	"1999"	605	51	"M"	"1999_B2_301"	""
