"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"000000.101000000000000000000000000.0"	"FH72828"	"WFP"	"2014"	317	36	"M"	"KIP_2014__9a"	NA
"10000000000000000000000.0000000000.0"	"FH72832"	"WFP"	"2014"	328	47	"F"	"WFP_2014_16"	2
"10000000000000000000000.0000000000.0"	"FH72833"	"WFP"	"2014"	328	47	"M"	"WFP_2014_16"	2
"10000100000000000.0000010000.00.0.00"	"FH72839"	"WFP"	"2014"	403	53	"M"	"WFP_2014_9"	1
"000010000000.0000000000.00.0.0000..0"	"FH72863"	"WFP"	"2014"	408	58	"M"	"WFP_2014_"	NA
"1010.0000000000.00.0.0000..00000.000"	"FH72865"	"WFP"	"2014"	416	66	"F"	"WFP_2014_18"	1
"0100.0000000000.00.0.0000..00000.000"	"FH72867"	"WFP"	"2014"	416	66	"F"	"WFP_2014_-5"	NA
"00001100.00.0.0000..00000.000001..00"	"FH72879"	"WFP"	"2014"	423	73	"M"	"WFP_2014_-7"	NA
"0001100.00.0.0000..00000.000001..000"	"FH72880"	"WFP"	"2014"	424	74	"F"	"WFP_2014_-7"	NA
"00.00.0.1000..00000.000000..001.00.."	"FH72888"	"WFP"	"2014"	429	79	"M"	"WFP_2014_-8"	NA
"00.00.0.1000..00000.000000..000.00.."	"FH72889"	"WFP"	"2014"	429	79	"M"	"WFP_2014_-8"	NA
"00000.00.0.1000..00000.000000..000.0"	"FH72890"	"WFP"	"2014"	426	76	"M"	"WFP_2014_-9"	NA
"0100..00000.000000..010.01.........."	"FH72891"	"WFP"	"2014"	507	87	"M"	"WFP_2014_112"	NA
".0.0100..00000.000000..010.01......."	"FH72892"	"WFP"	"2014"	504	84	"F"	"WFP_2014_112"	NA
"00.0000000000.00.0.0010..00000.00000"	"FH72897"	"WFP"	"2014"	418	68	"F"	"WFP_2014_-10"	NA
"000.0000000000.00.0.0010..00000.0000"	"FH72898"	"WFP"	"2014"	417	67	"M"	"WFP_2014_-11"	NA
"00000001000000000000000.0000000000.0"	"FH72910"	"WFP"	"2014"	328	47	"F"	"WFP_2014_-400"	NA
"000.00.0.0000..00000.000000..010.00."	"FH72928"	"WFP"	"2014"	428	78	"F"	"WFP_2014_303"	NA
"010.0000000000000..00000.00000.00000"	"FH72977"	"WFP"	"2015"	507	87	"F"	"WFP_2015_412"	NA
"0010.0000000000000..00000.00000.0000"	"FH72978"	"WFP"	"2015"	506	86	"M"	"WFP_2015_412"	NA
"..0010.0000000000000..00000.00000.00"	"FH72979"	"WFP"	"2015"	504	84	"M"	"WFP_2015_412"	NA
".0010000000000..00000.00000.001000.0"	"FH72998"	"WFP"	"2015"	510	90	"M"	"WFP_2015_605"	NA
"0.0010000000000..00000.00000.000000."	"FH72999"	"WFP"	"2015"	509	89	"M"	"WFP_2015_605"	NA
"101000100000.0000100000.00.0.0000..0"	"FH73002"	"WFP"	"2014"	408	58	"M"	"WFP_2014_110"	NA
"000000000000.00000000000000001000000"	"FH73003"	"WFP"	"2014"	311	30	"M"	"WFP_2014_-w1roadtoMorombe"	NA
"00000000000000.000000000000000010000"	"FH73004"	"WFP"	"2014"	309	28	"M"	"WFP_2014_-w2roadtoMorombe"	NA
"1010100001.0000100000.00.0.0000..000"	"FH73008"	"WFP"	"2014"	410	60	"F"	"WFP_2014_108"	2
"0010100001.0000100000.00.0.0000..000"	"FH73014"	"WFP"	"2014"	410	60	"F"	"WFP_2014_108"	2
".0111000000.00.0.0000..00000.000000."	"FH73039"	"WFP"	"2014"	420	70	"F"	"WFP_2014_-106"	NA
".0111000001.00.0.0000..01000.000010."	"FH73040"	"WFP"	"2014"	420	70	"M"	"WFP_2014_-106"	NA
"00000000000.0010010000.00.0.0000..00"	"FH73042"	"WFP"	"2014"	409	59	"F"	"WFP_2014_-107"	NA
"00000000000000.0010010000.00.0.0000."	"FH73043"	"WFP"	"2014"	406	56	"M"	"WFP_2014_-107"	NA
"001000010.00.0.0000..01000.000000..0"	"FH73044"	"WFP"	"2014"	422	72	"F"	"WFP_2014_-108"	NA
"0001000010.00.0.0000..01000.000000.."	"FH73045"	"WFP"	"2014"	421	71	"F"	"WFP_2014_-108"	NA
"0000000.0000100000.00.0.0000..00000."	"FH73046"	"WFP"	"2014"	413	63	"F"	"WFP_2014_-109"	NA
"0000000000.0000100000.00.0.0000..000"	"FH73047"	"WFP"	"2014"	410	60	"F"	"WFP_2014_-109"	NA
"00000.000000.0000010................"	"FH73298"	"WFP"	"2015"	601	112	"F"	"WFP_2015_-12"	NA
"10000000000000..0000.0000000000000.."	"FH73515"	"WFP"	"2015"	420	70	"F"	"WFP_2015_108"	NA
"0.10000000000000..0000.0000000000000"	"FH73516"	"WFP"	"2015"	418	68	"F"	"WFP_2015_108"	NA
"1100000000000..0000.0000000000000..0"	"FH73519"	"WFP"	"2015"	421	71	"F"	"WFP_2015_108"	NA
"101000..0000.0000000000000..00000.00"	"FH73558"	"WFP"	"2015"	428	78	"F"	"WFP_2015_115"	NA
"101000..0000.0000000000000..00000.00"	"FH73559"	"WFP"	"2015"	428	78	"M"	"WFP_2015_115"	NA
"100..00000.00000.100000.0000000....."	"FH73583"	"WFP"	"2015"	521	101	"M"	"WFP_2015_609"	NA
"100..00000.00000.000000.0000000....."	"FH73584"	"WFP"	"2015"	521	101	"M"	"WFP_2015_609"	NA
