"population" "no_chicks" "clutch_size" "year" "male" "female" "family_ID"
"KPT" 3 "3" 1996 "bird_2520" NA "family_1351"
"KPT" 0 "3" 1996 NA "bird_2717" "family_1352"
"KPT" 0 NA 1996 "bird_2722" "bird_2721" "family_1353"
"KPT" 0 "3" 1996 "bird_2702" "bird_2646" "family_1354"
"KPT" 3 "3" 1996 "bird_2687" "bird_2688" "family_1355"
"KPT" 3 "3" 1996 "bird_2677" "bird_2676" "family_1356"
"KPT" 0 "3" 1996 NA "bird_2544" "family_1358"
"KPT" 0 "3" 1996 "bird_2698" "bird_2704" "family_1359"
"KPT" 0 "3" 1996 "bird_2701" "bird_2611" "family_1360"
"KPT" 0 "3" 1996 "bird_2513" "bird_2512" "family_1394"
"KPT" 0 "3" 1996 "bird_2514" "bird_2626" "family_1386"
"KPT" 0 "3" 1996 "bird_2517" "bird_2516" "family_1387"
"KPT" 0 "3" 1996 "bird_2527" "bird_2528" "family_1395"
"KPT" 0 "3" 1996 "bird_2505" "bird_2523" "family_1396"
"KPT" 0 "3" 1996 "bird_2524" "bird_2525" "family_1397"
"KPT" 0 "3" 1996 "bird_2529" "bird_2530" "family_1398"
"KPT" 0 "3" 1996 "bird_2521" "bird_2522" "family_1399"
"KPT" 0 "3" 1996 "bird_2536" "bird_2537" "family_1400"
"KPT" 0 "3" 1996 "bird_2539" "bird_2538" "family_1401"
"KPT" 0 "3" 1996 "bird_2543" "bird_2542" "family_1402"
"KPT" 0 "3" 1996 "bird_2533" "bird_2512" "family_1403"
"KPT" 0 "3" 1996 "bird_2547" "bird_2546" "family_1404"
"KPT" 0 "3" 1996 "bird_2612" "bird_2613" "family_1371"
"KPT" 0 "3" 1996 "bird_2521" "bird_2528" "family_1372"
"KPT" 0 "3" 1996 "bird_2552" "bird_2551" "family_1373"
"KPT" 0 "3" 1996 "bird_2615" "bird_2616" "family_1374"
"KPT" 0 "3" 1996 "bird_2521" "bird_2528" "family_1375"
"KPT" 3 "3" 1996 "bird_2514" "bird_2565" "family_1376"
"KPT" 2 "2" 1996 "bird_2552" "bird_2631" "family_1377"
"KPT" 0 "3" 1996 "bird_2547" NA "family_1378"
"KPT" 3 "3" 1996 "bird_2612" "bird_2616" "family_1379"
"KPT" 0 "3" 1996 "bird_2635" "bird_2632" "family_1380"
"KPT" 0 "3" 1996 "bird_2637" "bird_2638" "family_1381"
"KPT" 0 "2" 1996 "bird_2521" "bird_2528" "family_1382"
"KPT" 0 "3" 1996 "bird_2700" "bird_2644" "family_1383"
"KPT" 3 "3" 1996 "bird_2517" "bird_2649" "family_1384"
"KPT" 3 "3" 1996 "bird_2513" "bird_2525" "family_1385"
"KPT" 1 "3" 1996 "bird_2527" "bird_2651" "family_1388"
"KPT" 3 "3" 1996 "bird_2529" "bird_2699" "family_1389"
"KPT" 0 "3" 1996 "bird_2650" "bird_2707" "family_1390"
"KPT" 0 "3" 1996 "bird_2703" "bird_2652" "family_1391"
"KPT" 0 "3" 1996 "bird_2706" "bird_2644" "family_1392"
"KPT" NA "3" 1996 NA "bird_2572" "family_1393"
"KPT" 3 "3" 1996 "bird_2573" "bird_2572" "family_1405"
"KPT" 3 "3" 1996 "bird_2576" "bird_2577" "family_1418"
"KPT" 3 "3" 1996 "bird_2570" "bird_2569" "family_1428"
"KPT" 1 "3" 1996 NA "bird_2585" "family_1429"
"KPT" 3 "3" 1996 "bird_2566" "bird_2567" "family_1406"
"KPT" 3 "3" 1996 "bird_2555" "bird_2556" "family_1407"
"KPT" 3 "3" 1996 NA "bird_2605" "family_1408"
"KPT" 3 "3" 1996 NA "bird_2582" "family_1409"
"KPT" 3 "3" 1996 NA NA "family_1410"
"KPT" 3 "3" 1996 "bird_2659" "bird_2660" "family_1411"
"KPT" 2 "3" 1996 NA NA "family_1412"
"KPT" 0 "3" 1996 NA "bird_2653" "family_1413"
"KPT" 3 "3" 1996 "bird_2656" "bird_2657" "family_1414"
"KPT" 1 "3" 1996 NA NA "family_1415"
"KPT" 3 "3" 1996 NA NA "family_1416"
"KPT" 3 "3" 1996 "bird_2678" "bird_2679" "family_1417"
"KPT" 0 "3" 1996 "bird_2570" "bird_2569" "family_1420"
"KPT" 3 "3" 1996 "bird_2714" "bird_2711" "family_1421"
"KPT" 3 "3" 1996 "bird_2573" "bird_2586" "family_1422"
"KPT" 3 "3" 1996 "bird_2694" "bird_2695" "family_1423"
"KPT" 1 "3" 1996 NA NA "family_1424"
"KPT" 3 "3" 1996 "bird_2691" "bird_2692" "family_1425"
"KPT" 3 "3" 1996 "bird_2709" "bird_2710" "family_1426"
"KPT" 0 "3" 1996 NA "bird_2567" "family_1427"
"KPT" 3 "3" 1996 "bird_2685" "bird_2686" "family_1419"
"KPT" 0 "3" 1996 "bird_2503" "bird_2504" "family_1430"
"KPT" 0 "3" 1997 "bird_2727" "bird_2579" "family_1438"
"KPT" 0 "3" 1997 "bird_2665" "bird_2663" "family_1437"
"KPT" 0 "3" 1997 NA "bird_2662" "family_1439"
"KPT" 0 "3" 1997 "bird_2896" "bird_2897" "family_1440"
"KPT" 0 "3" 1997 "bird_2665" "bird_2663" "family_1441"
"KPT" 0 "3" 1997 "bird_2889" "bird_2761" "family_1442"
"KPT" 0 "3" 1997 "bird_2578" "bird_2506" "family_1443"
"KPT" 0 "3" 1997 "bird_2560" "bird_2561" "family_1444"
"KPT" 0 NA 1997 "bird_2601" NA "family_1432"
"KPT" 0 "3" 1997 "bird_2661" "bird_2662" "family_1433"
"KPT" 0 "3" 1997 NA "bird_2761" "family_1434"
"KPT" 0 "3" 1997 "bird_3001" "bird_2897" "family_1435"
"KPT" 0 "3" 1997 "bird_2680" "bird_2758" "family_1436"
"KPT" 0 "3" 1997 "bird_2733" "bird_2725" "family_1456"
"KPT" 0 "3" 1997 "bird_2498" "bird_2726" "family_1458"
"KPT" 0 NA 1997 NA "bird_2645" "family_1457"
"KPT" 0 "3" 1997 NA "bird_2633" "family_1459"
"KPT" 0 "3" 1997 NA "bird_2511" "family_1460"
"KPT" 0 "3" 1997 "bird_2698" "bird_2704" "family_1461"
"KPT" 0 "3" 1997 NA "bird_2716" "family_1462"
"KPT" 0 "3" 1997 "bird_2739" "bird_2611" "family_1463"
"KPT" 0 "3" 1997 NA "bird_2620" "family_1464"
"KPT" 0 "1" 1997 "bird_2532" NA "family_1465"
"KPT" 0 "3" 1997 "bird_2746" "bird_2496" "family_1466"
"KPT" 0 "3" 1997 "bird_2557" "bird_2508" "family_1467"
"KPT" 0 "3" 1997 "bird_2674" "bird_2895" "family_1468"
"KPT" 0 "3" 1997 "bird_2588" "bird_2759" "family_1449"
"KPT" 0 "3" 1997 NA "bird_2735" "family_1450"
"KPT" 0 "3" 1997 "bird_2909" "bird_2622" "family_1451"
"KPT" 0 "1" 1997 NA NA "family_1452"
"KPT" 0 "3" 1997 "bird_3000" "bird_2894" "family_1453"
"KPT" 0 "3" 1997 "bird_3066" "bird_2854" "family_1454"
"KPT" 0 "3" 1997 NA "bird_2900" "family_1455"
"KPT" 2 "2" 1997 NA NA "family_1530"
"KPT" 3 "3" 1997 "bird_2766" "bird_2765" "family_1536"
"KPT" 0 "3" 1997 "bird_2628" "bird_2781" "family_1572"
"KPT" 0 "3" 1997 "bird_2803" "bird_2623" "family_1469"
"KPT" 0 "3" 1997 NA "bird_2790" "family_1494"
"KPT" 0 "3" 1997 "bird_2778" "bird_2528" "family_1502"
"KPT" 0 "3" 1997 "bird_2767" "bird_2769" "family_1511"
"KPT" 0 "3" 1997 "bird_2770" "bird_2768" "family_1518"
"KPT" 3 "3" 1997 "bird_2772" "bird_2774" "family_1519"
"KPT" 0 "2" 1997 NA "bird_2786" "family_1520"
"KPT" 0 "3" 1997 NA "bird_2631" "family_1521"
"KPT" 0 "3" 1997 "bird_2775" "bird_2777" "family_1522"
"KPT" 0 "2" 1997 "bird_2806" "bird_2788" "family_1523"
"KPT" 2 "2" 1997 NA NA "family_1524"
"KPT" 0 "3" 1997 "bird_2583" "bird_2789" "family_1525"
"KPT" 0 "3" 1997 "bird_2527" "bird_2651" "family_1526"
"KPT" 0 "3" 1997 "bird_2771" "bird_2773" "family_1527"
"KPT" 0 "3" 1997 "bird_2780" "bird_2584" "family_1528"
"KPT" 0 "3" 1997 NA "bird_2785" "family_1529"
"KPT" 0 "3" 1997 NA "bird_2569" "family_1531"
"KPT" 0 "3" 1997 "bird_2805" "bird_2804" "family_1532"
"KPT" 0 "3" 1997 "bird_2526" "bird_2776" "family_1533"
"KPT" 3 "3" 1997 "bird_2706" "bird_2649" "family_1534"
"KPT" 0 "3" 1997 "bird_2779" NA "family_1535"
"KPT" 0 "3" 1997 "bird_2782" "bird_2784" "family_1537"
"KPT" 0 "3" 1997 NA "bird_2791" "family_1538"
"KPT" 0 "3" 1997 "bird_2794" "bird_2793" "family_1539"
"KPT" 0 "3" 1997 "bird_2787" "bird_2783" "family_1540"
"KPT" 0 "3" 1997 NA "bird_2792" "family_1541"
"KPT" 0 "3" 1997 NA "bird_2797" "family_1542"
"KPT" 0 "3" 1997 "bird_2848" "bird_2798" "family_1543"
"KPT" 0 "3" 1997 "bird_2795" "bird_2799" "family_1544"
"KPT" 0 "3" 1997 "bird_2802" "bird_2800" "family_1545"
"KPT" 3 "3" 1997 "bird_2801" "bird_2613" "family_1546"
"KPT" 3 "3" 1997 "bird_2877" "bird_2796" "family_1547"
"KPT" 3 "3" 1997 "bird_2547" "bird_2546" "family_1548"
"KPT" 0 "3" 1997 "bird_2612" "bird_2626" "family_1549"
"KPT" 0 "3" 1997 "bird_2811" "bird_2807" "family_1550"
"KPT" 0 "3" 1997 "bird_3054" "bird_2808" "family_1551"
"KPT" 0 "3" 1997 "bird_2818" "bird_2809" "family_1552"
"KPT" 0 "3" 1997 NA "bird_2810" "family_1553"
"KPT" 0 "3" 1997 "bird_2533" "bird_2614" "family_1554"
"KPT" 0 "3" 1997 "bird_2813" "bird_2812" "family_1555"
"KPT" 0 "3" 1997 "bird_2780" "bird_2584" "family_1556"
"KPT" 0 "3" 1997 NA "bird_2822" "family_1557"
"KPT" 0 "3" 1997 "bird_2597" "bird_2571" "family_1558"
"KPT" 3 "3" 1997 "bird_2817" "bird_2816" "family_1559"
"KPT" 0 "3" 1997 "bird_2819" "bird_2814" "family_1560"
"KPT" 0 "1" 1997 NA "bird_2773" "family_1561"
"KPT" 0 "2" 1997 "bird_2833" "bird_2830" "family_1562"
"KPT" 0 "3" 1997 "bird_2829" "bird_2834" "family_1563"
"KPT" 0 "3" 1997 "bird_2824" "bird_2815" "family_1564"
"KPT" 0 "3" 1997 "bird_2529" "bird_2616" "family_1565"
"KPT" 2 "3" 1997 "bird_2832" "bird_2828" "family_1566"
"KPT" 0 "2" 1997 "bird_2825" "bird_2820" "family_1567"
"KPT" 2 "3" 1997 "bird_2826" "bird_2821" "family_1568"
"KPT" 3 "3" 1997 "bird_2835" "bird_2842" "family_1569"
"KPT" 0 "3" 1997 "bird_2840" "bird_2554" "family_1570"
"KPT" 0 "3" 1997 "bird_2927" "bird_2792" "family_1571"
"KPT" 0 "3" 1997 "bird_2831" NA "family_1573"
"KPT" 0 "3" 1997 "bird_2827" NA "family_1574"
"KPT" 0 "3" 1997 "bird_2841" "bird_2836" "family_1575"
"KPT" 0 "3" 1997 "bird_2583" NA "family_1576"
"KPT" 0 "2" 1997 "bird_2526" NA "family_1577"
"KPT" 0 "3" 1997 "bird_2844" "bird_2846" "family_1578"
"KPT" 3 "3" 1997 "bird_2847" "bird_2845" "family_1579"
"KPT" 0 "3" 1997 NA "bird_2631" "family_1580"
"KPT" 0 "3" 1997 "bird_2925" "bird_2791" "family_1470"
"KPT" 0 "3" 1997 "bird_2942" "bird_2790" "family_1471"
"KPT" 0 "3" 1997 "bird_2930" "bird_2926" "family_1472"
"KPT" 0 "3" 1997 "bird_2928" "bird_2929" "family_1473"
"KPT" 0 "3" 1997 "bird_2934" "bird_2932" "family_1474"
"KPT" 3 "3" 1997 "bird_2635" "bird_2948" "family_1475"
"KPT" 0 "3" 1997 "bird_2564" "bird_2572" "family_1476"
"KPT" 3 "3" 1997 "bird_2615" "bird_2935" "family_1477"
"KPT" 2 "3" 1997 "bird_2936" "bird_2933" "family_1478"
"KPT" 2 "3" 1997 "bird_2939" "bird_2938" "family_1479"
"KPT" 0 "3" 1997 "bird_2940" "bird_2941" "family_1480"
"KPT" 3 "3" 1997 "bird_2770" "bird_2768" "family_1481"
"KPT" 2 "3" 1997 "bird_2943" "bird_2944" "family_1482"
"KPT" 2 "3" 1997 "bird_2950" "bird_2952" "family_1483"
"KPT" 0 "3" 1997 "bird_2833" "bird_2830" "family_1484"
"KPT" 3 "3" 1997 "bird_2782" "bird_2784" "family_1485"
"KPT" 3 "3" 1997 "bird_2951" "bird_2644" "family_1486"
"KPT" 0 "3" 1997 "bird_2962" "bird_2867" "family_1487"
"KPT" 0 "3" 1997 "bird_2840" "bird_2554" "family_1488"
"KPT" 0 "3" 1997 "bird_2953" "bird_2765" "family_1489"
"KPT" 0 "3" 1997 "bird_2654" NA "family_1490"
"KPT" 3 "3" 1997 "bird_2555" "bird_2959" "family_1491"
"KPT" 0 "2" 1997 "bird_2741" "bird_2679" "family_1492"
"KPT" 0 "2" 1997 "bird_2964" "bird_2960" "family_1493"
"KPT" 3 "3" 1997 "bird_2963" "bird_2961" "family_1495"
"KPT" 3 "3" 1997 "bird_2775" "bird_2777" "family_1496"
"KPT" 0 "3" 1997 "bird_3048" "bird_3049" "family_1497"
"KPT" 0 "3" 1997 "bird_2806" "bird_3050" "family_1498"
"KPT" 3 "3" 1997 "bird_2811" "bird_2807" "family_1499"
"KPT" 0 "3" 1997 "bird_2831" "bird_3047" "family_1500"
"KPT" 0 "3" 1997 "bird_2705" NA "family_1501"
"KPT" 0 "3" 1997 "bird_3051" "bird_3053" "family_1503"
"KPT" 0 "3" 1997 "bird_3056" "bird_2515" "family_1504"
"KPT" 0 "3" 1997 "bird_2844" "bird_2846" "family_1505"
"KPT" 0 "3" 1997 NA "bird_2631" "family_1506"
"KPT" 0 "3" 1997 "bird_3046" "bird_2565" "family_1507"
"KPT" 0 "3" 1997 "bird_2637" "bird_3044" "family_1508"
"KPT" 0 "3" 1997 "bird_3045" NA "family_1509"
"KPT" 0 "3" 1997 "bird_3054" NA "family_1510"
"KPT" 0 "2" 1997 "bird_2818" "bird_2809" "family_1512"
"KPT" 0 "3" 1997 "bird_3052" "bird_2538" "family_1513"
"KPT" 0 "3" 1997 "bird_2527" NA "family_1514"
"KPT" 0 "3" 1997 "bird_3057" "bird_2512" "family_1515"
"KPT" 0 "3" 1997 "bird_2583" NA "family_1516"
"KPT" 0 "3" 1997 NA "bird_2769" "family_1517"
"KPT" 0 "3" 1997 "bird_2850" "bird_2849" "family_1581"
"KPT" 0 "3" 1997 "bird_2566" "bird_2567" "family_1609"
"KPT" 2 "3" 1997 "bird_2656" "bird_2854" "family_1615"
"KPT" 0 "3" 1997 "bird_2499" "bird_2516" "family_1623"
"KPT" 0 "3" 1997 "bird_2685" NA "family_1628"
"KPT" 0 "3" 1997 NA "bird_2585" "family_1643"
"KPT" 0 "3" 1997 "bird_2853" NA "family_1585"
"KPT" 0 "3" 1997 NA "bird_2568" "family_1596"
"KPT" 0 NA 1997 NA "bird_2653" "family_1597"
"KPT" 0 "3" 1997 "bird_2852" "bird_2851" "family_1598"
"KPT" 0 NA 1997 "bird_2694" "bird_2695" "family_1599"
"KPT" 0 "3" 1997 "bird_2859" "bird_2862" "family_1600"
"KPT" 0 "3" 1997 "bird_2857" "bird_2692" "family_1601"
"KPT" 0 "3" 1997 "bird_2865" "bird_2858" "family_1602"
"KPT" 0 "3" 1997 NA "bird_2657" "family_1603"
"KPT" 0 "3" 1997 NA "bird_2577" "family_1604"
"KPT" 0 "3" 1997 "bird_2709" "bird_2660" "family_1605"
"KPT" 0 "3" 1997 "bird_2856" "bird_2855" "family_1606"
"KPT" 0 "3" 1997 "bird_2860" "bird_2863" "family_1607"
"KPT" 3 "3" 1997 "bird_2873" "bird_2870" "family_1608"
"KPT" 3 "3" 1997 "bird_2874" "bird_2866" "family_1610"
"KPT" 3 "3" 1997 "bird_2864" "bird_2861" "family_1611"
"KPT" 3 "3" 1997 "bird_2887" "bird_2885" "family_1612"
"KPT" 0 NA 1997 "bird_2868" "bird_2679" "family_1613"
"KPT" 0 "3" 1997 "bird_2888" "bird_2884" "family_1614"
"KPT" 0 "3" 1997 "bird_2871" "bird_2653" "family_1616"
"KPT" 0 "3" 1997 NA "bird_2695" "family_1617"
"KPT" 3 "3" 1997 "bird_2880" "bird_2878" "family_1618"
"KPT" 1 "3" 1997 NA "bird_2982" "family_1619"
"KPT" 3 "3" 1997 "bird_2872" "bird_2867" "family_1620"
"KPT" 0 NA 1997 "bird_2499" "bird_2516" "family_1621"
"KPT" 3 "3" 1997 "bird_2678" "bird_2869" "family_1622"
"KPT" 0 "3" 1997 "bird_2876" "bird_2875" "family_1624"
"KPT" 0 "3" 1997 NA "bird_2577" "family_1625"
"KPT" 2 "3" 1997 "bird_2714" "bird_2879" "family_1626"
"KPT" 0 "3" 1997 NA "bird_2568" "family_1627"
"KPT" 3 "3" 1997 "bird_2978" "bird_2979" "family_1629"
"KPT" 3 "3" 1997 "bird_2886" "bird_2985" "family_1630"
"KPT" 0 "3" 1997 NA "bird_2855" "family_1631"
"KPT" 0 "3" 1997 "bird_2984" "bird_2983" "family_1632"
"KPT" 0 "3" 1997 NA "bird_2660" "family_1633"
"KPT" 3 "3" 1997 "bird_2499" "bird_2516" "family_1634"
"KPT" 3 "3" 1997 "bird_2853" "bird_2882" "family_1635"
"KPT" 0 "3" 1997 NA "bird_2569" "family_1636"
"KPT" 3 "3" 1997 "bird_2883" "bird_2657" "family_1637"
"KPT" 0 "3" 1997 "bird_2988" "bird_2987" "family_1638"
"KPT" 3 "3" 1997 "bird_2694" "bird_2695" "family_1639"
"KPT" 3 "3" 1997 "bird_2860" "bird_2863" "family_1640"
"KPT" 2 "3" 1997 "bird_2871" "bird_2653" "family_1641"
"KPT" 2 "3" 1997 "bird_2871" "bird_2653" "family_1641"
"KPT" 0 "3" 1997 "bird_3004" "bird_3003" "family_1642"
"KPT" 0 "3" 1997 "bird_3004" "bird_3003" "family_1642"
"KPT" 0 "3" 1997 "bird_2850" "bird_2849" "family_1644"
"KPT" 0 NA 1997 "bird_2850" "bird_2849" "family_1644"
"KPT" NA "3" 1997 "bird_3007" "bird_3008" "family_1645"
"KPT" 3 NA 1997 "bird_2977" "bird_2976" "family_1646"
"KPT" 0 "3" 1997 NA "bird_3058" "family_1647"
"KPT" 0 "3" 1997 "bird_2872" "bird_2774" "family_1648"
"KPT" 0 "3" 1997 "bird_2872" "bird_2774" "family_1648"
"KPT" 0 "3" 1997 "bird_2566" "bird_2567" "family_1649"
"KPT" 0 "3" 1997 "bird_3094" "bird_3092" "family_1582"
"KPT" 0 "3" 1997 "bird_3094" "bird_3092" "family_1582"
"KPT" 0 "3" 1997 "bird_2573" NA "family_1583"
"KPT" 0 "3" 1997 NA "bird_2569" "family_1584"
"KPT" 0 "3" 1997 "bird_2685" "bird_3062" "family_1586"
"KPT" 0 "3" 1997 "bird_2685" "bird_3062" "family_1586"
"KPT" 0 "3" 1997 "bird_3006" "bird_3005" "family_1587"
"KPT" 0 "3" 1997 NA "bird_2692" "family_1588"
"KPT" 0 "3" 1997 "bird_3061" "bird_2605" "family_1589"
"KPT" 0 "3" 1997 "bird_3061" "bird_2605" "family_1589"
"KPT" 0 "3" 1997 "bird_2953" "bird_2765" "family_1590"
"KPT" 0 "2" 1997 "bird_2953" "bird_2765" "family_1590"
"KPT" 0 "3" 1997 NA "bird_2855" "family_1591"
"KPT" 0 "3" 1997 NA "bird_2855" "family_1591"
"KPT" 0 "3" 1997 "bird_3093" NA "family_1592"
"KPT" 0 NA 1997 "bird_3093" NA "family_1592"
"KPT" 0 "3" 1997 NA "bird_2569" "family_1593"
"KPT" 0 "3" 1997 NA "bird_2569" "family_1593"
"KPT" 0 "3" 1997 "bird_2566" NA "family_1594"
"KPT" 0 NA 1997 "bird_2643" NA "family_1595"
"KPT" 0 "3" 1998 "bird_2533" "bird_3011" "family_1650"
"KPT" 0 "3" 1998 NA "bird_3010" "family_1651"
"KPT" 0 "3" 1998 "bird_3013" "bird_2740" "family_1652"
"KPT" 0 "3" 1998 "bird_2532" "bird_3012" "family_1653"
"KPT" 3 "3" 1998 "bird_3832" "bird_3833" "family_1657"
"KPT" 3 "3" 1998 "bird_2923" "bird_3265" "family_1658"
"KPT" 3 "3" 1998 "bird_3867" "bird_3866" "family_1659"
"KPT" 3 "3" 1998 "bird_3892" "bird_3888" "family_1660"
"KPT" 3 "3" 1998 NA "bird_3839" "family_1666"
"KPT" 0 "3" 1998 "bird_3863" NA "family_1667"
"KPT" 2 "3" 1998 NA NA "family_1672"
"KPT" 3 "3" 1998 "bird_2534" "bird_3792" "family_1673"
"KPT" 3 "3" 1998 "bird_3876" "bird_2809" "family_1671"
"KPT" 3 "3" 1998 "bird_3121" "bird_3119" "family_1670"
"KPT" 3 "3" 1998 "bird_3219" "bird_3103" "family_1681"
"KPT" 3 "3" 1998 "bird_2787" "bird_2631" "family_1682"
"KPT" 3 "3" 1998 "bird_3797" "bird_3798" "family_1683"
"KPT" 3 "3" 1998 "bird_3108" "bird_3109" "family_1676"
"KPT" 3 "3" 1998 "bird_2833" "bird_3146" "family_1677"
"KPT" 2 "3" 1998 "bird_3131" "bird_3132" "family_1678"
"KPT" 3 "3" 1998 "bird_3046" "bird_3112" "family_1679"
"KPT" 3 "3" 1998 "bird_3165" NA "family_1680"
"KPT" 3 "3" 1998 "bird_2981" "bird_3100" "family_1686"
"KPT" 0 "3" 1998 "bird_3111" "bird_3110" "family_1708"
"KPT" 3 "3" 1998 "bird_2801" "bird_3137" "family_1687"
"KPT" 3 "3" 1998 "bird_2825" "bird_3122" "family_1688"
"KPT" 2 "3" 1998 "bird_3002" "bird_3115" "family_1689"
"KPT" 3 "3" 1998 "bird_3126" "bird_2769" "family_1690"
"KPT" 2 "3" 1998 NA NA "family_1691"
"KPT" 0 "3" 1998 NA "bird_2565" "family_1692"
"KPT" 2 "3" 1998 NA NA "family_1693"
"KPT" 3 "3" 1998 "bird_2637" "bird_2777" "family_1694"
"KPT" 3 "3" 1998 "bird_2805" "bird_2554" "family_1695"
"KPT" 3 "3" 1998 NA "bird_2791" "family_1696"
"KPT" 3 "3" 1998 "bird_3176" "bird_3172" "family_1697"
"KPT" 3 "3" 1998 NA NA "family_1698"
"KPT" 3 "3" 1998 NA NA "family_1699"
"KPT" 3 "3" 1998 "bird_3166" "bird_3059" "family_1700"
"KPT" 3 "3" 1998 "bird_3151" "bird_3150" "family_1701"
"KPT" 0 "3" 1998 "bird_3055" "bird_3296" "family_1702"
"KPT" 0 "3" 1998 "bird_3295" "bird_2781" "family_1703"
"KPT" 0 "3" 1998 "bird_2839" "bird_3294" "family_1704"
"KPT" 0 "3" 1998 "bird_3292" "bird_3293" "family_1705"
"KPT" 0 "3" 1998 "bird_3229" "bird_3230" "family_1706"
"KPT" 0 "2" 1998 NA "bird_2512" "family_1707"
"KPT" 3 "3" 1998 "bird_3192" "bird_3193" "family_1714"
"KPT" 3 "3" 1998 "bird_3087" "bird_3088" "family_1715"
"KPT" 3 "3" 1998 "bird_2968" "bird_2998" "family_1716"
"KPT" 3 "3" 1998 "bird_3804" "bird_3802" "family_1717"
"KPT" 3 "3" 1998 "bird_3844" "bird_3837" "family_1718"
"KPT" 3 "3" 1998 NA "bird_2879" "family_1713"
"KPT" 3 "3" 1998 "bird_2635" "bird_3098" "family_1709"
"KPT" 3 "3" 1998 NA NA "family_1710"
"KPT" 0 "3" 1998 "bird_2654" "bird_3193" "family_1711"
"KPT" 0 "3" 1998 "bird_2635" NA "family_1712"
"KPT" 3 "3" 1998 "bird_2659" NA "family_1720"
"KPT" 3 "3" 1998 "bird_2709" "bird_2861" "family_1732"
"KPT" 3 "3" 1998 "bird_3212" "bird_3213" "family_1734"
"KPT" 0 "3" 1998 "bird_2853" "bird_2882" "family_1735"
"KPT" 0 "3" 1998 "bird_3020" "bird_3021" "family_1736"
"KPT" 3 "3" 1998 "bird_2864" "bird_3826" "family_1737"
"KPT" 0 "3" 1998 "bird_3017" "bird_3016" "family_1727"
"KPT" 3 "3" 1998 "bird_3850" "bird_3851" "family_1728"
"KPT" 3 "3" 1998 "bird_3868" "bird_3869" "family_1729"
"KPT" 3 "3" 1998 "bird_2986" "bird_3016" "family_1730"
"KPT" 0 NA 1998 "bird_3197" NA "family_1731"
"KPT" 0 "3" 1998 NA "bird_2882" "family_1721"
"KPT" 0 "3" 1998 "bird_2860" "bird_2855" "family_1722"
"KPT" 0 "3" 1998 "bird_3284" "bird_3202" "family_1723"
"KPT" 0 "3" 1998 "bird_3286" "bird_3283" "family_1724"
"KPT" 0 "3" 1998 "bird_3289" "bird_3287" "family_1725"
"KPT" NA "3" 1998 "bird_3285" "bird_3282" "family_1726"
"KPT" 3 "3" 1998 "bird_3197" "bird_3198" "family_1733"
"KPT" 3 "3" 1998 NA "bird_3202" "family_1744"
"KPT" NA "3" 1998 NA "bird_3202" "family_1744"
"KPT" 2 "3" 1998 NA NA "family_1760"
"KPT" 0 "3" 1998 "bird_3014" "bird_3015" "family_1761"
"KPT" 3 "3" 1998 "bird_2685" NA "family_1762"
"KPT" 0 "3" 1998 "bird_3023" "bird_2863" "family_1763"
"KPT" 3 "3" 1998 "bird_3187" "bird_3188" "family_1738"
"KPT" 3 "3" 1998 "bird_3231" "bird_3060" "family_1739"
"KPT" 0 "3" 1998 "bird_3019" "bird_3018" "family_1740"
"KPT" NA "3" 1998 "bird_3024" "bird_3022" "family_1741"
"KPT" NA "3" 1998 "bird_3032" "bird_2869" "family_1742"
"KPT" 0 "3" 1998 "bird_3029" "bird_3026" "family_1743"
"KPT" NA "3" 1998 "bird_3028" "bird_3027" "family_1745"
"KPT" 3 "3" 1998 "bird_3025" "bird_2692" "family_1746"
"KPT" 3 "3" 1998 "bird_2871" "bird_2594" "family_1747"
"KPT" 3 "3" 1998 "bird_3061" "bird_3062" "family_1748"
"KPT" 3 "3" 1998 "bird_2658" "bird_3033" "family_1749"
"KPT" NA "3" 1998 "bird_2859" "bird_2862" "family_1750"
"KPT" 0 "3" 1998 "bird_3276" "bird_3068" "family_1751"
"KPT" 0 "3" 1998 "bird_3274" "bird_3035" "family_1752"
"KPT" 0 "3" 1998 "bird_2850" "bird_3031" "family_1753"
"KPT" 0 "3" 1998 "bird_3034" "bird_3030" "family_1754"
"KPT" 3 "3" 1998 "bird_3275" "bird_3273" "family_1755"
"KPT" 0 "3" 1998 "bird_3279" "bird_2849" "family_1756"
"KPT" 0 "3" 1998 "bird_3281" "bird_3278" "family_1757"
"KPT" 0 "3" 1998 "bird_2978" "bird_2979" "family_1758"
"KPT" 0 "3" 1998 "bird_2865" "bird_3277" "family_1759"
"KPT" 3 "3" 1998 "bird_3238" "bird_3237" "family_1766"
"KPT" 3 "3" 1998 "bird_3256" "bird_3255" "family_1767"
"KPT" 0 "3" 1998 "bird_3291" "bird_2580" "family_1764"
"KPT" 0 "3" 1998 "bird_3288" "bird_3290" "family_1765"
"KPT" NA "3" 1999 NA NA "family_1776"
"KPT" 0 "3" 1999 NA NA "family_1777"
"KPT" 0 "3" 1999 NA NA "family_1778"
"KPT" 0 "3" 1999 NA NA "family_1768"
"KPT" 0 "2" 1999 NA NA "family_1769"
"KPT" 0 "3" 1999 NA "bird_2506" "family_1770"
"KPT" 0 "3" 1999 NA "bird_2890" "family_1771"
"KPT" 0 "3" 1999 NA NA "family_1772"
"KPT" 0 "3" 1999 NA NA "family_1773"
