"ring"	"ch"	"sex"	"age"
"DH83828"	"111000"	"M"	"A"
"DH83828"	"111000"	"M"	"A"
"DH83828"	"111000"	"M"	"A"
"DH83829"	"111110"	"F"	"A"
"DH83829"	"111110"	"F"	"A"
"DH83829"	"111110"	"F"	"A"
"DH83830"	"100000"	"F"	"A"
"DH83831"	"110000"	"F"	"A"
"DH83832"	"110000"	"M"	"A"
"DH83833"	"111100"	"M"	"A"
"DH83833"	"111100"	"M"	"A"
"DH83833"	"111100"	"M"	"A"
"DH83833"	"111100"	"M"	"A"
"DH83833"	"111100"	"M"	"A"
"DH83833"	"111100"	"M"	"A"
"DH83834"	"100000"	"F"	"A"
"DH83835"	"111000"	"M"	"A"
"DH83835"	"111000"	"M"	"A"
"DH83835"	"111000"	"M"	"A"
"DH83836"	"100000"	"F"	"A"
"DH83837"	"101000"	"M"	"A"
"DH83838"	"100000"	"F"	"A"
"DH83839"	"110000"	"M"	"A"
"DH83840"	"101000"	"F"	"A"
"DH83841"	"111000"	"M"	"A"
"DH83842"	"111100"	"F"	"A"
"DH83843"	"111110"	"F"	"A"
"DH83844"	"111000"	"F"	"A"
"DH83845"	"101100"	"F"	"A"
"DH83846"	"101000"	"F"	"A"
"DH83847"	"111000"	"F"	"A"
"DH83847"	"111000"	"F"	"A"
"DH83847"	"111000"	"F"	"A"
"DH83848"	"100100"	"M"	"A"
"DH83849"	"110000"	"F"	"A"
"DH83850"	"100000"	"F"	"A"
"DH83852"	"110000"	"F"	"A"
"DH83855"	"111000"	"M"	"J"
"DH83856"	"100000"	"M"	"A"
"DH83857"	"111000"	"M"	"A"
"DH83858"	"111010"	"F"	"A"
"DH83860"	"101100"	"M"	"J"
"DH83866"	"111000"	"M"	"A"
"DH83866"	"111000"	"M"	"A"
"DH83866"	"111000"	"M"	"A"
"DH83867"	"110010"	"F"	"A"
"DH83873"	"110000"	"M"	"A"
"DH83874"	"110000"	"F"	"A"
"DH83881"	"111000"	"F"	"A"
"DH83882"	"100000"	"M"	"A"
"DH83884"	"110000"	"M"	"A"
"DH83887"	"100000"	"M"	"A"
"DH83888"	"111000"	"F"	"A"
"DH83894"	"100000"	"F"	"A"
"DH83896"	"100100"	"M"	"A"
"DH83897"	"100000"	"M"	"A"
"DH83898"	"100000"	"F"	"A"
"DH83900"	"111000"	"F"	"A"
"DH83901"	"111000"	"M"	"A"
"DH83905"	"110000"	"M"	"A"
"DH83906"	"101100"	"F"	"A"
"DH83910"	"111000"	"F"	"A"
"DH83911"	"100000"	"M"	"A"
"DH83918"	"111000"	"M"	"A"
"DH83919"	"111100"	"F"	"A"
"DH83919"	"111100"	"F"	"A"
"DH83919"	"111100"	"F"	"A"
"DH83920"	"111000"	"M"	"A"
"DH83921"	"110000"	"F"	"A"
"DH83926"	"100000"	"M"	"A"
"DH83933"	"111110"	"F"	"A"
"DH83936"	"101100"	"M"	"A"
"DH83944"	"111100"	"M"	"A"
"DH83944"	"111100"	"M"	"A"
"DH83944"	"111100"	"M"	"A"
"DH83945"	"111000"	"F"	"A"
"DH83950"	"101100"	"M"	"A"
"DH83951"	"100000"	"F"	"A"
"DH83957"	"111100"	"F"	"A"
"DH83960"	"100000"	"M"	"A"
"DH83963"	"100000"	"M"	"A"
"DH83964"	"111100"	"F"	"A"
"DH83971"	"100000"	"M"	"A"
"DH83972"	"111110"	"M"	"A"
"DH83973"	"111000"	"F"	"A"
"DH83977"	"110000"	"F"	"A"
"DH83979"	"100000"	"M"	"A"
"DH83981"	"110000"	"M"	"A"
"DH83982"	"111100"	"F"	"A"
"DH83983"	"100000"	"M"	"A"
"DH83984"	"110000"	"M"	"A"
"DH83985"	"111110"	"M"	"A"
"DH83986"	"100000"	"M"	"A"
"DH83990"	"111100"	"F"	"A"
"DH83992"	"111110"	"M"	"J"
"DH83995"	"111110"	"M"	"A"
"DH83995"	"111110"	"M"	"A"
"DH83995"	"111110"	"M"	"A"
"DH83995"	"111110"	"M"	"A"
"DH83995"	"111110"	"M"	"A"
"DH83995"	"111110"	"M"	"A"
"DH83998"	"101110"	"F"	"A"
"DH85502"	"100000"	"M"	"A"
