"population" "year" "male" "female" "family_ID" "chick_ID"
"KIP" 2015 0 1 "family_418" "bird_5500"
"KIP" 2015 1 0 "family_418" "bird_5501"
"KIP" 2015 0 1 "family_420" "bird_5556"
"KIP" 2015 0 1 "family_420" "bird_5557"
"KIP" 2015 1 0 "family_424" "bird_5735"
"KIP" 2015 0 1 "family_424" "bird_5736"
"KIP" 2015 0 1 "family_426" "bird_5548"
"KIP" 2015 1 0 "family_426" "bird_5551"
"KIP" 2015 1 0 "family_428" "bird_5716"
"KIP" 2015 0 1 "family_428" "bird_5723"
"KIP" 2015 1 0 "family_430" "bird_5738"
"KIP" 2015 0 1 "family_430" "bird_5983"
"KIP" 2015 0 1 "family_434" "bird_5745"
"KIP" 2015 1 0 "family_434" "bird_5975"
"KIP" 2015 1 0 "family_436" "bird_5878"
"KIP" 2015 1 0 "family_436" "bird_5879"
"KIP" 2015 0 1 "family_439" "bird_5989"
"KIP" 2015 1 0 "family_439" "bird_5993"
"KIP" 2015 1 0 "family_442" "bird_5743"
"KIP" 2015 0 1 "family_442" "bird_5982"
"KIP" 2015 1 0 "family_444" "bird_5697"
"KIP" 2015 1 0 "family_444" "bird_5713"
"WFP" 2013 0 1 "family_2791" "bird_4509"
"WFP" 2013 0 1 "family_2791" "bird_4517"
"WFP" 2013 0 1 "family_2791" "bird_4527"
"WFP" 2013 1 0 "family_2800" "bird_5032"
"WFP" 2013 1 0 "family_2800" "bird_5033"
"WFP" 2013 1 0 "family_2772" "bird_4082"
"WFP" 2013 1 0 "family_2772" "bird_4155"
"WFP" 2013 0 1 "family_2775" "bird_4547"
"WFP" 2013 1 0 "family_2775" "bird_4548"
"WFP" 2013 1 0 "family_2780" "bird_1"
"WFP" 2013 1 0 "family_2780" "bird_2"
"WFP" 2013 1 0 "family_2780" "bird_4603"
"WFP" 2013 1 0 "family_2782" "bird_4607"
"WFP" 2013 1 0 "family_2782" "bird_4608"
"WFP" 2013 1 0 "family_2782" "bird_4609"
"WFP" 2014 1 0 "family_2831" "bird_5205"
"WFP" 2014 1 0 "family_2831" "bird_5206"
"WFP" 2014 0 1 "family_2828" "bird_5403"
"WFP" 2014 1 0 "family_2828" "bird_5404"
"WFP" 2014 1 0 "family_2819" "bird_5153"
"WFP" 2014 0 1 "family_2819" "bird_5155"
"WFP" 2014 1 0 "family_2821" "bird_5154"
"WFP" 2014 0 1 "family_2821" "bird_5166"
"WFP" 2014 1 0 "family_2835" "bird_5347"
"WFP" 2014 0 1 "family_2835" "bird_5348"
"WFP" 2015 0 1 "family_2847" "bird_5946"
"WFP" 2015 0 1 "family_2847" "bird_5947"
"WFP" 2015 0 1 "family_2847" "bird_5950"
"WFP" 2015 0 1 "family_2849" "bird_5969"
"WFP" 2015 1 0 "family_2849" "bird_5970"
"MP" 2010 1 0 "family_2058" "bird_4322"
"MP" 2010 0 1 "family_2058" "bird_4323"
"MP" 2013 0 1 "family_2082" "bird_4733"
"MP" 2013 1 0 "family_2082" "bird_4734"
"MP" 2013 0 1 "family_2069" "bird_4853"
"MP" 2013 1 0 "family_2069" "bird_4859"
"MP" 2013 0 1 "family_2075" "bird_4860"
"MP" 2013 1 0 "family_2075" "bird_4868"
"MP" 2013 0 1 "family_2076" "bird_4826"
"MP" 2013 1 0 "family_2076" "bird_4828"
"MP" 2013 1 0 "family_2081" "bird_5013"
"MP" 2013 0 1 "family_2081" "bird_5014"
"MP" 2013 1 0 "family_2072" "bird_4560"
"MP" 2013 1 0 "family_2072" "bird_4563"
"MP" 2014 1 0 "family_2105" "bird_5427"
"MP" 2014 0 1 "family_2105" "bird_5430"
"MP" 2015 1 0 "family_2108" "bird_5938"
"MP" 2015 1 0 "family_2108" "bird_5939"
"MP" 2015 0 1 "family_2109" "bird_5953"
"MP" 2015 1 0 "family_2109" "bird_5956"
"MP" 2015 1 0 "family_2118" "bird_5260"
"MP" 2015 1 0 "family_2118" "bird_5266"
"KPM" 2007 1 0 "family_472" "bird_227"
"KPM" 2007 1 0 "family_472" "bird_228"
"KPM" 2007 0 1 "family_479" "bird_238"
"KPM" 2007 0 1 "family_479" "bird_239"
"KPM" 2007 0 1 "family_481" "bird_253"
"KPM" 2007 0 1 "family_481" "bird_254"
"KPM" 2007 0 1 "family_480" "bird_256"
"KPM" 2007 0 1 "family_480" "bird_257"
"KPM" 2008 0 1 "family_526" "bird_289"
"KPM" 2008 0 1 "family_526" "bird_290"
"KPM" 2008 1 0 "family_526" "bird_291"
"KPM" 2008 1 0 "family_537" "bird_1453"
"KPM" 2008 1 0 "family_537" "bird_1454"
"KPM" 2008 0 1 "family_537" "bird_1455"
"KPM" 2008 0 1 "family_538" "bird_1441"
"KPM" 2008 1 0 "family_538" "bird_1456"
"KPM" 2009 1 0 "family_588" "bird_778"
"KPM" 2009 0 1 "family_588" "bird_779"
"KPM" 2009 0 1 "family_631" "bird_783"
"KPM" 2009 1 0 "family_632" "bird_784"
"KPM" 2009 1 0 "family_631" "bird_1480"
"KPM" 2009 1 0 "family_558" "bird_785"
"KPM" 2009 1 0 "family_558" "bird_788"
"KPM" 2009 0 1 "family_559" "bird_790"
"KPM" 2009 0 1 "family_633" "bird_795"
"KPM" 2009 1 0 "family_578" "bird_796"
"KPM" 2009 1 0 "family_633" "bird_799"
"KPM" 2009 0 1 "family_593" "bird_801"
"KPM" 2009 1 0 "family_593" "bird_802"
"KPM" 2009 0 1 "family_557" "bird_1493"
"KPM" 2009 1 0 "family_592" "bird_816"
"KPM" 2009 1 0 "family_592" "bird_817"
"KPM" 2009 1 0 "family_565" "bird_818"
"KPM" 2009 1 0 "family_592" "bird_820"
"KPM" 2009 1 0 "family_619" "bird_1498"
"KPM" 2009 0 1 "family_619" "bird_1499"
"KPM" 2009 0 1 "family_572" "bird_824"
"KPM" 2009 1 0 "family_577" "bird_825"
"KPM" 2009 1 0 "family_572" "bird_829"
"KPM" 2009 0 1 "family_605" "bird_830"
"KPM" 2009 1 0 "family_574" "bird_831"
"KPM" 2009 0 1 "family_605" "bird_832"
"KPM" 2009 0 1 "family_577" "bird_835"
"KPM" 2009 0 1 "family_566" "bird_1507"
"KPM" 2009 0 1 "family_567" "bird_1569"
"KPM" 2009 0 1 "family_566" "bird_1570"
"KPM" 2009 0 1 "family_589" "bird_1571"
"KPM" 2009 0 1 "family_606" "bird_1573"
"KPM" 2009 1 0 "family_594" "bird_1574"
"KPM" 2009 0 1 "family_576" "bird_838"
"KPM" 2009 0 1 "family_576" "bird_1576"
"KPM" 2009 1 0 "family_608" "bird_1581"
"KPM" 2009 0 1 "family_608" "bird_1582"
"KPM" 2009 0 1 "family_618" "bird_1518"
"KPM" 2009 1 0 "family_610" "bird_1594"
"KPM" 2009 0 1 "family_618" "bird_1599"
"KPM" 2009 0 1 "family_611" "bird_1601"
"KPM" 2009 0 1 "family_611" "bird_1602"
"KPM" 2009 0 1 "family_611" "bird_1603"
"KPM" 2010 0 1 "family_681" "bird_1653"
"KPM" 2010 0 1 "family_681" "bird_1654"
"KPM" 2010 0 1 "family_762" "bird_1873"
"KPM" 2010 0 1 "family_681" "bird_1931"
"KPM" 2010 1 0 "family_702" "bird_1659"
"KPM" 2010 1 0 "family_702" "bird_1660"
"KPM" 2010 1 0 "family_714" "bird_1661"
"KPM" 2010 1 0 "family_714" "bird_1662"
"KPM" 2010 1 0 "family_714" "bird_1664"
"KPM" 2010 1 0 "family_702" "bird_1665"
"KPM" 2010 1 0 "family_782" "bird_1882"
"KPM" 2010 1 0 "family_746" "bird_1890"
"KPM" 2010 0 1 "family_746" "bird_1952"
"KPM" 2010 0 1 "family_746" "bird_1953"
"KPM" 2010 0 1 "family_753" "bird_1892"
"KPM" 2010 1 0 "family_786" "bird_1894"
"KPM" 2010 0 1 "family_776" "bird_1895"
"KPM" 2010 0 1 "family_753" "bird_1896"
"KPM" 2010 0 1 "family_776" "bird_1899"
"KPM" 2010 1 0 "family_827" "bird_1904"
"KPM" 2010 0 1 "family_827" "bird_1905"
"KPM" 2010 1 0 "family_783" "bird_1909"
"KPM" 2010 1 0 "family_783" "bird_1910"
"KPM" 2012 0 1 "family_886" "bird_2028"
"KPM" 2012 1 0 "family_886" "bird_2029"
"KPM" 2012 0 1 "family_886" "bird_2030"
"KPM" 2012 0 1 "family_901" "bird_2035"
"KPM" 2012 0 1 "family_929" "bird_2039"
"KPM" 2012 0 1 "family_929" "bird_2040"
"KPM" 2012 1 0 "family_929" "bird_2041"
"KPM" 2012 1 0 "family_867" "bird_2044"
"KPM" 2012 0 1 "family_867" "bird_2045"
"KPM" 2012 1 0 "family_857" "bird_1718"
"KPM" 2012 1 0 "family_857" "bird_1719"
"KPM" 2012 0 1 "family_889" "bird_1721"
"KPM" 2012 0 1 "family_885" "bird_2049"
"KPM" 2012 0 1 "family_874" "bird_1725"
"KPM" 2012 0 1 "family_874" "bird_1726"
"KPM" 2012 0 1 "family_888" "bird_2052"
"KPM" 2012 0 1 "family_917" "bird_2057"
"KPM" 2012 0 1 "family_917" "bird_2058"
"KPM" 2012 0 1 "family_917" "bird_2059"
"KPM" 2013 1 0 "family_1040" "bird_2069"
"KPM" 2013 1 0 "family_1040" "bird_2070"
"KPM" 2013 0 1 "family_947" "bird_2077"
"KPM" 2013 0 1 "family_936" "bird_2081"
"KPM" 2013 0 1 "family_936" "bird_2082"
"KPM" 2013 0 1 "family_1032" "bird_2086"
"KPM" 2013 0 1 "family_946" "bird_2091"
"KPM" 2013 0 1 "family_946" "bird_2092"
"KPM" 2013 1 0 "family_967" "bird_2154"
"KPM" 2013 1 0 "family_1038" "bird_2098"
"KPM" 2013 1 0 "family_1038" "bird_2099"
"KPM" 2013 0 1 "family_955" "bird_2101"
"KPM" 2013 1 0 "family_955" "bird_2102"
"KPM" 2013 1 0 "family_1036" "bird_2104"
"KPM" 2013 1 0 "family_1028" "bird_2112"
"KPM" 2013 0 1 "family_1037" "bird_2113"
"KPM" 2013 0 1 "family_965" "bird_2162"
"KPM" 2013 0 1 "family_965" "bird_2163"
"KPM" 2013 1 0 "family_1014" "bird_2310"
"KPM" 2013 0 1 "family_1014" "bird_2311"
"KPM" 2013 0 1 "family_1014" "bird_2312"
"KPM" 2013 1 0 "family_959" "bird_2169"
"KPM" 2013 1 0 "family_959" "bird_2170"
"KPM" 2013 0 1 "family_959" "bird_2171"
"KPM" 2013 1 0 "family_1015" "bird_2303"
"KPM" 2013 1 0 "family_1054" "bird_2299"
"KPM" 2013 1 0 "family_1049" "bird_2300"
