"population" "no_chicks" "clutch_size" "ID" "year" "male" "female"
"KPT" 3 "3" "1996_B_238" "1996" NA NA
"KPT" 3 "3" "1996_B_247" "1996" "83784" "83785"
"KPT" 0 "3" "1996_B_248" "1996" "83591" "83329"
"KPT" 3 "3" "1996_B_251" "1996" "83960" "83957"
"KPT" 0 "3" "1996_B_255" "1996" "83841" "83840"
"KPT" 3 "3" "1996_B_256" "1996" "83774" "83898"
"KPT" 0 "3" "1996_B_257" "1996" "83825" NA
"KPT" 3 "3" "1996_B_260" "1996" "83905" "83906"
"KPT" 0 "3" "1996_B_261" "1996" NA "83845"
"KPT" 3 "3" "1996_B_266" "1996" "85528" "85527"
"KPT" 0 "3" "1996_B_268" "1996" "83897" "83616"
"KPT" 3 "3" "1996_B_270" "1996" "83936" "83933"
"KPT" 3 "3" "1996_B_271" "1996" NA NA
"KPT" 0 "2" "1996_B_273" "1996" NA "83587"
"KPT" 2 "3" "1996_B_274" "1996" NA NA
"KPT" 2 "3" "1996_B_275" "1996" NA "85518"
"KPT" 0 "3" "1996_B_276" "1996" "83971" "83607"
"KPT" 3 "3" "1996_B_277" "1996" "85502" "83977"
"KPT" 2 "3" "1996_B_279" "1996" NA "85522"
"KPT" 3 "3" "1996_B_280" "1996" "83562" NA
"KPT" 0 "3" "1996_B_281" "1996" NA "85526"
"KPT" 0 NA "1996_B_282" "1996" "85540" "85539"
"KPT" 0 "3" "1996_B_305" "1996" "83985" "83844"
"KPT" 3 "3" "1996_B_306" "1996" "83950" "83951"
"KPT" 3 "3" "1996_B_309" "1996" "83911" "83910"
"KPT" 0 "3" "1996_B_312" "1996" NA "83590"
"KPT" 0 "3" "1996_B_323" "1996" "83981" "83990"
"KPT" 0 "3" "1996_B_330" "1996" "83984" "83804"
"KPT" 0 "3" "1996_C_4" "1996" "83554" "83553"
"KPT" 0 "3" "1996_C_23" "1996" "83555" "83822"
"KPT" 0 "3" "1996_C_25" "1996" "83559" "83558"
"KPT" 0 "3" "1996_C_42" "1996" "83569" "83570"
"KPT" 0 "3" "1996_C_43" "1996" "83339" "83565"
"KPT" 0 "3" "1996_C_44" "1996" "83566" "83567"
"KPT" 0 "3" "1996_C_45" "1996" "83574" "83575"
"KPT" 0 "3" "1996_C_54" "1996" "83563" "83564"
"KPT" 0 "3" "1996_C_65" "1996" "83581" "83582"
"KPT" 0 "3" "1996_C_66" "1996" "83584" "83583"
"KPT" 0 "3" "1996_C_68" "1996" "83589" "83588"
"KPT" 0 "3" "1996_C_78" "1996" "83578" "83553"
"KPT" 0 "3" "1996_C_93" "1996" "83593" "83592"
"KPT" 0 "3" "1996_C_128" "1996" "83805" "83806"
"KPT" 0 "3" "1996_C_133" "1996" "83563" "83570"
"KPT" 0 "3" "1996_C_134" "1996" "83598" "83597"
"KPT" 0 "3" "1996_C_146" "1996" "83811" "83812"
"KPT" 0 "3" "1996_C_162" "1996" "83563" "83570"
"KPT" 3 "3" "1996_C_167" "1996" "83555" "83623"
"KPT" 2 "2" "1996_C_168" "1996" "83598" "83829"
"KPT" 0 "3" "1996_C_186" "1996" "83593" NA
"KPT" 3 "3" "1996_C_188" "1996" "83805" "83812"
"KPT" 0 "3" "1996_C_190" "1996" "83833" "83830"
"KPT" 0 "3" "1996_C_191" "1996" "83835" "83836"
"KPT" 0 "2" "1996_C_197" "1996" "83563" "83570"
"KPT" 0 "3" "1996_C_198" "1996" "83983" "83842"
"KPT" 3 "3" "1996_C_199" "1996" "83559" "83847"
"KPT" 3 "3" "1996_C_224" "1996" "83554" "83567"
"KPT" 1 "3" "1996_C_300" "1996" "83569" "83849"
"KPT" 3 "3" "1996_C_316" "1996" "83574" "83982"
"KPT" 0 "3" "1996_C_318" "1996" "83848" "83998"
"KPT" 0 "3" "1996_C_325" "1996" "83986" "83850"
"KPT" 0 "3" "1996_C_332" "1996" "83995" "83842"
"KPT" NA "3" "1996_C_333" "1996" NA "83645"
"KPT" 3 "3" "1996_D_1" "1996" "83646" "83645"
"KPT" 3 "3" "1996_D_5" "1996" "83660" "83661"
"KPT" 3 "3" "1996_D_8" "1996" "83643" "83642"
"KPT" 1 "3" "1996_D_9" "1996" NA "83689"
"KPT" 3 "3" "1996_D_10" "1996" "83627" "83628"
"KPT" 3 "3" "1996_D_12" "1996" "83601" "83602"
"KPT" 3 "3" "1996_D_18" "1996" NA "83789"
"KPT" 3 "3" "1996_D_20" "1996" NA "83681"
"KPT" 3 "3" "1996_D_21" "1996" NA NA
"KPT" 3 "3" "1996_D_27" "1996" "83866" "83867"
"KPT" 2 "3" "1996_D_28" "1996" NA NA
"KPT" 0 "3" "1996_D_33" "1996" NA "83852"
"KPT" 3 "3" "1996_D_44" "1996" "83857" "83858"
"KPT" 1 "3" "1996_D_45" "1996" NA NA
"KPT" 3 "3" "1996_D_46" "1996" NA NA
"KPT" 3 "3" "1996_D_48" "1996" "83918" "83919"
"KPT" 0 "3" "1996_D_53" "1996" "83643" "83642"
"KPT" 3 "3" "1996_D_56" "1996" "85516" "85507"
"KPT" 3 "3" "1996_D_57" "1996" "83646" "83691"
"KPT" 3 "3" "1996_D_58" "1996" "83972" "83973"
"KPT" 1 "3" "1996_D_63" "1996" NA NA
"KPT" 3 "3" "1996_D_64" "1996" "83963" "83964"
"KPT" 3 "3" "1996_D_66" "1996" "85504" "85505"
"KPT" 0 "3" "1996_D_68" "1996" NA "83628"
"KPT" 3 "3" "1996_D_500" "1996" "83944" "83945"
"KPT" 0 "3" "1996_F_1" "1996" "83337" "83338"
"KPT" 0 "3" "1997_A_2" "1997" "85577" "83666"
"KPT" 0 "3" "1997_A_12" "1997" "83884" "83881"
"KPT" 0 "3" "1997_A_35" "1997" NA "83874"
"KPT" 0 "3" "1997_A_46" "1997" "24877" "24878"
"KPT" 0 "3" "1997_A_64" "1997" "83884" "83881"
"KPT" 0 "3" "1997_A_65" "1997" "24853" "24692"
"KPT" 0 "3" "1997_A_84" "1997" "83665" "83342"
"KPT" 0 "3" "1997_A_85" "1997" "83614" "83616"
"KPT" 0 NA "1997_A_101" "1997" "83778" NA
"KPT" 0 "3" "1997_A_105" "1997" "83873" "83874"
"KPT" 0 "3" "1997_A_108" "1997" NA "24692"
"KPT" 0 "3" "1997_A_109" "1997" "25092" "24878"
"KPT" 0 "3" "1997_A_111" "1997" "83920" "24681"
"KPT" 0 "3" "1997_B_2" "1997" "85583" "85572"
"KPT" 0 "3" "1997_B_3" "1997" "83331" "85573"
"KPT" 0 NA "1997_B_25" "1997" NA "83843"
"KPT" 0 "3" "1997_B_42" "1997" NA "83831"
"KPT" 0 "3" "1997_B_49" "1997" NA "83552"
"KPT" 0 "3" "1997_B_56" "1997" "83981" "83990"
"KPT" 0 "3" "1997_B_59" "1997" NA "85522"
"KPT" 0 "3" "1997_B_61" "1997" "85598" "83804"
"KPT" 0 "3" "1997_B_76" "1997" NA "83816"
"KPT" 0 "1" "1997_B_78" "1997" "83577" NA
"KPT" 0 "3" "1997_B_88" "1997" "24660" "83329"
"KPT" 0 "3" "1997_B_92" "1997" "83606" "83347"
"KPT" 0 "3" "1997_B_99" "1997" "83905" "24869"
"KPT" 0 "3" "1997_B_107" "1997" "83696" "24685"
"KPT" 0 "3" "1997_B_109" "1997" NA "85588"
"KPT" 0 "3" "1997_B_118" "1997" "24910" "83818"
"KPT" 0 "1" "1997_B_121" "1997" NA NA
"KPT" 0 "3" "1997_B_123" "1997" "25087" "24865"
"KPT" 0 "3" "1997_B_125" "1997" "25213" "24806"
"KPT" 0 "3" "1997_B_126" "1997" NA "24884"
"KPT" 2 "2" "1997_C_4" "1997" NA NA
"KPT" 3 "3" "1997_C_5" "1997" "24702" "24701"
"KPT" 0 "3" "1997_C_9" "1997" "83824" "24724"
"KPT" 0 "3" "1997_C_10" "1997" "24746" "83819"
"KPT" 0 "3" "1997_C_13" "1997" NA "24733"
"KPT" 0 "3" "1997_C_14" "1997" "24721" "83570"
"KPT" 0 "3" "1997_C_15" "1997" "24705" "24707"
"KPT" 0 "3" "1997_C_16" "1997" "24708" "24706"
"KPT" 3 "3" "1997_C_17" "1997" "24712" "24716"
"KPT" 0 "2" "1997_C_18" "1997" NA "24729"
"KPT" 0 "3" "1997_C_24" "1997" NA "83829"
"KPT" 0 "3" "1997_C_25" "1997" "24718" "24720"
"KPT" 0 "2" "1997_C_26" "1997" "24751" "24731"
"KPT" 2 "2" "1997_C_27" "1997" NA NA
"KPT" 0 "3" "1997_C_33" "1997" "83684" "24732"
"KPT" 0 "3" "1997_C_34" "1997" "83569" "83849"
"KPT" 0 "3" "1997_C_35" "1997" "24711" "24715"
"KPT" 0 "3" "1997_C_38" "1997" "24723" "83686"
"KPT" 0 "3" "1997_C_39" "1997" NA "24728"
"KPT" 0 "3" "1997_C_42" "1997" NA "83642"
"KPT" 0 "3" "1997_C_44" "1997" "24750" "24749"
"KPT" 0 "3" "1997_C_45" "1997" "83568" "24719"
"KPT" 3 "3" "1997_C_46" "1997" "83995" "83847"
"KPT" 0 "3" "1997_C_48" "1997" "24722" NA
"KPT" 0 "3" "1997_C_51" "1997" "24725" "24727"
"KPT" 0 "3" "1997_C_52" "1997" NA "24734"
"KPT" 0 "3" "1997_C_53" "1997" "24737" "24736"
"KPT" 0 "3" "1997_C_54" "1997" "24730" "24726"
"KPT" 0 "3" "1997_C_55" "1997" NA "24735"
"KPT" 0 "3" "1997_C_56" "1997" NA "24740"
"KPT" 0 "3" "1997_C_57" "1997" "24800" "24741"
"KPT" 0 "3" "1997_C_58" "1997" "24738" "24742"
"KPT" 0 "3" "1997_C_60" "1997" "24745" "24743"
"KPT" 3 "3" "1997_C_61" "1997" "24744" "83806"
"KPT" 3 "3" "1997_C_62" "1997" "24833" "24739"
"KPT" 3 "3" "1997_C_63" "1997" "83593" "83592"
"KPT" 0 "3" "1997_C_64" "1997" "83805" "83822"
"KPT" 0 "3" "1997_C_65" "1997" "24756" "24752"
"KPT" 0 "3" "1997_C_66" "1997" "25181" "24753"
"KPT" 0 "3" "1997_C_67" "1997" "24763" "24754"
"KPT" 0 "3" "1997_C_68" "1997" NA "24755"
"KPT" 0 "3" "1997_C_69" "1997" "83578" "83810"
"KPT" 0 "3" "1997_C_71" "1997" "24758" "24757"
"KPT" 0 "3" "1997_C_72" "1997" "24723" "83686"
"KPT" 0 "3" "1997_C_73" "1997" NA "24771"
"KPT" 0 "3" "1997_C_75" "1997" "83770" "83644"
"KPT" 3 "3" "1997_C_76" "1997" "24762" "24761"
"KPT" 0 "3" "1997_C_77" "1997" "24764" "24759"
"KPT" 0 "1" "1997_C_78" "1997" NA "24715"
"KPT" 0 "2" "1997_C_79" "1997" "24783" "24780"
"KPT" 0 "3" "1997_C_80" "1997" "24779" "24784"
"KPT" 0 "3" "1997_C_81" "1997" "24774" "24760"
"KPT" 0 "3" "1997_C_82" "1997" "83574" "83812"
"KPT" 2 "3" "1997_C_83" "1997" "24782" "24778"
"KPT" 0 "2" "1997_C_84" "1997" "24775" "24766"
"KPT" 2 "3" "1997_C_85" "1997" "24776" "24767"
"KPT" 3 "3" "1997_C_86" "1997" "24785" "24792"
"KPT" 0 "3" "1997_C_88" "1997" "24790" "83600"
"KPT" 0 "3" "1997_C_89" "1997" "24953" "24735"
"KPT" 0 "3" "1997_C_90" "1997" "24781" NA
"KPT" 0 "3" "1997_C_91" "1997" "24777" NA
"KPT" 0 "3" "1997_C_92" "1997" "24791" "24786"
"KPT" 0 "3" "1997_C_94" "1997" "83684" NA
"KPT" 0 "2" "1997_C_95" "1997" "83568" NA
"KPT" 0 "3" "1997_C_97" "1997" "24796" "24798"
"KPT" 3 "3" "1997_C_98" "1997" "24799" "24797"
"KPT" 0 "3" "1997_C_99" "1997" NA "83829"
"KPT" 0 "3" "1997_C_100" "1997" "24951" "24734"
"KPT" 0 "3" "1997_C_101" "1997" "24971" "24733"
"KPT" 0 "3" "1997_C_102" "1997" "24956" "24952"
"KPT" 0 "3" "1997_C_103" "1997" "24954" "24955"
"KPT" 0 "3" "1997_C_104" "1997" "24963" "24960"
"KPT" 3 "3" "1997_C_105" "1997" "83833" "24978"
"KPT" 0 "3" "1997_C_106" "1997" "83621" "83645"
"KPT" 3 "3" "1997_C_107" "1997" "83811" "24964"
"KPT" 2 "3" "1997_C_109" "1997" "24965" "24961"
"KPT" 2 "3" "1997_C_110" "1997" "24968" "24967"
"KPT" 0 "3" "1997_C_111" "1997" "24969" "24970"
"KPT" 3 "3" "1997_C_112" "1997" "24708" "24706"
"KPT" 2 "3" "1997_C_113" "1997" "24972" "24973"
"KPT" 2 "3" "1997_C_117" "1997" "24980" "24982"
"KPT" 0 "3" "1997_C_118" "1997" "24783" "24780"
"KPT" 3 "3" "1997_C_119" "1997" "24725" "24727"
"KPT" 3 "3" "1997_C_120" "1997" "24981" "83842"
"KPT" 0 "3" "1997_C_122" "1997" "24992" "24819"
"KPT" 0 "3" "1997_C_124" "1997" "24790" "83600"
"KPT" 0 "3" "1997_C_125" "1997" "24983" "24701"
"KPT" 0 "3" "1997_C_126" "1997" "83855" NA
"KPT" 3 "3" "1997_C_127" "1997" "83601" "24989"
"KPT" 0 "2" "1997_C_128" "1997" "21820" "83919"
"KPT" 0 "2" "1997_C_129" "1997" "24994" "24990"
"KPT" 3 "3" "1997_C_130" "1997" "24993" "24991"
"KPT" 3 "3" "1997_C_131" "1997" "24718" "24720"
"KPT" 0 "3" "1997_C_132" "1997" "25171" "25173"
"KPT" 0 "3" "1997_C_136" "1997" "24751" "25176"
"KPT" 3 "3" "1997_C_137" "1997" "24756" "24752"
"KPT" 0 "3" "1997_C_138" "1997" "24781" "25170"
"KPT" 0 "3" "1997_C_139" "1997" "83992" NA
"KPT" 0 "3" "1997_C_140" "1997" "25177" "25180"
"KPT" 0 "3" "1997_C_141" "1997" "25183" "83557"
"KPT" 0 "3" "1997_C_143" "1997" "24796" "24798"
"KPT" 0 "3" "1997_C_144" "1997" NA "83829"
"KPT" 0 "3" "1997_C_145" "1997" "25168" "83623"
"KPT" 0 "3" "1997_C_147" "1997" "83835" "25163"
"KPT" 0 "3" "1997_C_148" "1997" "25164" NA
"KPT" 0 "3" "1997_C_149" "1997" "25181" NA
"KPT" 0 "2" "1997_C_150" "1997" "24763" "24754"
"KPT" 0 "3" "1997_C_151" "1997" "25179" "83583"
"KPT" 0 "3" "1997_C_153" "1997" "83569" NA
"KPT" 0 "3" "1997_C_154" "1997" "25186" "83553"
"KPT" 0 "3" "1997_C_155" "1997" "83684" NA
"KPT" 0 "3" "1997_C_159" "1997" NA "24707"
"KPT" 0 "3" "1997_D_1" "1997" "24802" "24801"
"KPT" 0 "3" "1997_D_4" "1997" "83627" "83628"
"KPT" 2 "3" "1997_D_5" "1997" "83857" "24806"
"KPT" 0 "3" "1997_D_6" "1997" "83333" "83558"
"KPT" 0 "3" "1997_D_7" "1997" "83944" NA
"KPT" 0 "3" "1997_D_9" "1997" NA "83689"
"KPT" 0 "3" "1997_D_11" "1997" "24805" NA
"KPT" 0 "3" "1997_D_14" "1997" NA "83635"
"KPT" 0 NA "1997_D_15" "1997" NA "83852"
"KPT" 0 "3" "1997_D_16" "1997" "24804" "24803"
"KPT" 0 NA "1997_D_17" "1997" "83972" "83973"
"KPT" 0 "3" "1997_D_21" "1997" "24811" "24814"
"KPT" 0 "3" "1997_D_22" "1997" "24809" "83964"
"KPT" 0 "3" "1997_D_26" "1997" "24817" "24810"
"KPT" 0 "3" "1997_D_30" "1997" NA "83858"
"KPT" 0 "3" "1997_D_31" "1997" NA "83661"
"KPT" 0 "3" "1997_D_33" "1997" "85504" "83867"
"KPT" 0 "3" "1997_D_34" "1997" "24808" "24807"
"KPT" 0 "3" "1997_D_35" "1997" "24812" "24815"
"KPT" 3 "3" "1997_D_37" "1997" "24825" "24822"
"KPT" 3 "3" "1997_D_40" "1997" "24826" "24818"
"KPT" 3 "3" "1997_D_41" "1997" "24816" "24813"
"KPT" 3 "3" "1997_D_44" "1997" "24849" "24847"
"KPT" 0 NA "1997_D_45" "1997" "24820" "83919"
"KPT" 0 "3" "1997_D_47" "1997" "24850" "24846"
"KPT" 0 "3" "1997_D_51" "1997" "24823" "83852"
"KPT" 0 "3" "1997_D_52" "1997" NA "83973"
"KPT" 3 "3" "1997_D_53" "1997" "24836" "24834"
"KPT" 1 "3" "1997_D_54" "1997" NA "25030"
"KPT" 3 "3" "1997_D_55" "1997" "24824" "24819"
"KPT" 0 NA "1997_D_58" "1997" "83333" "83558"
"KPT" 3 "3" "1997_D_59" "1997" "83918" "24821"
"KPT" 0 "3" "1997_D_61" "1997" "24828" "24827"
"KPT" 0 "3" "1997_D_63" "1997" NA "83661"
"KPT" 2 "3" "1997_D_67" "1997" "85516" "24835"
"KPT" 0 "3" "1997_D_68" "1997" NA "83635"
"KPT" 3 "3" "1997_D_70" "1997" "25021" "25022"
"KPT" 3 "3" "1997_D_72" "1997" "24848" "25039"
"KPT" 0 "3" "1997_D_73" "1997" NA "24807"
"KPT" 0 "3" "1997_D_74" "1997" "25038" "25037"
"KPT" 0 "3" "1997_D_75" "1997" NA "83867"
"KPT" 3 "3" "1997_D_76" "1997" "83333" "83558"
"KPT" 3 "3" "1997_D_77" "1997" "24805" "24842"
"KPT" 0 "3" "1997_D_78" "1997" NA "83642"
"KPT" 3 "3" "1997_D_79" "1997" "24845" "83858"
"KPT" 0 "3" "1997_D_80" "1997" "25049" "25048"
"KPT" 3 "3" "1997_D_81" "1997" "83972" "83973"
"KPT" 3 "3" "1997_D_84" "1997" "24812" "24815"
"KPT" 2 "3" "1997_D_87" "1997" "24823" "83852"
"KPT" 2 "3" "1997_D_87" "1997" "24823" "83852"
"KPT" 0 "3" "1997_D_88" "1997" "25116" "25114"
"KPT" 0 "3" "1997_D_88" "1997" "25116" "25114"
"KPT" 0 "3" "1997_D_91" "1997" "24802" "24801"
"KPT" 0 NA "1997_D_91" "1997" "24802" "24801"
"KPT" NA "3" "1997_D_92" "1997" "25120" "25121"
"KPT" 3 NA "1997_D_94" "1997" "25008" "25007"
"KPT" 0 "3" "1997_D_95" "1997" NA "25194"
"KPT" 0 "3" "1997_D_97" "1997" "24824" "24716"
"KPT" 0 "3" "1997_D_97" "1997" "24824" "24716"
"KPT" 0 "3" "1997_D_98" "1997" "83627" "83628"
"KPT" 0 "3" "1997_D_106" "1997" "25253" "25251"
"KPT" 0 "3" "1997_D_106" "1997" "25253" "25251"
"KPT" 0 "3" "1997_D_108" "1997" "83646" NA
"KPT" 0 "3" "1997_D_109" "1997" NA "83642"
"KPT" 0 "3" "1997_D_110" "1997" "83944" "25200"
"KPT" 0 "3" "1997_D_110" "1997" "83944" "25200"
"KPT" 0 "3" "1997_D_112" "1997" "25119" "25118"
"KPT" 0 "3" "1997_D_113" "1997" NA "83964"
"KPT" 0 "3" "1997_D_115" "1997" "25199" "83789"
"KPT" 0 "3" "1997_D_115" "1997" "25199" "83789"
"KPT" 0 "3" "1997_D_120" "1997" "24983" "24701"
"KPT" 0 "2" "1997_D_120" "1997" "24983" "24701"
"KPT" 0 "3" "1997_D_121" "1997" NA "24807"
"KPT" 0 "3" "1997_D_121" "1997" NA "24807"
"KPT" 0 "3" "1997_D_122" "1997" "25252" NA
"KPT" 0 NA "1997_D_122" "1997" "25252" NA
"KPT" 0 "3" "1997_D_123" "1997" NA "83642"
"KPT" 0 "3" "1997_D_123" "1997" NA "83642"
"KPT" 0 "3" "1997_D_124" "1997" "83627" NA
"KPT" 0 NA "1997_D_126" "1997" "83841" NA
"KPT" 0 "3" "1998_B_2" "1998" "83578" "25124"
"KPT" 0 "3" "1998_B_3" "1998" NA "25123"
"KPT" 0 "3" "1998_B_4" "1998" "25126" "85600"
"KPT" 0 "3" "1998_B_5" "1998" "83577" "25125"
"KPT" 3 "3" "1998_B1_1" "1998" "4295" "4296"
"KPT" 3 "3" "1998_B1_2" "1998" "24949" "25443"
"KPT" 3 "3" "1998_B1_4" "1998" "4331" "4330"
"KPT" 3 "3" "1998_B1_5" "1998" "4356" "4352"
"KPT" 3 "3" "1998_B2_3" "1998" NA "4302"
"KPT" 0 "3" "1998_B2_7" "1998" "4327" NA
"KPT" 2 "3" "1998_B3_2" "1998" NA NA
"KPT" 3 "3" "1998_B3_6" "1998" "83579" "4255"
"KPT" 3 "3" "1998_B3_13" "1998" "4340" "24754"
"KPT" 3 "3" "1998_B3_101" "1998" "25283" "25281"
"KPT" 3 "3" "1998_C1_3" "1998" "25388" "25263"
"KPT" 3 "3" "1998_C1_6" "1998" "24730" "83829"
"KPT" 3 "3" "1998_C1_9" "1998" "4260" "4261"
"KPT" 3 "3" "1998_C1_103" "1998" "25269" "25270"
"KPT" 3 "3" "1998_C1_105" "1998" "24783" "25312"
"KPT" 2 "3" "1998_C1_114" "1998" "25293" "25294"
"KPT" 3 "3" "1998_C1_116" "1998" "25168" "25273"
"KPT" 3 "3" "1998_C1_120" "1998" "25331" NA
"KPT" 3 "3" "1998_C2_1" "1998" "25027" "25259"
"KPT" 0 "3" "1998_C2_2" "1998" "25272" "25271"
"KPT" 3 "3" "1998_C2_10" "1998" "24744" "25302"
"KPT" 3 "3" "1998_C2_106" "1998" "24775" "25284"
"KPT" 2 "3" "1998_C2_108" "1998" "25112" "25277"
"KPT" 3 "3" "1998_C2_109" "1998" "25288" "24707"
"KPT" 2 "3" "1998_C2_110" "1998" NA NA
"KPT" 0 "3" "1998_C2_114" "1998" NA "83623"
"KPT" 2 "3" "1998_C2_117" "1998" NA NA
"KPT" 3 "3" "1998_C2_120" "1998" "83835" "24720"
"KPT" 3 "3" "1998_C2_123" "1998" "24750" "83600"
"KPT" 3 "3" "1998_C2_126" "1998" NA "24734"
"KPT" 3 "3" "1998_C2_128" "1998" "25342" "25338"
"KPT" 3 "3" "1998_C2_129" "1998" NA NA
"KPT" 3 "3" "1998_C2_130" "1998" NA NA
"KPT" 3 "3" "1998_C2_132" "1998" "25332" "25195"
"KPT" 3 "3" "1998_C2_133" "1998" "25317" "25316"
"KPT" 0 "3" "1998_C2_136" "1998" "25182" "27230"
"KPT" 0 "3" "1998_C2_137" "1998" "27229" "24724"
"KPT" 0 "3" "1998_C2_138" "1998" "24789" "27228"
"KPT" 0 "3" "1998_C2_139" "1998" "27226" "27227"
"KPT" 0 "3" "1998_C2_140" "1998" "25402" "25403"
"KPT" 0 "2" "1998_C2_141" "1998" NA "83553"
"KPT" 3 "3" "1998_C3_2" "1998" "25358" "25359"
"KPT" 3 "3" "1998_C3_3" "1998" "25245" "25246"
"KPT" 3 "3" "1998_C3_5" "1998" "24998" "25080"
"KPT" 3 "3" "1998_C3_7" "1998" "4267" "4265"
"KPT" 3 "3" "1998_C3_9" "1998" "4307" "4300"
"KPT" 3 "3" "1998_C3_11" "1998" NA "24835"
"KPT" 3 "3" "1998_C3_101" "1998" "83833" "25257"
"KPT" 3 "3" "1998_C3_105" "1998" NA NA
"KPT" 0 "3" "1998_C3_106" "1998" "83855" "25359"
"KPT" 0 "3" "1998_C3_107" "1998" "83833" NA
"KPT" 3 "3" "1998_D1_1" "1998" "83866" NA
"KPT" 3 "3" "1998_D1_3" "1998" "85504" "24813"
"KPT" 3 "3" "1998_D1_6" "1998" "25381" "25382"
"KPT" 0 "3" "1998_D1_7" "1998" "24805" "24842"
"KPT" 0 "3" "1998_D1_8" "1998" "25135" "25136"
"KPT" 3 "3" "1998_D1_9" "1998" "24816" "4289"
"KPT" 0 "3" "1998_D1_13" "1998" "25132" "25131"
"KPT" 3 "3" "1998_D1_18" "1998" "4313" "4314"
"KPT" 3 "3" "1998_D1_20" "1998" "4332" "4333"
"KPT" 3 "3" "1998_D1_23" "1998" "25040" "25131"
"KPT" 0 NA "1998_D1_24" "1998" "25363" NA
"KPT" 0 "3" "1998_D1_101" "1998" NA "24842"
"KPT" 0 "3" "1998_D1_102" "1998" "24812" "24807"
"KPT" 0 "3" "1998_D1_103" "1998" "27218" "25371"
"KPT" 0 "3" "1998_D1_106" "1998" "27220" "27217"
"KPT" 0 "3" "1998_D1_107" "1998" "27223" "27221"
"KPT" NA "3" "1998_D1_109" "1998" "27219" "27216"
"KPT" 3 "3" "1998_D1_507" "1998" "25363" "25364"
"KPT" 3 "3" "1998_D2_2" "1998" NA "25371"
"KPT" NA "3" "1998_D2_2" "1998" NA "25371"
"KPT" 2 "3" "1998_D2_5" "1998" NA NA
"KPT" 0 "3" "1998_D2_7" "1998" "25127" "25130"
"KPT" 3 "3" "1998_D2_8" "1998" "83944" NA
"KPT" 0 "3" "1998_D2_9" "1998" "25138" "24815"
"KPT" 3 "3" "1998_D2_10" "1998" "25353" "25354"
"KPT" 3 "3" "1998_D2_12" "1998" "25404" "25198"
"KPT" 0 "3" "1998_D2_14" "1998" "25134" "25133"
"KPT" NA "3" "1998_D2_15" "1998" "25139" "25137"
"KPT" NA "3" "1998_D2_17" "1998" "25147" "24821"
"KPT" 0 "3" "1998_D2_19" "1998" "25144" "25141"
"KPT" NA "3" "1998_D2_20" "1998" "25143" "25142"
"KPT" 3 "3" "1998_D2_21" "1998" "25140" "83964"
"KPT" 3 "3" "1998_D2_22" "1998" "24823" "83757"
"KPT" 3 "3" "1998_D2_23" "1998" "25199" "25200"
"KPT" 3 "3" "1998_D2_24" "1998" "83860" "25148"
"KPT" NA "3" "1998_D2_25" "1998" "24811" "24814"
"KPT" 0 "3" "1998_D2_26" "1998" "27204" "25216"
"KPT" 0 "3" "1998_D2_27" "1998" "27202" "25150"
"KPT" 0 "3" "1998_D2_28" "1998" "24802" "25146"
"KPT" 0 "3" "1998_D2_29" "1998" "25149" "25145"
"KPT" 3 "3" "1998_D2_30" "1998" "27203" "27201"
"KPT" 0 "3" "1998_D2_31" "1998" "27209" "24801"
"KPT" 0 "3" "1998_D2_32" "1998" "27212" "27208"
"KPT" 0 "3" "1998_D2_33" "1998" "25021" "25022"
"KPT" 0 "3" "1998_D2_36" "1998" "24817" "27207"
"KPT" 3 "3" "1998_D3_7" "1998" "25411" "25410"
"KPT" 3 "3" "1998_D3_8" "1998" "25434" "25433"
"KPT" 0 "3" "1998_D3_201" "1998" "27225" "83677"
"KPT" 0 "3" "1998_D3_202" "1998" "27222" "27224"
"KPT" NA "3" "1999_A1_4" "1999" NA NA
"KPT" 0 "3" "1999_A1_7" "1999" NA NA
"KPT" 0 "3" "1999_A1_9" "1999" NA NA
"KPT" 0 "3" "1999_A1_10" "1999" NA NA
"KPT" 0 "2" "1999_A1_15" "1999" NA NA
"KPT" 0 "3" "1999_A1_16" "1999" NA "83342"
"KPT" 0 "3" "1999_A1_17" "1999" NA "24854"
"KPT" 0 "3" "1999_A1_19" "1999" NA NA
"KPT" 0 "3" "1999_A1_20" "1999" NA NA
"KPT" 0 "3" "1999_A1_21" "1999" NA NA
"KPT" NA "3" "1999_A1_23" "1999" NA NA
"KPT" 0 "3" "1999_A2_2" "1999" "32202" NA
"KPT" 0 "3" "1999_A2_11" "1999" NA NA
"KPT" 0 "3" "1999_A2_14" "1999" NA NA
"KPT" 0 "3" "1999_B1_1" "1999" "4451" "83816"
"KPT" 0 "3" "1999_B1_4" "1999" "4420" "4419"
"KPT" 0 "3" "1999_B1_6" "1999" NA "83815"
"KPT" 0 "3" "1999_B1_7" "1999" "4452" "4393"
"KPT" 0 "3" "1999_B1_8" "1999" "4458" "4456"
"KPT" 0 "3" "1999_B1_11" "1999" "25065" "4455"
"KPT" 0 "3" "1999_B1_12" "1999" "4454" "4453"
"KPT" 0 "3" "1999_B1_17" "1999" "4459" "4457"
"KPT" 0 "3" "1999_B1_27" "1999" "4500" "4460"
"KPT" 0 "3" "1999_B1_29" "1999" NA NA
"KPT" 0 "3" "1999_B1_33" "1999" "4471" "4472"
"KPT" 0 "3" "1999_B1_34" "1999" "83936" "4474"
