"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"01000000001000000000000000000.0...00"	"FH68988"	"KIP"	"2013"	427	77	"M"	"KIP_2013_160"	2
".00000000100000100000000000100000000"	"FH68990"	"KIP"	"2013"	419	69	"M"	"KIP_2013_131"	NA
"0...00000000100000000000000000100000"	"FH68991"	"KIP"	"2013"	416	66	"M"	"KIP_2013_131"	NA
"0001000000000000000001000000000.0..."	"FH68994"	"KIP"	"2013"	425	75	"M"	"KIP_2013_157"	2
"0001000100000000000000000000000.0..."	"FH68995"	"KIP"	"2013"	425	75	"M"	"KIP_2013_157"	2
"100...000000000000000000000000000000"	"FH69000"	"KIP"	"2013"	414	64	"M"	"KIP_2013_33"	2
"0.......0000100000000000000.00000000"	"FH69002"	"KIP"	"2012"	411	62	"M"	"KIP_2012_-101"	NA
"0000.......0000.......00000100000000"	"FH69004"	"KIP"	"2012"	328	48	"F"	"KIP_2012_-103"	NA
"......0000.......0000010000000000000"	"FH69005"	"KIP"	"2012"	402	53	"M"	"KIP_2012_-103"	NA
".......0000.......000001000000000000"	"FH69009"	"KIP"	"2012"	401	52	"F"	"KIP_2012_-106"	NA
"00.......0000.......0000010000000000"	"FH69011"	"KIP"	"2012"	330	50	"F"	"KIP_2012_-109"	NA
"000.......0000.......000001000000000"	"FH69012"	"KIP"	"2012"	329	49	"F"	"KIP_2012_-109"	NA
"000100000000000.00000000000000000000"	"FH69018"	"KIP"	"2012"	423	74	"M"	"KIP_2012_104"	1
"000000100000000.00000000000000000000"	"FH69043"	"KIP"	"2012"	423	74	"F"	"KIP_2012_-112"	NA
"010000000.00000000000000000000000000"	"FH69050"	"KIP"	"2012"	429	80	"M"	"KIP_2012_-102"	NA
"0000000001000.0000100000000000000001"	"FH69075"	"KIP"	"2012"	425	76	"M"	"KIP_2012_-105"	NA
"......0000.......0000000000000000100"	"FH69079"	"KIP"	"2012"	402	53	"M"	"KIP_2012_-24=-107"	NA
"0010.0000000000000000000000000000000"	"FH69081"	"KIP"	"2012"	504	85	"F"	"KIP_2012_-108"	NA
"...0000.......0000000000100000000.10"	"FH69111"	"KIP"	"2012"	405	56	"F"	"KIP_2012_-22"	NA
"00000100000000.100000000000001000000"	"FH69115"	"KIP"	"2012"	424	75	"M"	"KIP_2012_-23"	NA
"0000.......0000.......00000000000100"	"FH69122"	"KIP"	"2012"	328	48	"F"	"KIP_2012_-25"	NA
"...0000.......0000000000000000000.10"	"FH69123"	"KIP"	"2012"	405	56	"F"	"KIP_2012_-26"	NA
"0.......0000000000000000000.01000000"	"FH69132"	"KIP"	"2012"	411	62	"M"	"KIP_2012_-28"	NA
"..1000.......0000000001000000000.000"	"FH69203"	"KIP"	"2012"	406	57	"F"	"KIP_2012_-1"	NA
"0000.......1000000000000000000.00000"	"FH69236"	"KIP"	"2012"	408	59	"F"	"KIP_2012_-6"	NA
"000001000000000000000000000000000.0."	"FH72111"	"KIP"	"2013"	423	73	"M"	"KIP_2013_136"	NA
"00000001000000101000000000000000000."	"FH72113"	"KIP"	"2013"	421	71	"M"	"KIP_2013_83"	1
"000001000000000000000000000000000.0."	"FH72114"	"KIP"	"2013"	423	73	"M"	"KIP_2013_-3"	NA
"10000000000000000000000000.1...00000"	"FH72120"	"KIP"	"2013"	430	80	"M"	"KIP_2013_-4"	NA
"0000000010000000000000000000000000.1"	"FH72121"	"KIP"	"2013"	422	72	"F"	"KIP_2013_-4"	NA
".00000000001000000000110000010000000"	"FH72124"	"KIP"	"2013"	419	69	"F"	"KIP_2013_-5"	NA
"11000000000000000001000.1...00000000"	"FH72132"	"KIP"	"2013"	503	83	"M"	"KIP_2013_352"	2
"0...00000000000001010000100000000000"	"FH72133"	"KIP"	"2013"	416	66	"M"	"KIP_2013_-6"	NA
"01000000000000000001000.1...00000000"	"FH72134"	"KIP"	"2013"	503	83	"F"	"KIP_2013_352"	2
"0000000000001010000000000000000000.0"	"FH72138"	"KIP"	"2013"	422	72	"F"	"KIP_2013_-7"	NA
"100000000000100001000.0...0000000000"	"FH72140"	"KIP"	"2013"	505	85	"M"	"KIP_2013_97"	2
"100000000000100001000.0...0000000000"	"FH72141"	"KIP"	"2013"	505	85	"M"	"KIP_2013_97"	2
"000...000000000000000100000000000000"	"FH72146"	"KIP"	"2013"	414	64	"M"	"KIP_2013_-8"	NA
"1000000000000000000.0...000000000000"	"FH72154"	"KIP"	"2013"	507	87	"M"	"KIP_2013_372"	1
"0000000000000001000000000000000100.0"	"FH72158"	"KIP"	"2013"	422	72	"F"	"KIP_2013_-9"	NA
"0000000000001000000000000000000.0..."	"FH72159"	"KIP"	"2013"	425	75	"M"	"KIP_2013_-9"	NA
"001000000000000000000.0...0000000000"	"FH72160"	"KIP"	"2013"	505	85	"F"	"KIP_2013_-10"	NA
"00000000000100000000000000000.0...00"	"FH72163"	"KIP"	"2013"	427	77	"M"	"KIP_2013_-11"	NA
"00000000100000000000000000.0...00000"	"FH72164"	"KIP"	"2013"	430	80	"F"	"KIP_2013_-12"	NA
"...000000000000000000100000000000000"	"FH72166"	"KIP"	"2013"	417	67	"F"	"KIP_2013_-12"	NA
"10000000000000000.0...00000000000000"	"FH72167"	"KIP"	"2013"	509	89	"M"	"KIP_2013_358"	1
"0001000010000000000.0...000000000000"	"FH72176"	"KIP"	"2013"	507	87	"F"	"KIP_2013_-13"	NA
"0001000010000000000.0...000000000000"	"FH72177"	"KIP"	"2013"	507	87	"F"	"KIP_2013_-13"	NA
"1000000000000000.0...000000000000000"	"FH72180"	"KIP"	"2013"	510	90	"M"	"KIP_2013_-14"	NA
"1000000000000000.0...000000000000000"	"FH72181"	"KIP"	"2013"	510	90	"M"	"KIP_2013_-14"	NA
"100000000000000.0...0000000000000000"	"FH72185"	"KIP"	"2013"	511	91	"F"	"KIP_2013_-15"	NA
"000000000100000000000000.0...0010000"	"FH72187"	"KIP"	"2013"	502	82	"M"	"KIP_2013_-16"	NA
"100000000000000.0...0000000000000000"	"FH72189"	"KIP"	"2013"	511	91	"F"	"KIP_2013_348"	2
"100000000000000.0...0000000000000000"	"FH72190"	"KIP"	"2013"	511	91	"F"	"KIP_2013_348"	2
"100000000000.0...0000000000000000000"	"FH72193"	"KIP"	"2013"	514	94	"F"	"KIP_2013_-17"	NA
"100000000000.0...0000000000000000010"	"FH72196"	"KIP"	"2013"	514	94	"F"	"KIP_2013_-18"	NA
".00000000010000000000000000000000000"	"FH72205"	"KIP"	"2013"	419	69	"M"	"KIP_2013_-115"	NA
"00000100000000000000000000000000.0.."	"FH72206"	"KIP"	"2013"	424	74	"F"	"KIP_2013_-115"	NA
"00...0000000001000000000100000000000"	"FH72207"	"KIP"	"2013"	415	65	"F"	"KIP_2013_-116"	NA
"00000101000000000000000000000000.0.."	"FH72209"	"KIP"	"2013"	424	74	"F"	"KIP_2013_-117"	NA
".00000000010100000000100000000000000"	"FH72210"	"KIP"	"2013"	419	69	"M"	"KIP_2013_-117"	NA
"...000000000100000000000000000000000"	"FH72212"	"KIP"	"2013"	417	67	"F"	"KIP_2013_-118"	NA
"00100000000000000000000000000.0...00"	"FH72214"	"KIP"	"2013"	427	77	"F"	"KIP_2013_-119"	NA
"0100000000000000000000000000.0...000"	"FH72215"	"KIP"	"2013"	428	78	"M"	"KIP_2013_-119"	NA
"00000000010000000000000000000000000."	"FH72219"	"KIP"	"2013"	421	71	"F"	"KIP_2013_-120"	NA
"00000000010000000000000000000000000."	"FH72220"	"KIP"	"2013"	421	71	"F"	"KIP_2013_-120"	NA
"1000000000000000000000000.0...000000"	"FH72224"	"KIP"	"2013"	501	81	"F"	"KIP_2013_-121"	NA
"01000000000000000000000000.0...00100"	"FH72225"	"KIP"	"2013"	430	80	"F"	"KIP_2013_-122"	NA
"01000000000000000000000000.0...00100"	"FH72226"	"KIP"	"2013"	430	80	"F"	"KIP_2013_-122"	NA
"000000000100000000000000000000000.0."	"FH72231"	"KIP"	"2013"	423	73	"F"	"KIP_2013_-123"	NA
"000000100000000000000000000000.0...0"	"FH72232"	"KIP"	"2013"	426	76	"M"	"KIP_2013_-123"	NA
"0010000000000000000000000.0...000000"	"FH72240"	"KIP"	"2013"	501	81	"M"	"KIP_2013_-124"	NA
"001000000000000000000000.0...0000000"	"FH72241"	"KIP"	"2013"	502	82	"F"	"KIP_2013_-125"	NA
"0000010000000000000000000.0...000000"	"FH72250"	"KIP"	"2013"	501	81	"M"	"KIP_2013_-126"	NA
"0000010000000000000000000.0...000000"	"FH72251"	"KIP"	"2013"	501	81	"M"	"KIP_2013_-126"	NA
"0000010000000000000000000.0...000000"	"FH72259"	"KIP"	"2013"	501	81	"F"	"KIP_2013_-128"	NA
"00010000000000000000000.0...00000000"	"FH72260"	"KIP"	"2013"	503	83	"M"	"KIP_2013_-128"	NA
"000000000000...000000000000000001000"	"FH72265"	"KIP"	"2013"	405	55	"M"	"KIP_2013_-129"	NA
"1000000000000000000.0...000000000000"	"FH72266"	"KIP"	"2013"	507	87	"F"	"KIP_2013_-129"	NA
"0000...00000000000000000100000000000"	"FH72267"	"KIP"	"2013"	413	63	"F"	"KIP_2013_-130"	NA
"000000000001000000000000000000.0...0"	"FH72268"	"KIP"	"2013"	426	76	"M"	"KIP_2013_-131"	NA
"000000000000000000100000010000000000"	"FH72270"	"KIP"	"2013"	420	70	"F"	"KIP_2013_-132"	NA
"00000000000...0000000000000000001000"	"FH72271"	"KIP"	"2013"	406	56	"M"	"KIP_2013_-132"	NA
"00000000...0000000000000000001000000"	"FH72272"	"KIP"	"2013"	409	59	"M"	"KIP_2013_-133"	NA
"0000000000010000000000000000.0...000"	"FH72278"	"KIP"	"2013"	428	78	"F"	"KIP_2013_-134"	NA
"000000000000010000000000000000.0...0"	"FH72284"	"KIP"	"2013"	426	76	"M"	"KIP_2013_-135"	NA
"1000000000000000.0...000000000000000"	"FH72285"	"KIP"	"2013"	510	90	"M"	"KIP_2013_149"	2
"1000000000000000.0...000000000000000"	"FH72286"	"KIP"	"2013"	510	90	"F"	"KIP_2013_149"	2
"0000001000000000000000.0...000000000"	"FH72287"	"KIP"	"2013"	504	84	"F"	"KIP_2013_-136"	NA
"00000000000000001000000000000000.0.."	"FH72289"	"KIP"	"2013"	424	74	"M"	"KIP_2013_-135"	NA
"001000000000000000.0...0000000000000"	"FH72290"	"KIP"	"2013"	508	88	"M"	"KIP_2013_-137"	NA
"0000001000000000.0...000000010010000"	"FH72293"	"KIP"	"2013"	510	90	"F"	"KIP_2013_-19"	NA
"00001000000000.0...00000001001000001"	"FH72294"	"KIP"	"2013"	512	92	"M"	"KIP_2013_-19"	NA
"000000010000000.1...0000000100000000"	"FH72300"	"KIP"	"2013"	511	91	"F"	"KIP_2013_-20"	NA
"10000000.0...0000000000000000000000."	"FH72301"	"KIP"	"2013"	518	98	"F"	"KIP_2013_-20"	NA
"10000000.0...0000000000000000000000."	"FH72303"	"KIP"	"2013"	518	98	"F"	"KIP_2013_-21"	NA
"1000000.0...0000000000000000000000.."	"FH72306"	"KIP"	"2013"	519	99	"F"	"KIP_2013_-22"	NA
"1000000.0...0000000000000000000000.."	"FH72310"	"KIP"	"2013"	519	99	"F"	"KIP_2013_-23"	NA
"0000000100000.1...000000000000000000"	"FH72312"	"KIP"	"2013"	513	93	"M"	"KIP_2013_-24"	NA
"100000.0...0000000000000000000000..."	"FH72316"	"KIP"	"2013"	520	100	"M"	"KIP_2013_402"	NA
"1000.0...0000000000000000000000....."	"FH72324"	"KIP"	"2013"	522	102	"F"	"KIP_2013_-25"	NA
"1000.1...0000000000000000000000....."	"FH72325"	"KIP"	"2013"	522	102	"F"	"KIP_2013_361"	2
"1000.1...0000000000000000000000....."	"FH72326"	"KIP"	"2013"	522	102	"F"	"KIP_2013_361"	2
"1000.0...0010000000000000000000....."	"FH72328"	"KIP"	"2013"	522	102	"M"	"KIP_2013_382"	2
"1000.0...0010001000000000000000....."	"FH72329"	"KIP"	"2013"	522	102	"M"	"KIP_2013_382"	2
"0100.0...0000000000000000000000....."	"FH72333"	"KIP"	"2013"	522	102	"F"	"KIP_2013_-26"	NA
"000100.0...0000000000000000000000..."	"FH72334"	"KIP"	"2013"	520	100	"F"	"KIP_2013_-26"	NA
"0000000010.0...000000000000000000000"	"FH72338"	"KIP"	"2013"	516	96	"F"	"KIP_2013_-27"	NA
"000010.0...0000000000000000000000..."	"FH72340"	"KIP"	"2013"	520	100	"M"	"KIP_2013_-28"	NA
"0000010.0...0000000000000000100100.."	"FH72341"	"KIP"	"2013"	519	99	"M"	"KIP_2013_-28"	NA
"0000010.0...0000000000000000000000.."	"FH72343"	"KIP"	"2013"	519	99	"F"	"KIP_2013_-29"	NA
"000000010.0...0000000000000000000000"	"FH72344"	"KIP"	"2013"	517	97	"F"	"KIP_2013_-29"	NA
"0000000000010.0...000000000000000000"	"FH72346"	"KIP"	"2013"	513	93	"M"	"KIP_2013_-30"	NA
"00000000000010.0...00000000000000000"	"FH72347"	"KIP"	"2013"	512	92	"F"	"KIP_2013_-30"	NA
"00000001.0...0000000000000000000000."	"FH72352"	"KIP"	"2013"	518	98	"F"	"KIP_2013_-31"	NA
".1...0000000000000000000000........."	"FH72356"	"KIP"	"2013"	526	106	"M"	"KIP_2013_-32"	NA
"0.1...0000000000000000000000........"	"FH72357"	"KIP"	"2013"	525	105	"F"	"KIP_2013_-32"	NA
"0000000000000000000000000.0...100000"	"FH72359"	"KIP"	"2013"	501	81	"M"	"KIP_2013_-33"	NA
"0000000000000000000000000.0...100000"	"FH72362"	"KIP"	"2013"	501	81	"F"	"KIP_2013_-34"	NA
"0000000000000.0...010000000000000000"	"FH72364"	"KIP"	"2013"	513	93	"F"	"KIP_2013_-35"	NA
"00000.0...0110000000000000000000...."	"FH72366"	"KIP"	"2013"	521	101	"M"	"KIP_2013_-36"	NA
"000000000000000000000000000.0...0100"	"FH72369"	"KIP"	"2013"	429	79	"M"	"KIP_2013_-37"	NA
"...0100000100000000000000..........."	"FH72371"	"KIP"	"2013"	528	108	"F"	"KIP_2013_-38"	NA
"000000000000000000000.0...0100000000"	"FH72373"	"KIP"	"2013"	505	85	"M"	"KIP_2013_-39"	NA
"0000000000.0...001000000000000000000"	"FH72375"	"KIP"	"2013"	516	96	"F"	"KIP_2013_-41"	NA
"000000000000.0...0010000000000000000"	"FH72376"	"KIP"	"2013"	514	94	"F"	"KIP_2013_-41"	NA
".0001000000000000000000............."	"FH72379"	"KIP"	"2013"	530	110	"F"	"KIP_2013_-42"	NA
"00000000.0...0001000000000000000000."	"FH72380"	"KIP"	"2013"	518	98	"F"	"KIP_2013_-43"	NA
"0000000000.0...000100000000000000000"	"FH72381"	"KIP"	"2013"	516	96	"F"	"KIP_2013_-43"	NA
"..0001000000000000000000............"	"FH72384"	"KIP"	"2013"	529	109	"M"	"KIP_2013_-44"	NA
"00000000000.0...00010000001000000000"	"FH72388"	"KIP"	"2013"	515	95	"M"	"KIP_2013_-46"	NA
"0000.0...0001000000000000000000....."	"FH72389"	"KIP"	"2013"	522	102	"M"	"KIP_2013_-47"	NA
"0...0000100000000000000000.........."	"FH72391"	"KIP"	"2013"	527	107	"M"	"KIP_2013_-48"	NA
"000000000000000000.0...0000100000000"	"FH72393"	"KIP"	"2013"	508	88	"F"	"KIP_2013_-124"	NA
"100000000000000....................."	"FH72415"	"KIP"	"2013"	607	118	"M"	"KIP_2013_-49"	NA
"0000000000000000.0...000000010000000"	"FH72416"	"KIP"	"2013"	510	90	"F"	"KIP_2013_-34"	NA
"...0000000100000000000000..........."	"FH72417"	"KIP"	"2013"	528	108	"M"	"KIP_2013_360"	2
"...0000000100000000000000..........."	"FH72418"	"KIP"	"2013"	528	108	"F"	"KIP_2013_360"	2
"0010000000000000...................."	"FH72420"	"KIP"	"2013"	606	117	"M"	"KIP_2013_-50"	NA
"0...0000000010000000010000.........."	"FH72422"	"KIP"	"2013"	527	107	"M"	"KIP_2013_-51"	NA
"000.0...0000000000100000100000......"	"FH72430"	"KIP"	"2013"	523	103	"F"	"KIP_2013_-53"	NA
"00000010000000000..................."	"FH72436"	"KIP"	"2013"	605	116	"F"	"KIP_2013_-55"	NA
"00000000010000010000................"	"FH72437"	"KIP"	"2013"	602	113	"F"	"KIP_2013_-55"	NA
".0...0000000000010000010000........."	"FH72438"	"KIP"	"2013"	526	106	"F"	"KIP_2013_-56"	NA
"..0000000000010000000000............"	"FH72439"	"KIP"	"2013"	529	109	"F"	"KIP_2013_-56"	NA
"000000.0...0000000000010000000000..."	"FH72441"	"KIP"	"2013"	520	100	"M"	"KIP_2013_-57"	NA
"..0000000000001000000000............"	"FH72448"	"KIP"	"2013"	529	109	"F"	"KIP_2013_-58"	NA
"0000100000000......................."	"FH72450"	"KIP"	"2013"	609	120	"M"	"KIP_2013_-59"	NA
"0.0...0000000000000010001000........"	"FH72455"	"KIP"	"2013"	525	105	"M"	"KIP_2013_-61"	NA
"000000000000010001000..............."	"FH72456"	"KIP"	"2013"	601	112	"M"	"KIP_2013_-61"	NA
"0100000............................."	"FH72457"	"KIP"	"2013"	615	126	"F"	"KIP_2013_384"	2
"0100000............................."	"FH72458"	"KIP"	"2013"	615	126	"M"	"KIP_2013_384"	2
"0010................................"	"FH72460"	"KIP"	"2013"	618	129	"F"	"KIP_2013_-62"	NA
"1000000000000.0000000000000000000000"	"FH72468"	"KIP"	"2014"	310	29	"F"	"KIP_2014_2"	1
"01000000000.001000000000000000000000"	"FH72477"	"KIP"	"2014"	312	31	"F"	"KIP_2014_-1"	NA
"0001000000000.0000000000000000000000"	"FH72479"	"KIP"	"2014"	310	29	"M"	"KIP_2014_-2"	NA
"1000000000.0100000000000000000000000"	"FH72487"	"KIP"	"2014"	313	32	"F"	"KIP_2014_-4"	NA
"000100000000.00000000000000000000000"	"FH72490"	"KIP"	"2014"	311	30	"M"	"KIP_2014_-5"	NA
"0100000010.0000000000000000000000000"	"FH72491"	"KIP"	"2014"	313	32	"M"	"KIP_2014_-201"	NA
"..........00100000000100.00110100011"	"FH72502"	"KIP"	"2014"	227	18	"F"	"KIP_2014_-101"	NA
"10000000000.000000000000000000000000"	"FH72507"	"KIP"	"2014"	312	31	"F"	"KIP_2014_-102"	NA
"001000010000.00000000000000000000000"	"FH72515"	"KIP"	"2014"	311	30	"M"	"KIP_2014_-103"	NA
"100000000.00000000000000000000000000"	"FH72520"	"KIP"	"2014"	314	33	"M"	"KIP_2014_110"	1
".................00000001000100.0100"	"FH72524"	"KIP"	"2014"	220	11	"M"	"KIP_2014_-104"	NA
"10000.000000000000000000000000000.00"	"FH72528"	"KIP"	"2014"	318	37	"M"	"KIP_2014_108"	2
"100001000.00000000000000000000000000"	"FH72529"	"KIP"	"2014"	314	33	"F"	"KIP_2014_103"	2
"100001000.00000000000000000000000000"	"FH72530"	"KIP"	"2014"	314	33	"F"	"KIP_2014_103"	2
"01000.000000000000000000000000000.00"	"FH72531"	"KIP"	"2014"	318	37	"F"	"KIP_2014_108"	2
"................00000001000100.01000"	"FH72532"	"KIP"	"2014"	221	12	"M"	"KIP_2014_-104"	NA
"0000000101.0000000001100000001001000"	"FH72533"	"KIP"	"2014"	313	32	"M"	"KIP_2014_-105"	NA
".00000000000010.00000000000000000000"	"FH72538"	"KIP"	"2014"	308	27	"F"	"KIP_2014_-107"	NA
"......00000000000010.000000000000000"	"FH72539"	"KIP"	"2014"	303	22	"F"	"KIP_2014_-107"	NA
".....00000000001000.0100100000000000"	"FH72548"	"KIP"	"2014"	304	23	"M"	"KIP_2014_-108"	NA
"00000000.000100000000100001010100001"	"FH72553"	"KIP"	"2014"	315	34	"F"	"KIP_2014_-109"	NA
"0000000000000.0001000100001000000100"	"FH72555"	"KIP"	"2014"	310	29	"F"	"KIP_2014_-110"	NA
"001000001000000000000000.0000000000."	"FH72562"	"KIP"	"2014"	327	46	"F"	"KIP_2014_-112"	NA
"00.000001000000000110010000000.00000"	"FH72563"	"KIP"	"2014"	321	40	"F"	"KIP_2014_-112"	NA
"100000000000000000.0000000000.00.0.0"	"FH72569"	"KIP"	"2014"	402	52	"M"	"KIP_2014_111"	NA
".........00000000000000.000000000100"	"FH72571"	"KIP"	"2014"	228	19	"M"	"KIP_2014_-114"	NA
"............00100000000100.001101000"	"FH72576"	"KIP"	"2014"	225	16	"M"	"KIP_2014_-101"	NA
"11101000100100000.0000000000.00.0.00"	"FH72580"	"KIP"	"2014"	403	53	"F"	"KIP_2014_113"	2
"11101000100100000.0000000000.00.0.00"	"FH72581"	"KIP"	"2014"	403	53	"F"	"KIP_2014_113"	2
"0100000000010000.0000000000.00.0.000"	"FH72588"	"KIP"	"2014"	404	54	"F"	"KIP_2014_-115"	NA
"100000000010000.0000000000.00.0.0000"	"FH72589"	"KIP"	"2014"	405	55	"F"	"KIP_2014_-115"	NA
"001000000000000.0000000000.00.0.0000"	"FH72593"	"KIP"	"2014"	405	55	"F"	"KIP_2014_"	NA
"100010010000.0000000000.00.0.0000..0"	"FH72600"	"KIP"	"2014"	408	58	"F"	"KIP_2014_120"	NA
"100000000.00000000000000000000000000"	"FH72605"	"KIP"	"2014"	314	33	"M"	"KIP_2014_205"	2
"100000000.00000000000000000000000000"	"FH72607"	"KIP"	"2014"	314	33	"F"	"KIP_2014_205"	2
"10000010.000000000000000000000000000"	"FH72609"	"KIP"	"2014"	315	34	"F"	"KIP_2014_-202"	NA
"10000000.000000000000000000000000000"	"FH72610"	"KIP"	"2014"	315	34	"F"	"KIP_2014_-202"	NA
"101000010.00000000000000000000000000"	"FH72616"	"KIP"	"2014"	314	33	"F"	"KIP_2014_-201"	NA
"1000000.000000000000000000000000000."	"FH72620"	"KIP"	"2014"	316	35	"F"	"KIP_2014_208"	1
"010000.000000000000000000000000000.0"	"FH72625"	"KIP"	"2014"	317	36	"F"	"KIP_2014_-203"	NA
"00010000.000000000000000000000000000"	"FH72626"	"KIP"	"2014"	315	34	"M"	"KIP_2014_-203"	NA
".010000000000000000000000000.0000000"	"FH72641"	"KIP"	"2014"	323	42	"F"	"KIP_2014_-204"	NA
"000.010000000000000000000000000.0000"	"FH72642"	"KIP"	"2014"	320	39	"F"	"KIP_2014_-204"	NA
"1000000000000000000000000.0000000000"	"FH72647"	"KIP"	"2014"	326	45	"F"	"KIP_2014_213"	1
"00.000000000100000000000000000.00000"	"FH72649"	"KIP"	"2014"	321	40	"M"	"KIP_2014_-205"	NA
"00000100000000000000000.0000000000.0"	"FH72650"	"KIP"	"2014"	328	47	"F"	"KIP_2014_-205"	NA
"10000000000000000.0000000000.00.0.00"	"FH72651"	"KIP"	"2014"	403	53	"M"	"KIP_2014_-206"	NA
"10000000000000000.0000000000.00.0.00"	"FH72652"	"KIP"	"2014"	403	53	"F"	"KIP_2014_-206"	NA
"100000000000.00000000000000..0000.00"	"FH72685"	"KIP"	"2015"	407	57	"F"	"KIP_2015_108"	NA
"100000000000.00000000000000..0000.00"	"FH72686"	"KIP"	"2015"	407	57	"F"	"KIP_2015_108"	NA
".010000000000000000000000000.0000000"	"FH72710"	"KIP"	"2014"	323	42	"M"	"KIP_2014_-301"	NA
"10000000000000000000.0000000000.00.0"	"FH72727"	"KIP"	"2014"	331	50	"F"	"KIP_2014_311"	2
"10000000000000000000.0000000000.00.0"	"FH72728"	"KIP"	"2014"	331	50	"M"	"KIP_2014_311"	2
"0100000000000000000.0000000000.00.0."	"FH72735"	"KIP"	"2014"	401	51	"M"	"KIP_2014_316"	2
"0100000000000000000.0000000000.00.0."	"FH72736"	"KIP"	"2014"	401	51	"M"	"KIP_2014_316"	2
"..00000000000000.0000000000100000000"	"FH72737"	"KIP"	"2014"	307	26	"F"	"KIP_2014_-302"	NA
"..00000000000000.0000000000010000000"	"FH72745"	"KIP"	"2014"	307	26	"F"	"KIP_2014_-304"	NA
"100000010000000.0000000010.00.0.0000"	"FH72748"	"KIP"	"2014"	405	55	"F"	"KIP_2014_323"	1
"100000010000000.0000000010.00.0.0000"	"FH72749"	"KIP"	"2014"	405	55	"M"	"KIP_2014_323"	1
"000000000000100000000000000.00000000"	"FH72752"	"KIP"	"2014"	324	43	"M"	"KIP_2014_-306"	NA
"0000000000100000000000000.0000000000"	"FH72753"	"KIP"	"2014"	326	45	"F"	"KIP_2014_-306"	NA
"00010000000000000.0000000000.00.0.00"	"FH72755"	"KIP"	"2014"	403	53	"M"	"KIP_2014_-307"	NA
"000010000000000000.0000000000.00.0.0"	"FH72756"	"KIP"	"2014"	402	52	"F"	"KIP_2014_-307"	NA
"0.000000000000000100000000100.000000"	"FH72770"	"KIP"	"2014"	322	41	"M"	"KIP_2014_-310"	NA
"000000010000000.0010001010.00.0.0000"	"FH72775"	"KIP"	"2014"	405	55	"M"	"KIP_2014_320"	2
"0010000000.0000001010.00.0.0000..000"	"FH72776"	"KIP"	"2014"	410	60	"M"	"KIP_2014_320"	2
".00000000000000.00000000000000000001"	"FH72777"	"KIP"	"2014"	308	27	"M"	"KIP_2014_-312"	NA
"0000000000000.0000000000000000000001"	"FH72778"	"KIP"	"2014"	310	29	"F"	"KIP_2014_-312"	NA
"000000100000.0000000000.00.0.0000..0"	"FH72780"	"KIP"	"2014"	408	58	"M"	"KIP_2014_-313"	NA
"00000100000.0000001000.00.0.0000..00"	"FH72781"	"KIP"	"2014"	409	59	"M"	"KIP_2014_-313"	NA
"10000.0000000000.00.0.0000..00000.00"	"FH72785"	"KIP"	"2014"	415	65	"M"	"KIP_2014_315"	2
"10000.0000000000.00.0.0000..00000.00"	"FH72786"	"KIP"	"2014"	415	65	"M"	"KIP_2014_315"	2
"1000.0000000000.00.0.0000..00000.000"	"FH72787"	"KIP"	"2014"	416	66	"M"	"KIP_2014_-314"	NA
"1000.0000000000.00.0.0000..00000.000"	"FH72788"	"KIP"	"2014"	416	66	"F"	"KIP_2014_-314"	NA
"1000.0000000000.00.0.0000..00000.000"	"FH72790"	"KIP"	"2014"	416	66	"M"	"KIP_2014_-315"	NA
"1000.0000000000.00.0.0000..00000.000"	"FH72791"	"KIP"	"2014"	416	66	"M"	"KIP_2014_-315"	NA
"1000..000.00........................"	"FH72799"	"KIP"	"2014"	521	101	"F"	"KIP_2014_-24"	NA
"1000..000.00........................"	"FH72800"	"KIP"	"2014"	521	101	"M"	"KIP_2014_-24"	NA
"000000100000.00000000000000000100000"	"FH72802"	"KIP"	"2014"	311	30	"F"	"KIP_2014_-6"	NA
"1000.010001000000000000000000000.000"	"FH72804"	"KIP"	"2014"	319	38	"M"	"KIP_2014_11"	1
"....................00000000001000.0"	"FH72809"	"KIP"	"2014"	217	8	"F"	"KIP_2014__7a"	NA
"000000000100.00100010000000000000001"	"FH72811"	"KIP"	"2014"	311	30	"F"	"KIP_2014_-4"	NA
"000100.000000000000000000000000000.0"	"FH72812"	"KIP"	"2014"	317	36	"M"	"KIP_2014_-7"	NA
"0010.000000000000000000000000000.000"	"FH72816"	"KIP"	"2014"	319	38	"M"	"KIP_2014_-8"	NA
"000000.100000000000000000000000000.0"	"FH72827"	"KIP"	"2014"	317	36	"F"	"KIP_2014_-9"	NA
"0000000000.0000000000010000000000010"	"FH72845"	"KIP"	"2014"	313	32	"F"	"KIP_2014_-10"	NA
"......00000000000000.000000000000100"	"FH72849"	"KIP"	"2014"	303	22	"M"	"KIP_2014_-13"	NA
"1000000000000.0000000000.00.0.0000.."	"FH72852"	"KIP"	"2014"	407	57	"M"	"KIP_2014_27"	1
"1000000000000.0000000000.00.0.0000.."	"FH72853"	"KIP"	"2014"	407	57	"M"	"KIP_2014_20"	1
"100000000000.0000000000.00.0.0000..0"	"FH72854"	"KIP"	"2014"	408	58	"M"	"KIP_2014_24"	2
