"ch"	"Ring"	"Species"	"Year"	"Hatch_Date_simp"	"Day_of_Season"	"Sex"	"ID"	"Hatch_brood_size"
"00.0000000000000..00000.10000.000000"	"FH73283"	"KIP"	"2015"	508	88	"F"	"KIP_2015_-44"	NA
"0000.10000.000000.0000000..........."	"FH73285"	"KIP"	"2015"	527	107	"F"	"KIP_2015_-45"	NA
"00000.10000.000000.0000000.........."	"FH73287"	"KIP"	"2015"	526	106	"F"	"KIP_2015_-46"	NA
"00000.10000.000000.0000000.........."	"FH73288"	"KIP"	"2015"	526	106	"M"	"KIP_2015_-46"	NA
"0000000010000.00000000000000..0000.0"	"FH73309"	"KIP"	"2015"	406	56	"M"	"KIP_2015_-401"	NA
"000000010000.00000000000000..0000.00"	"FH73310"	"KIP"	"2015"	407	57	"M"	"KIP_2015_-401"	NA
"10001000.00000000000000..0010.000000"	"FH73314"	"KIP"	"2015"	411	61	"M"	"KIP_2015_405"	2
"10001000.00000000000000..0010.000000"	"FH73315"	"KIP"	"2015"	411	61	"F"	"KIP_2015_405"	2
"010000011.00000000000000..0000.00000"	"FH73318"	"KIP"	"2015"	410	60	"F"	"KIP_2015_406"	2
"110000011.00000000000000..0000.00000"	"FH73319"	"KIP"	"2015"	410	60	"F"	"KIP_2015_406"	2
"0010000000000..0000.0000000000000..0"	"FH73324"	"KIP"	"2015"	421	71	"F"	"KIP_2015_-501"	NA
"0010000000000..0000.0000000000000..0"	"FH73325"	"KIP"	"2015"	421	71	"M"	"KIP_2015_-501"	NA
"00.00001000000000..0000.000000000000"	"FH73327"	"KIP"	"2015"	417	67	"F"	"KIP_2015_-405"	NA
"00.01000000000000..0000.000000000000"	"FH73331"	"KIP"	"2015"	417	67	"F"	"KIP_2015_-404"	NA
"0.01000000000000..0000.0000000000000"	"FH73332"	"KIP"	"2015"	418	68	"F"	"KIP_2015_-404"	NA
"0001.00000000000000..0000.0000000000"	"FH73337"	"KIP"	"2015"	415	65	"M"	"KIP_2015_-403"	NA
"01.00000000000000..0000.000000000000"	"FH73338"	"KIP"	"2015"	417	67	"M"	"KIP_2015_-402"	NA
"011.10000000000000..0000.00000000000"	"FH73341"	"KIP"	"2015"	416	66	"F"	"KIP_2015_-402"	NA
"01000000000..0000.0000000000000..000"	"FH73353"	"KIP"	"2015"	423	73	"M"	"KIP_2015_455"	NA
"00000100000000..0000.0000000000000.."	"FH73356"	"KIP"	"2015"	420	70	"M"	"KIP_2015_-406"	NA
"100000000..0000.0000000000000..00000"	"FH73357"	"KIP"	"2015"	425	75	"M"	"KIP_2015_456"	NA
"000000.00000001000000..0000.00000000"	"FH73358"	"KIP"	"2015"	413	63	"M"	"KIP_2015_-407"	NA
"10000..0000.0000000000000..00000.000"	"FH73360"	"KIP"	"2015"	429	79	"M"	"KIP_2015_435"	2
"10000..0000.0000000000000..00000.000"	"FH73361"	"KIP"	"2015"	429	79	"M"	"KIP_2015_435"	2
"1000.00000.000000.0000000..........."	"FH73371"	"KIP"	"2015"	527	107	"M"	"KIP_2015_667"	NA
"1000.00000.000000.0000000..........."	"FH73372"	"KIP"	"2015"	527	107	"M"	"KIP_2015_667"	NA
"00100.00000.000000.0000000.........."	"FH73376"	"KIP"	"2015"	526	106	"F"	"KIP_2015_-23"	NA
"00100.00000.000000.0000000.........."	"FH73377"	"KIP"	"2015"	526	106	"M"	"KIP_2015_-23"	NA
"..00100.00000.000001.0000000........"	"FH73379"	"KIP"	"2015"	524	104	"M"	"KIP_2015_-24"	NA
"00100.00000.000000.0000000.........."	"FH73380"	"KIP"	"2015"	526	106	"M"	"KIP_2015_-24"	NA
"00..00100.00000.000001.0000000......"	"FH73382"	"KIP"	"2015"	522	102	"M"	"KIP_2015_-25"	NA
"0000000000..00100.00000.000000.00000"	"FH73384"	"KIP"	"2015"	514	94	"F"	"KIP_2015_-26"	NA
"10000000.00000000000000..0000.000000"	"FH73503"	"KIP"	"2015"	411	61	"M"	"KIP_2015_110"	2
"10000000.00000000000000..0000.000000"	"FH73504"	"KIP"	"2015"	411	61	"F"	"KIP_2015_110"	2
"100.00000000000000..0000.00000000000"	"FH73509"	"KIP"	"2015"	416	66	"M"	"KIP_2015_120"	NA
"100.00000000000000..0000.00000000000"	"FH73510"	"KIP"	"2015"	416	66	"M"	"KIP_2015_120"	NA
"10100000000000..0000.0000000000000.."	"FH73517"	"KIP"	"2015"	420	70	"F"	"KIP_2015_117"	NA
"0.0000000000000.01010000000000..0000"	"FH73518"	"KIP"	"2015"	404	54	"F"	"KIP_2015_123"	NA
"100000000000..0000.0000000000000..00"	"FH73520"	"KIP"	"2015"	422	72	"F"	"KIP_2015_117"	NA
"00100000000000..0000.0000000000000.."	"FH73523"	"KIP"	"2015"	420	70	"M"	"KIP_2015_132"	NA
"10000010000..0000.0000000000000..000"	"FH73544"	"KIP"	"2015"	423	73	"F"	"KIP_2015_132"	NA
