"ch"	"species"	"ring"	"sex"	"age"
"0000101"	"WFP"	"FH68955"	"F"	"J"
"0000111"	"WFP"	"FH68956"	"F"	"J"
"0000111"	"WFP"	"FH68956"	"F"	"J"
"0000111"	"WFP"	"FH68956"	"F"	"J"
"0000101"	"WFP"	"FH68979"	"M"	"A"
"0000101"	"WFP"	"FH68979"	"M"	"A"
"0000100"	"WFP"	"FH68992"	"M"	"J"
"0000100"	"WFP"	"FH68996"	"M"	"J"
"0000100"	"WFP"	"FH68997"	"M"	"J"
"0000100"	"WFP"	"FH68998"	"M"	"J"
"0001000"	"WFP"	"FH69013"	"F"	"J"
"0001000"	"WFP"	"FH69014"	"M"	"J"
"0001000"	"WFP"	"FH69015"	"F"	"A"
"0001000"	"WFP"	"FH69023"	"F"	"J"
"0001100"	"WFP"	"FH69026"	"F"	"A"
"0001100"	"WFP"	"FH69030"	"F"	"A"
"0001000"	"WFP"	"FH69031"	"M"	"J"
"0001000"	"WFP"	"FH69032"	"F"	"J"
"0001111"	"WFP"	"FH69034"	"F"	"A"
"0001111"	"WFP"	"FH69045"	"F"	"A"
"0001111"	"WFP"	"FH69046"	"F"	"A"
"0001111"	"WFP"	"FH69046"	"F"	"A"
"0001000"	"WFP"	"FH69053"	"M"	"A"
"0001111"	"WFP"	"FH69055"	"F"	"A"
"0001100"	"WFP"	"FH69056"	"F"	"A"
"0001100"	"WFP"	"FH69056"	"F"	"A"
"0001000"	"WFP"	"FH69072"	"M"	"A"
"0001101"	"WFP"	"FH69078"	"M"	"A"
"0001110"	"WFP"	"FH69101"	"M"	"A"
"0001001"	"WFP"	"FH69105"	"F"	"A"
"0001000"	"WFP"	"FH69107"	"F"	"J"
"0001010"	"WFP"	"FH69108"	"F"	"A"
"0001111"	"WFP"	"FH69109"	"M"	"A"
"0001100"	"WFP"	"FH69110"	"F"	"J"
"0001100"	"WFP"	"FH69110"	"F"	"J"
"0001001"	"WFP"	"FH69117"	"M"	"J"
"0001001"	"WFP"	"FH69117"	"M"	"J"
"0001001"	"WFP"	"FH69137"	"F"	"A"
"0001000"	"WFP"	"FH69138"	"F"	"J"
"0001000"	"WFP"	"FH69141"	"M"	"J"
"0001000"	"WFP"	"FH69142"	"M"	"J"
"0001000"	"WFP"	"FH69153"	"M"	"J"
"0001000"	"WFP"	"FH69159"	"M"	"J"
"0001000"	"WFP"	"FH69164"	"M"	"J"
"0001111"	"WFP"	"FH69165"	"F"	"A"
"0001111"	"WFP"	"FH69165"	"F"	"A"
"0001000"	"WFP"	"FH69167"	"M"	"J"
"0001111"	"WFP"	"FH69169"	"M"	"A"
"0001111"	"WFP"	"FH69169"	"F"	"A"
"0001111"	"WFP"	"FH69169"	"F"	"A"
"0001011"	"WFP"	"FH69177"	"M"	"J"
"0001011"	"WFP"	"FH69177"	"M"	"J"
"0001001"	"WFP"	"FH69186"	"M"	"A"
"0001101"	"WFP"	"FH69188"	"F"	"A"
"0001010"	"WFP"	"FH69192"	"M"	"J"
"0001000"	"WFP"	"FH69193"	"F"	"J"
"0001000"	"WFP"	"FH69194"	"F"	"J"
"0001011"	"WFP"	"FH69206"	"F"	"J"
"0001011"	"WFP"	"FH69206"	"F"	"J"
"0001111"	"WFP"	"FH69208"	"F"	"J"
"0001111"	"WFP"	"FH69209"	"M"	"A"
"0001110"	"WFP"	"FH69211"	"F"	"J"
"0001110"	"WFP"	"FH69211"	"F"	"J"
"0001011"	"WFP"	"FH69212"	"M"	"J"
"0001011"	"WFP"	"FH69212"	"M"	"J"
"0001000"	"WFP"	"FH69213"	"M"	"J"
"0001111"	"WFP"	"FH69233"	"M"	"A"
"0001111"	"WFP"	"FH69233"	"M"	"A"
"0001111"	"WFP"	"FH69233"	"M"	"A"
"0001000"	"WFP"	"FH69237"	"M"	"J"
"0001000"	"WFP"	"FH69237"	"M"	"J"
"0001011"	"WFP"	"FH69247"	"M"	"J"
"0001011"	"WFP"	"FH69247"	"M"	"J"
"0001000"	"WFP"	"FH69248"	"F"	"J"
"0001111"	"WFP"	"FH69253"	"F"	"A"
"0001111"	"WFP"	"FH69253"	"F"	"A"
"0001111"	"WFP"	"FH69256"	"F"	"A"
"0001111"	"WFP"	"FH69256"	"M"	"A"
"0001000"	"WFP"	"FH69260"	"M"	"J"
"0001101"	"WFP"	"FH69261"	"F"	"A"
"0001000"	"WFP"	"FH69263"	"M"	"A"
"0001001"	"WFP"	"FH69267"	"M"	"J"
"0001001"	"WFP"	"FH69267"	"M"	"J"
"0001100"	"WFP"	"FH69272"	"F"	"J"
"0001100"	"WFP"	"FH69288"	"F"	"J"
"0001100"	"WFP"	"FH69288"	"F"	"J"
"0001000"	"WFP"	"FH69290"	"M"	"J"
"0001000"	"WFP"	"FH69292"	"M"	"J"
"0001000"	"WFP"	"FH69293"	"F"	"J"
"0000100"	"WFP"	"FH72108"	"F"	"J"
"0000100"	"WFP"	"FH72108"	"F"	"J"
"0000111"	"WFP"	"FH72139"	"F"	"A"
"0000111"	"WFP"	"FH72139"	"F"	"A"
"0000100"	"WFP"	"FH72142"	"M"	"J"
"0000100"	"WFP"	"FH72152"	"M"	"A"
"0000111"	"WFP"	"FH72170"	"M"	"A"
"0000100"	"WFP"	"FH72173"	"M"	"A"
"0000111"	"WFP"	"FH72174"	"F"	"A"
"0000100"	"WFP"	"FH72217"	"F"	"J"
"0000100"	"WFP"	"FH72218"	"F"	"J"
"0000100"	"WFP"	"FH72218"	"F"	"J"
"0000100"	"WFP"	"FH72228"	"M"	"J"
"0000101"	"WFP"	"FH72229"	"F"	"J"
"0000101"	"WFP"	"FH72235"	"M"	"J"
"0000101"	"WFP"	"FH72235"	"M"	"J"
"0000100"	"WFP"	"FH72236"	"M"	"J"
"0000100"	"WFP"	"FH72242"	"M"	"J"
"0000111"	"WFP"	"FH72243"	"F"	"A"
"0000111"	"WFP"	"FH72243"	"F"	"A"
"0000111"	"WFP"	"FH72249"	"M"	"A"
"0000101"	"WFP"	"FH72269"	"F"	"A"
"0000101"	"WFP"	"FH72269"	"F"	"A"
"0000101"	"WFP"	"FH72269"	"M"	"A"
"0000101"	"WFP"	"FH72269"	"M"	"A"
"0000101"	"WFP"	"FH72269"	"F"	"A"
"0000101"	"WFP"	"FH72269"	"F"	"A"
"0000101"	"WFP"	"FH72269"	"M"	"A"
"0000101"	"WFP"	"FH72269"	"M"	"A"
"0000100"	"WFP"	"FH72295"	"M"	"A"
"0000100"	"WFP"	"FH72297"	"F"	"J"
"0000100"	"WFP"	"FH72313"	"F"	"A"
"0000100"	"WFP"	"FH72319"	"F"	"A"
"0000110"	"WFP"	"FH72330"	"M"	"A"
"0000111"	"WFP"	"FH72331"	"F"	"A"
"0000111"	"WFP"	"FH72331"	"F"	"A"
"0000111"	"WFP"	"FH72335"	"F"	"A"
"0000111"	"WFP"	"FH72335"	"F"	"A"
"0000111"	"WFP"	"FH72335"	"F"	"A"
"0000110"	"WFP"	"FH72336"	"M"	"A"
"0000111"	"WFP"	"FH72348"	"M"	"A"
"0000110"	"WFP"	"FH72349"	"M"	"A"
"0000110"	"WFP"	"FH72349"	"M"	"A"
"0000111"	"WFP"	"FH72350"	"F"	"A"
"0000111"	"WFP"	"FH72350"	"F"	"A"
"0000110"	"WFP"	"FH72354"	"M"	"A"
"0000110"	"WFP"	"FH72378"	"F"	"A"
"0000100"	"WFP"	"FH72385"	"M"	"A"
"0000100"	"WFP"	"FH72394"	"M"	"J"
"0000111"	"WFP"	"FH72395"	"F"	"A"
"0000110"	"WFP"	"FH72396"	"M"	"J"
"0000110"	"WFP"	"FH72397"	"M"	"A"
"0000110"	"WFP"	"FH72397"	"M"	"A"
"0000110"	"WFP"	"FH72398"	"M"	"A"
"0000100"	"WFP"	"FH72399"	"M"	"J"
"0000100"	"WFP"	"FH72400"	"M"	"J"
"0000111"	"WFP"	"FH72401"	"M"	"A"
"0000110"	"WFP"	"FH72402"	"F"	"A"
"0000111"	"WFP"	"FH72406"	"M"	"A"
"0000111"	"WFP"	"FH72407"	"M"	"A"
"0000111"	"WFP"	"FH72408"	"F"	"A"
"0000100"	"WFP"	"FH72410"	"M"	"J"
"0000100"	"WFP"	"FH72412"	"M"	"J"
"0000100"	"WFP"	"FH72413"	"M"	"J"
"0000101"	"WFP"	"FH72425"	"M"	"A"
"0000100"	"WFP"	"FH72426"	"M"	"J"
"0000100"	"WFP"	"FH72427"	"M"	"J"
"0000100"	"WFP"	"FH72428"	"M"	"J"
"0000111"	"WFP"	"FH72429"	"M"	"A"
"0000111"	"WFP"	"FH72432"	"M"	"A"
"0000111"	"WFP"	"FH72432"	"M"	"A"
"0000110"	"WFP"	"FH72442"	"F"	"A"
"0000100"	"WFP"	"FH72443"	"M"	"J"
"0000100"	"WFP"	"FH72444"	"F"	"J"
"0000100"	"WFP"	"FH72445"	"M"	"J"
"0000100"	"WFP"	"FH72461"	"M"	"J"
"0000100"	"WFP"	"FH72462"	"M"	"J"
"0000011"	"WFP"	"FH72466"	"M"	"A"
"0000011"	"WFP"	"FH72469"	"M"	"A"
"0000011"	"WFP"	"FH72470"	"F"	"A"
"0000011"	"WFP"	"FH72475"	"F"	"A"
"0000011"	"WFP"	"FH72488"	"M"	"J"
"0000011"	"WFP"	"FH72489"	"F"	"J"
"0000011"	"WFP"	"FH72496"	"M"	"A"
"0000011"	"WFP"	"FH72498"	"M"	"A"
"0000010"	"WFP"	"FH72503"	"F"	"A"
"0000011"	"WFP"	"FH72504"	"M"	"A"
"0000010"	"WFP"	"FH72508"	"M"	"A"
"0000011"	"WFP"	"FH72519"	"F"	"A"
"0000010"	"WFP"	"FH72523"	"F"	"J"
"0000010"	"WFP"	"FH72535"	"F"	"J"
"0000011"	"WFP"	"FH72536"	"M"	"J"
"0000010"	"WFP"	"FH72552"	"F"	"A"
"0000010"	"WFP"	"FH72558"	"M"	"A"
"0000011"	"WFP"	"FH72567"	"F"	"A"
"0000011"	"WFP"	"FH72568"	"M"	"A"
"0000010"	"WFP"	"FH72572"	"M"	"J"
"0000010"	"WFP"	"FH72573"	"M"	"J"
"0000010"	"WFP"	"FH72574"	"F"	"J"
"0000010"	"WFP"	"FH72575"	"M"	"J"
"0000011"	"WFP"	"FH72579"	"M"	"A"
"0000010"	"WFP"	"FH72585"	"F"	"J"
"0000010"	"WFP"	"FH72586"	"F"	"J"
"0000011"	"WFP"	"FH72608"	"M"	"A"
"0000011"	"WFP"	"FH72619"	"M"	"A"
"0000011"	"WFP"	"FH72622"	"F"	"A"
"0000010"	"WFP"	"FH72628"	"M"	"J"
"0000010"	"WFP"	"FH72629"	"M"	"J"
"0000010"	"WFP"	"FH72638"	"M"	"J"
"0000010"	"WFP"	"FH72639"	"M"	"J"
"0000010"	"WFP"	"FH72640"	"M"	"J"
"0000011"	"WFP"	"FH72644"	"M"	"A"
"0000010"	"WFP"	"FH72645"	"M"	"J"
"0000010"	"WFP"	"FH72653"	"F"	"A"
"0000011"	"WFP"	"FH72655"	"M"	"A"
"0000010"	"WFP"	"FH72656"	"M"	"J"
"0000010"	"WFP"	"FH72657"	"M"	"J"
"0000001"	"WFP"	"FH72658"	"F"	"A"
"0000001"	"WFP"	"FH72691"	"M"	"A"
"0000011"	"WFP"	"FH72703"	"F"	"A"
"0000011"	"WFP"	"FH72705"	"F"	"J"
"0000011"	"WFP"	"FH72705"	"F"	"J"
"0000010"	"WFP"	"FH72711"	"M"	"A"
"0000011"	"WFP"	"FH72712"	"F"	"J"
"0000011"	"WFP"	"FH72712"	"F"	"J"
"0000011"	"WFP"	"FH72729"	"F"	"A"
"0000010"	"WFP"	"FH72772"	"M"	"J"
"0000010"	"WFP"	"FH72773"	"F"	"J"
"0000010"	"WFP"	"FH72794"	"F"	"J"
"0000010"	"WFP"	"FH72795"	"M"	"A"
"0000010"	"WFP"	"FH72796"	"M"	"J"
"0000010"	"WFP"	"FH72797"	"M"	"J"
"0000010"	"WFP"	"FH72798"	"M"	"J"
"0000011"	"WFP"	"FH72801"	"F"	"A"
"0000011"	"WFP"	"FH72815"	"M"	"A"
"0000011"	"WFP"	"FH72818"	"F"	"J"
"0000011"	"WFP"	"FH72819"	"M"	"J"
"0000011"	"WFP"	"FH72820"	"F"	"J"
"0000011"	"WFP"	"FH72821"	"F"	"J"
"0000011"	"WFP"	"FH72822"	"M"	"A"
"0000011"	"WFP"	"FH72823"	"F"	"A"
"0000011"	"WFP"	"FH72824"	"F"	"A"
"0000011"	"WFP"	"FH72825"	"F"	"J"
"0000010"	"WFP"	"FH72828"	"M"	"J"
"0000010"	"WFP"	"FH72828"	"M"	"J"
"0000010"	"WFP"	"FH72828"	"M"	"J"
"0000010"	"WFP"	"FH72828"	"M"	"J"
"0000010"	"WFP"	"FH72832"	"F"	"J"
"0000010"	"WFP"	"FH72833"	"M"	"J"
"0000010"	"WFP"	"FH72839"	"M"	"J"
"0000011"	"WFP"	"FH72858"	"F"	"A"
"0000010"	"WFP"	"FH72863"	"M"	"J"
"0000010"	"WFP"	"FH72865"	"F"	"J"
"0000010"	"WFP"	"FH72867"	"F"	"J"
"0000010"	"WFP"	"FH72876"	"M"	"J"
"0000010"	"WFP"	"FH72877"	"M"	"J"
"0000010"	"WFP"	"FH72879"	"M"	"J"
"0000010"	"WFP"	"FH72880"	"F"	"J"
