"ch"	"species"	"ring"	"sex"	"age"
"0100000"	"KIP"	"FH47562"	"M"	"A"
"0100000"	"KIP"	"FH47563"	"M"	"A"
"0101000"	"KIP"	"FH47564"	"F"	"A"
"0100000"	"KIP"	"FH47565"	"M"	"A"
"0100000"	"KIP"	"FH47566"	"F"	"A"
"0100000"	"KIP"	"FH47567"	"M"	"A"
"0100110"	"KIP"	"FH47568"	"F"	"A"
"0100000"	"KIP"	"FH47569"	"M"	"A"
"0100000"	"KIP"	"FH47570"	"F"	"A"
"0100000"	"KIP"	"FH47571"	"F"	"A"
"0100010"	"KIP"	"FH47572"	"F"	"A"
"0100000"	"KIP"	"FH47573"	"M"	"A"
"0100000"	"KIP"	"FH47574"	"M"	"A"
"0100010"	"KIP"	"FH47575"	"F"	"A"
"0100000"	"KIP"	"FH47576"	"F"	"A"
"0100000"	"KIP"	"FH47577"	"F"	"A"
"0100000"	"KIP"	"FH47581"	"F"	"A"
"0100000"	"KIP"	"FH47582"	"M"	"A"
"0100000"	"KIP"	"FH47583"	"M"	"A"
"0100011"	"KIP"	"FH47584"	"F"	"A"
"0100100"	"KIP"	"FH47585"	"F"	"A"
"0100000"	"KIP"	"FH47587"	"M"	"A"
"0100000"	"KIP"	"FH47588"	"F"	"A"
"0100000"	"KIP"	"FH47589"	"M"	"A"
"0100000"	"KIP"	"FH47589"	"M"	"A"
"0100010"	"KIP"	"FH47590"	"M"	"A"
"0100000"	"KIP"	"FH47593"	"F"	"A"
"0100010"	"KIP"	"FH47594"	"M"	"A"
"0100010"	"KIP"	"FH47594"	"F"	"A"
"0100000"	"KIP"	"FH47605"	"F"	"A"
"0100010"	"KIP"	"FH47606"	"M"	"A"
"0100010"	"KIP"	"FH47609"	"M"	"A"
"0100000"	"KIP"	"FH47610"	"F"	"A"
"0100000"	"KIP"	"FH47611"	"F"	"A"
"0100010"	"KIP"	"FH47612"	"M"	"A"
"0100000"	"KIP"	"FH47613"	"F"	"A"
"0100000"	"KIP"	"FH47628"	"F"	"J"
"0100000"	"KIP"	"FH47628"	"F"	"J"
"0100100"	"KIP"	"FH47633"	"F"	"A"
"0100000"	"KIP"	"FH47634"	"M"	"A"
"0100000"	"KIP"	"FH47634"	"F"	"A"
"0000100"	"KIP"	"FH47642"	"M"	"J"
"0100000"	"KIP"	"FH47644"	"M"	"A"
"0100000"	"KIP"	"FH47645"	"F"	"A"
"0000100"	"KIP"	"FH47651"	"F"	"A"
"0100000"	"KIP"	"FH47654"	"M"	"J"
"0100000"	"KIP"	"FH47655"	"M"	"A"
"0000100"	"KIP"	"FH47659"	"M"	"J"
"0000110"	"KIP"	"FH47662"	"M"	"A"
"0000100"	"KIP"	"FH47669"	"F"	"A"
"0000100"	"KIP"	"FH47671"	"M"	"A"
"0000100"	"KIP"	"FH47671"	"M"	"A"
"0100000"	"KIP"	"FH47676"	"F"	"A"
"0000111"	"KIP"	"FH47677"	"F"	"A"
"0000111"	"KIP"	"FH47679"	"M"	"A"
"0000111"	"KIP"	"FH47679"	"M"	"A"
"0000100"	"KIP"	"FH47681"	"F"	"A"
"0100000"	"KIP"	"FH47684"	"F"	"A"
"0100000"	"KIP"	"FH47685"	"M"	"J"
"0000100"	"KIP"	"FH47688"	"F"	"A"
"0100100"	"KIP"	"FH47692"	"F"	"A"
"0100100"	"KIP"	"FH47692"	"F"	"A"
"0100000"	"KIP"	"FH47693"	"M"	"A"
"0100011"	"KIP"	"FH47695"	"F"	"A"
"0100011"	"KIP"	"FH47695"	"F"	"A"
"0100001"	"KIP"	"FH47696"	"F"	"A"
"0101000"	"KIP"	"FH47698"	"F"	"A"
"0100000"	"KIP"	"FH47699"	"M"	"A"
"0100000"	"KIP"	"FH47700"	"F"	"J"
"0000100"	"KIP"	"FH47744"	"F"	"J"
"0000001"	"KIP"	"FH47757"	"M"	"A"
"0111110"	"KIP"	"FH47801"	"M"	"A"
"0100000"	"KIP"	"FH47802"	"M"	"A"
"0100000"	"KIP"	"FH47803"	"M"	"A"
"0100000"	"KIP"	"FH47807"	"F"	"A"
"0100001"	"KIP"	"FH47808"	"M"	"A"
"0100100"	"KIP"	"FH47810"	"F"	"A"
"0100100"	"KIP"	"FH47810"	"F"	"A"
"0101000"	"KIP"	"FH47811"	"M"	"A"
"0100000"	"KIP"	"FH47812"	"M"	"A"
"0100000"	"KIP"	"FH47813"	"M"	"A"
"0100100"	"KIP"	"FH47814"	"M"	"A"
"0100000"	"KIP"	"FH47815"	"F"	"J"
"0100000"	"KIP"	"FH47894"	"M"	"A"
"0100000"	"KIP"	"FH47897"	"M"	"A"
"0100011"	"KIP"	"FH47898"	"F"	"A"
"0100011"	"KIP"	"FH47898"	"F"	"A"
"0101000"	"KIP"	"FH47899"	"F"	"A"
"0100000"	"KIP"	"FH47900"	"F"	"A"
"1000101"	"KIP"	"FH47997"	"M"	"J"
"0000100"	"KIP"	"FH68701"	"F"	"A"
"0000101"	"KIP"	"FH68702"	"F"	"A"
"0000100"	"KIP"	"FH68703"	"F"	"A"
"0000101"	"KIP"	"FH68706"	"F"	"A"
"0000100"	"KIP"	"FH68707"	"M"	"A"
"0000100"	"KIP"	"FH68709"	"F"	"A"
"0000101"	"KIP"	"FH68710"	"M"	"A"
"0000100"	"KIP"	"FH68712"	"M"	"A"
"0000100"	"KIP"	"FH68713"	"F"	"J"
"0000110"	"KIP"	"FH68714"	"F"	"A"
"0000100"	"KIP"	"FH68715"	"M"	"A"
"0000100"	"KIP"	"FH68716"	"F"	"A"
"0000100"	"KIP"	"FH68717"	"F"	"J"
"0000111"	"KIP"	"FH68718"	"M"	"A"
"0000100"	"KIP"	"FH68719"	"M"	"J"
"0000100"	"KIP"	"FH68720"	"M"	"J"
"0000111"	"KIP"	"FH68723"	"F"	"A"
"0000111"	"KIP"	"FH68723"	"F"	"A"
"0000100"	"KIP"	"FH68724"	"F"	"A"
"0000101"	"KIP"	"FH68725"	"F"	"A"
"0000101"	"KIP"	"FH68727"	"F"	"A"
"0000111"	"KIP"	"FH68728"	"M"	"A"
"0000111"	"KIP"	"FH68729"	"M"	"A"
"0000100"	"KIP"	"FH68730"	"F"	"A"
"0000101"	"KIP"	"FH68731"	"F"	"A"
"0000101"	"KIP"	"FH68731"	"F"	"A"
"0000001"	"KIP"	"FH68732"	"F"	"A"
"0000001"	"KIP"	"FH68733"	"F"	"A"
"0000001"	"KIP"	"FH68735"	"F"	"A"
"0000001"	"KIP"	"FH68736"	"F"	"A"
"0000001"	"KIP"	"FH68737"	"M"	"A"
"0000001"	"KIP"	"FH68737"	"M"	"A"
"0000001"	"KIP"	"FH68738"	"F"	"A"
"0000001"	"KIP"	"FH68739"	"F"	"A"
"0000001"	"KIP"	"FH68740"	"F"	"A"
"0000001"	"KIP"	"FH68741"	"M"	"J"
"0000001"	"KIP"	"FH68742"	"F"	"J"
"0000001"	"KIP"	"FH68743"	"M"	"A"
"0000001"	"KIP"	"FH68744"	"M"	"A"
"0000001"	"KIP"	"FH68745"	"M"	"A"
"0000001"	"KIP"	"FH68746"	"M"	"J"
"0000001"	"KIP"	"FH68747"	"M"	"J"
"0000001"	"KIP"	"FH68749"	"F"	"J"
"0000001"	"KIP"	"FH68750"	"F"	"A"
"0000001"	"KIP"	"FH68751"	"F"	"A"
"0000001"	"KIP"	"FH68752"	"M"	"A"
"0000001"	"KIP"	"FH68752"	"M"	"A"
"0000001"	"KIP"	"FH68753"	"M"	"A"
"0000001"	"KIP"	"FH68754"	"M"	"A"
"0000001"	"KIP"	"FH68755"	"F"	"A"
"0000001"	"KIP"	"FH68756"	"F"	"A"
"0000001"	"KIP"	"FH68758"	"M"	"A"
"0000001"	"KIP"	"FH68759"	"M"	"A"
"0000001"	"KIP"	"FH68761"	"F"	"A"
"0000100"	"KIP"	"FH68763"	"M"	"A"
"0000100"	"KIP"	"FH68764"	"F"	"J"
"0000101"	"KIP"	"FH68765"	"F"	"A"
"0000110"	"KIP"	"FH68766"	"F"	"A"
"0000111"	"KIP"	"FH68767"	"F"	"A"
"0000101"	"KIP"	"FH68768"	"M"	"A"
"0000111"	"KIP"	"FH68769"	"M"	"A"
"0000111"	"KIP"	"FH68770"	"M"	"A"
"0000111"	"KIP"	"FH68771"	"F"	"A"
"0000100"	"KIP"	"FH68781"	"F"	"J"
"0000100"	"KIP"	"FH68782"	"M"	"J"
"0000101"	"KIP"	"FH68783"	"F"	"A"
"0000110"	"KIP"	"FH68784"	"F"	"A"
"0000110"	"KIP"	"FH68784"	"F"	"A"
"0000100"	"KIP"	"FH68785"	"F"	"A"
"0000111"	"KIP"	"FH68786"	"F"	"A"
"0000111"	"KIP"	"FH68786"	"F"	"A"
"0000100"	"KIP"	"FH68787"	"M"	"A"
"0000100"	"KIP"	"FH68788"	"F"	"A"
"0000111"	"KIP"	"FH68789"	"M"	"A"
"0000111"	"KIP"	"FH68789"	"M"	"A"
"0000100"	"KIP"	"FH68791"	"F"	"A"
"0000101"	"KIP"	"FH68792"	"F"	"A"
"0000100"	"KIP"	"FH68793"	"F"	"J"
"0000100"	"KIP"	"FH68794"	"F"	"J"
"0000111"	"KIP"	"FH68796"	"M"	"A"
"0000111"	"KIP"	"FH68796"	"M"	"A"
"0000100"	"KIP"	"FH68797"	"F"	"A"
"0000111"	"KIP"	"FH68798"	"F"	"A"
"0001111"	"KIP"	"FH68803"	"M"	"A"
"0001000"	"KIP"	"FH68805"	"M"	"J"
"0001000"	"KIP"	"FH68807"	"F"	"J"
"0001000"	"KIP"	"FH68808"	"F"	"J"
"0001000"	"KIP"	"FH68814"	"M"	"A"
"0001101"	"KIP"	"FH68815"	"F"	"A"
"0001100"	"KIP"	"FH68816"	"F"	"A"
"0001000"	"KIP"	"FH68822"	"M"	"A"
"0001000"	"KIP"	"FH68836"	"F"	"J"
"0001000"	"KIP"	"FH68837"	"M"	"J"
"0001000"	"KIP"	"FH68838"	"M"	"J"
"0001110"	"KIP"	"FH68840"	"M"	"A"
"0001101"	"KIP"	"FH68842"	"F"	"A"
"0001000"	"KIP"	"FH68844"	"M"	"A"
"0001001"	"KIP"	"FH68845"	"M"	"J"
"0001001"	"KIP"	"FH68845"	"M"	"J"
"0001000"	"KIP"	"FH68846"	"F"	"A"
"0001111"	"KIP"	"FH68848"	"F"	"A"
"0001111"	"KIP"	"FH68848"	"F"	"A"
"0001111"	"KIP"	"FH68848"	"F"	"A"
"0001111"	"KIP"	"FH68848"	"F"	"A"
"0001010"	"KIP"	"FH68849"	"M"	"J"
"0001010"	"KIP"	"FH68849"	"M"	"J"
"0001111"	"KIP"	"FH68850"	"M"	"A"
"0001100"	"KIP"	"FH68852"	"F"	"A"
